ep_len_mean,time_elapsed,explained_variance,fps,policy_entropy,approxkl,total_timesteps,clipfrac,ep_reward_mean,n_updates,serial_timesteps,value_loss,true_reward,policy_loss
107.78,129.5018126964569,0.9795973245054483,38628,5.0862474,0.0034555756,3400000,0.034560002,2.629902930089138,136,34000,0.10226542,-0.005488516,-0.0022083085
105.44,130.65825581550598,0.9839241318404675,51184,5.083536,0.0022497415,3425000,0.016288001,2.394127910645516,137,34250,0.077232204,-0.0065300874,-0.0018482385
104.73,131.61636662483215,0.981723127886653,51660,5.0774474,0.00288845,3450000,0.026283998,2.9430009050996158,138,34500,0.08902203,-0.003591427,-0.0025814634
101.95,132.57373070716858,0.9801291096955538,52465,5.069017,0.003171435,3475000,0.0317,2.05938769682666,139,34750,0.096818686,-0.007558342,-0.0024819726
90.29,133.51505327224731,0.9757872708141804,53976,5.062089,0.0029543946,3500000,0.025568,2.1426556049998724,140,35000,0.12009869,-0.009989577,-0.0024968314
89.33,134.4390106201172,0.9737954698503017,52190,5.0573106,0.003910661,3525000,0.043688,2.38723794323776,141,35250,0.12637329,-0.004951124,-0.0028688032
106.54,135.36675810813904,0.9815925881266594,53137,5.05443,0.0023095396,3550000,0.019048,2.5714531293314304,142,35500,0.087716304,-0.0057935845,-0.001909802
84.33,136.26608896255493,0.9837228246033192,51901,5.0520954,0.0030337987,3575000,0.027375996,1.9451056682140915,143,35750,0.08304051,-0.009600087,-0.0026135766
95.55,137.24346351623535,0.9660883098840714,52723,5.0472574,0.0023596853,3600000,0.017736,2.507798383595009,144,36000,0.16389123,-0.006651606,-0.0017233957
104.61,138.15827655792236,0.9842816311866045,53143,5.037098,0.0025869017,3625000,0.019675998,2.4064646476815867,145,36250,0.07875736,-0.0060888063,-0.002358748
102.15,139.05946707725525,0.9796045813709497,54393,5.0259104,0.002907462,3650000,0.026844,2.689528426269644,146,36500,0.10245063,-0.0039087986,-0.0023211637
99.14,139.97602224349976,0.9754189625382423,54282,5.0155835,0.0026529725,3675000,0.021203998,2.1702734670727204,147,36750,0.12257849,-0.0074692443,-0.0021783754
107.1,140.87247800827026,0.9805597867816687,54331,5.002927,0.0024556932,3700000,0.018720001,2.457896601415305,148,37000,0.095026694,-0.0034203439,-0.0022207294
94.02,141.77668070793152,0.9773387983441353,53709,4.9944634,0.002595581,3725000,0.024292002,2.1121600127624878,149,37250,0.11102768,-0.0073042638,-0.0022317972
107.89,142.6599133014679,0.9784375429153442,53619,4.993775,0.0039175665,3750000,0.041544,2.7515596067180104,150,37500,0.10483763,-0.0025698196,-0.0029949937
94.05,143.54760932922363,0.9797407388687134,55171,4.992469,0.0031676502,3775000,0.029204,2.27244680633009,151,37750,0.10319626,-0.005939558,-0.0021797025
