policy_entropy,value_loss,policy_loss,total_timesteps,ep_len_mean,approxkl,n_updates,true_reward,ep_reward_mean,time_elapsed,fps,explained_variance,serial_timesteps,clipfrac
4.7124724,0.015679594,-0.0015351123,3975000,160.97,0.0032717562,159,0.03302732,5.0085748782252635,133.4740059375763,68390,0.9544492736458778,39750,0.030316
4.7037745,0.014586953,-0.0016567986,4000000,159.33,0.0036779046,160,0.033072468,4.906014097507577,134.27787947654724,67528,0.9542862549424171,40000,0.035067998
4.699345,0.013664854,-0.0023487222,4025000,146.49,0.0037505422,161,0.033428907,4.436396957888137,135.0596842765808,66591,0.9609790183603764,40250,0.037908
4.695224,0.015645612,-0.0016317249,4050000,163.56,0.0029596998,162,0.032293465,4.876053135475959,135.87229561805725,69042,0.9388410076498985,40500,0.029255997
4.693006,0.011004123,-0.0017487187,4075000,141.5,0.0030408741,163,0.034538444,4.540660778853307,136.66225934028625,70649,0.9724397733807564,40750,0.025392
4.690036,0.01811287,-0.0022974059,4100000,161.33,0.0037051414,164,0.03371915,5.022862670870472,137.4292290210724,71224,0.9472703784704208,41000,0.036964
4.683515,0.010270114,-0.0021533633,4125000,150.3,0.0031150202,165,0.033821236,4.649746405558208,138.18199014663696,70001,0.9673590883612633,41250,0.027091999
4.6754823,0.014506678,-0.0018650073,4150000,145.43,0.0047378256,166,0.034110803,4.550645001615558,138.96853256225586,66986,0.9588925614953041,41500,0.052376002
4.670674,0.014963125,-0.0021753286,4175000,183.9,0.003598505,167,0.032855723,5.797586562114884,139.76358604431152,66633,0.9459789507091045,41750,0.038572
4.6676593,0.016762776,-0.0016827565,4200000,159.64,0.003534879,168,0.033458207,5.0462382310575045,140.54557919502258,67924,0.9505161121487617,42000,0.033423997
4.6646285,0.009060293,-0.0025687916,4225000,176.18,0.0037864503,169,0.033534054,5.48148261678889,141.353764295578,70108,0.9717789683490992,42250,0.040276
4.6587744,0.014028056,-0.0012555794,4250000,164.67,0.0032652584,170,0.033785455,5.2037664958979075,142.11894178390503,70089,0.9597513936460018,42500,0.030340001
4.654038,0.016267417,-0.001564992,4275000,160.59,0.0031463648,171,0.03410073,5.100587569995151,142.88320517539978,70628,0.9529677666723728,42750,0.029064
4.6515894,0.01544244,-0.002121921,4300000,157.75,0.0037889,172,0.033476334,4.95460475339205,143.64566802978516,71176,0.9516016058623791,43000,0.038684003
