policy_loss,serial_timesteps,ep_reward_mean,explained_variance,true_reward,approxkl,n_updates,fps,policy_entropy,time_elapsed,ep_len_mean,clipfrac,value_loss,total_timesteps
-0.0024030583,18750,6.295226088011695,0.5866468250751495,0.023670238,0.0047886684,75,53884,5.5277185,71.67428731918335,235.54,0.054112,0.21404271,1875000
-0.002574542,19000,6.033377186642356,0.4772666096687317,0.022759575,0.0037351437,76,56423,5.527604,72.50488686561584,237.21,0.039364003,0.22619176,1900000
-0.0023115908,19250,6.0812178605011935,0.6410068571567535,0.022536961,0.0043417877,77,55675,5.52631,73.31778812408447,229.26,0.050015997,0.24345502,1925000
-0.0026157969,19500,6.161290713619821,0.4529429078102112,0.022701694,0.0060375766,78,54619,5.521199,74.15181255340576,224.66,0.07758801,0.35903043,1950000
-0.0024208366,19750,5.788419018527491,0.3900270462036133,0.02037439,0.0071392,79,55528,5.5185003,74.96520972251892,226.83,0.08162801,0.3887979,1975000
-0.0018156696,20000,5.896106248598755,0.4953831434249878,0.022269396,0.0032250471,80,55028,5.518526,75.77687215805054,233.38,0.032339998,0.27409416,2000000
-0.0017346084,20250,5.304774111966173,0.13217586278915405,0.018634962,0.004239756,81,55879,5.514942,76.60451102256775,213.55,0.049804,0.6009258,2025000
-0.0023469224,20500,6.2868838067501365,0.5115383267402649,0.02377731,0.0032068458,82,54146,5.5109663,77.41768026351929,230.15,0.033492003,0.30569845,2050000
-0.002614185,20750,6.2195906060698505,0.7664857655763626,0.024598517,0.0034477345,83,52892,5.5070133,78.25109910964966,243.34,0.035168,0.09476307,2075000
-0.0009667918,21000,5.830945950626495,0.37336695194244385,0.021993339,0.0032682072,84,48201,5.5032263,79.08929443359375,227.55,0.034696,0.34563822,2100000
-0.002118291,21250,5.711818137265686,0.518466591835022,0.019930558,0.0058795093,85,50356,5.504036,79.96909499168396,210.94,0.069216,0.48741573,2125000
-0.0024522177,21500,5.937532067913922,0.7100149989128113,0.023210786,0.0032200355,86,54867,5.506669,80.83367371559143,226.3,0.030124,0.19764987,2150000
-0.0018657906,21750,5.50745860832952,0.6106144785881042,0.02093587,0.0023524696,87,54670,5.5081606,81.65682673454285,220.08,0.021491997,0.2812979,2175000
-0.002024009,22000,5.99070794934523,0.6528370976448059,0.023159018,0.0028331531,88,54699,5.5097537,82.4833436012268,236.94,0.028180003,0.16129036,2200000
-0.0017241401,22250,5.543319019090855,0.7395792901515961,0.022126187,0.003149625,89,56363,5.511276,83.30380654335022,226.73,0.031228,0.16323428,2225000
-0.0023696695,22500,5.602369774760852,0.6245924830436707,0.020434102,0.0033607222,90,38428,5.5121894,84.12503552436829,232.03,0.036103997,0.23672482,2250000
-0.0018402964,22750,5.407208348616416,0.752155676484108,0.020315299,0.0038818195,91,56591,5.5111613,85.14041948318481,223.56,0.040732,0.21434203,2275000
-0.0018495799,23000,5.426680403706171,0.7752279937267303,0.021117443,0.0025629145,92,54657,5.5115333,85.94151067733765,221.48,0.023427999,0.18936041,2300000
-0.0017025132,23250,5.726836825745664,0.7539291828870773,0.021472178,0.0028575924,93,53455,5.5115137,86.75674104690552,223.88,0.028299998,0.23542316,2325000
-0.0018416687,23500,6.056485953410556,0.7477884888648987,0.023298906,0.0031461306,94,55373,5.511836,87.60028147697449,231.34,0.033352,0.18996479,2350000
-0.0016416193,23750,5.1874663431365295,0.7089008092880249,0.019512603,0.0031989939,95,54992,5.514756,88.42203402519226,215.96,0.0341,0.28584683,2375000
-0.0019362632,24000,5.363635224141146,0.7034347951412201,0.019004839,0.002578712,96,53302,5.515251,89.24187660217285,224.46,0.024948,0.2895722,2400000
-0.0015528686,24250,5.870517383532358,0.7865989655256271,0.022569038,0.0031181378,97,50893,5.5129414,90.08947658538818,229.41,0.030520001,0.168463,2425000
-0.0020530694,24500,6.051397989333127,0.7914093285799026,0.022977002,0.00352443,98,54611,5.515052,90.94122791290283,236.45,0.036652002,0.15285058,2450000
-0.0015821004,24750,6.080033161956781,0.8681987524032593,0.02361539,0.005190085,99,54728,5.5164366,91.76383352279663,241.76,0.05807201,0.0851845,2475000
-0.0018396603,25000,5.55073780354498,0.7352877557277679,0.021449354,0.003492646,100,42062,5.513894,92.57940602302551,238.74,0.03786,0.15242374,2500000
-0.00076133286,25250,5.732747782725494,0.6918702721595764,0.021814723,0.0027084402,101,54876,5.5108056,93.53132820129395,240.29,0.024499997,0.18596625,2525000
-0.0016954126,25500,5.8018644140522495,0.8487521409988403,0.022249686,0.003614631,102,54936,5.5123606,94.35604071617126,242.63,0.041663997,0.08786224,2550000
-0.001479862,25750,5.369171682393044,0.6299853026866913,0.018622225,0.0039537144,103,46149,5.512844,95.17790079116821,222.36,0.046492,0.3335977,2575000
-0.0009993423,26000,5.9334767213415285,0.7352491021156311,0.023048917,0.0030628927,104,54593,5.512443,96.081787109375,240.24,0.029072002,0.13544393,2600000
-0.0013116745,26250,5.289372513968037,0.6660674810409546,0.01987856,0.0040110275,105,55309,5.5111504,96.91043901443481,226.77,0.0454,0.25195873,2625000
-0.0010721748,26500,5.497112970176522,0.5544914603233337,0.01955109,0.0029667108,106,54256,5.5105057,97.72784209251404,227.47,0.030824,0.32341897,2650000
-0.0016354041,26750,5.319100316751653,0.6935032904148102,0.019331662,0.0023126365,107,51815,5.5099177,98.56699872016907,229.33,0.020008001,0.2364358,2675000
-0.0012203198,27000,5.488143412998611,0.7387786209583282,0.020232731,0.0025232597,108,55134,5.507888,99.41433715820312,231.67,0.022384001,0.21433692,2700000
