n_updates,ep_len_mean,value_loss,time_elapsed,total_timesteps,clipfrac,serial_timesteps,ep_reward_mean,true_reward,policy_loss,policy_entropy,fps,explained_variance,approxkl
1006,36.39,3.5864263,929.5310904979706,25150000,0.06484,251500,0.7591470627891528,-1.9252931,-0.0035666716,2.571715,53094,0.9357855543494225,0.0055388743
1007,28.85,2.9096282,930.3904724121094,25175000,0.057008,251750,0.5826579530843264,-1.9350079,-0.0044509233,2.5652623,47517,0.9423547647893429,0.00500244
1008,24.27,3.3917747,931.307070016861,25200000,0.054564,252000,0.4481532140385752,-2.0146887,-0.0031434656,2.5593789,54508,0.9235414639115334,0.0046517276
1009,27.68,3.1043117,932.1620633602142,25225000,0.05668,252250,0.9044239821229166,-1.9103218,-0.004294025,2.548944,52850,0.9341591596603394,0.0048724427
1010,29.47,3.2290745,933.0224449634552,25250000,0.065496,252500,0.6937083873778647,-1.9236138,-0.0036629767,2.5358636,48651,0.9349086955189705,0.005561908
1011,30.37,3.1148593,933.9246542453766,25275000,0.07904,252750,0.8799468033765879,-1.9182173,-0.0034872391,2.526568,55034,0.9379844218492508,0.0063523217
1012,32.03,3.228414,934.7757036685944,25300000,0.054584004,253000,0.8971533247307707,-1.9219152,-0.00381345,2.517282,52655,0.9384921863675117,0.0047568036
1013,35.44,3.0252135,935.6440143585205,25325000,0.085035995,253250,0.8086946962990623,-1.8432367,-0.0029708776,2.5102296,53435,0.9438183568418026,0.006719926
1014,33.94,3.550361,936.5034337043762,25350000,0.054428,253500,0.809953575112986,-1.997702,-0.0031528692,2.5068138,48417,0.9339313060045242,0.0048105987
1015,35.26,3.1512518,937.4025993347168,25375000,0.07148399,253750,0.6203730883050593,-1.8748759,-0.003919819,2.5048885,53358,0.9426143504679203,0.0058441698
1016,36.19,3.0305133,938.26211977005,25400000,0.044316,254000,0.6496265429073174,-1.9204564,-0.0026515832,2.5024083,54965,0.9428880028426647,0.0041242996
1017,36.6,3.3640285,939.1132688522339,25425000,0.07726,254250,0.6514190205358318,-1.9897069,-0.0013690366,2.4982638,45714,0.9401968754827976,0.006348283
1018,29.66,3.4510865,940.0472068786621,25450000,0.060536005,254500,0.7411966048142585,-2.0016103,-0.0027526275,2.4926364,51152,0.925074964761734,0.005330487
1019,27.59,2.9739075,940.938001871109,25475000,0.062108003,254750,0.4706721508486953,-1.8505025,-0.0036853917,2.487807,53178,0.9470612853765488,0.0053506186
1020,32.1,2.752893,941.7962484359741,25500000,0.060163997,255000,0.774844290546771,-1.9478364,-0.003086586,2.480066,36647,0.9423471428453922,0.0051610083
1021,30.52,2.9328704,942.8529367446899,25525000,0.064572,255250,0.5886162774914464,-1.9543513,-0.0038641063,2.4790316,53396,0.9457333721220493,0.0053747743
1022,33.59,3.0151877,943.7223563194275,25550000,0.038503997,255500,0.8518351300599286,-2.0214832,-0.0024030511,2.4811394,53110,0.943724974989891,0.003645281
