clipfrac,policy_loss,explained_variance,ep_reward_mean,true_reward,n_updates,fps,time_elapsed,policy_entropy,value_loss,serial_timesteps,ep_len_mean,total_timesteps,approxkl
0.057868004,-0.0018842025,0.8721253573894501,14.986079492763084,0.059174467,105,52611,95.6973888874054,1.4087241,1.5830065,26250,249.46,2625000,0.0050135367
0.045092,-0.0013524006,0.8587206155061722,16.2114615301514,0.064845845,106,54122,96.51958298683167,1.4049662,1.7400095,26500,250.0,2650000,0.0043550692
0.039328,-0.0005887045,0.8529815524816513,16.34011477036746,0.064527296,107,54658,97.34436583518982,1.4000936,1.8337486,26750,248.4,2675000,0.0035444628
0.062256,-7.2750495e-06,0.8652878999710083,14.720100258691728,0.056579925,108,52338,98.1603045463562,1.3952138,1.7726749,27000,246.64,2700000,0.005319557
0.078655995,-0.0005057957,0.8710776567459106,14.033910502661977,0.056135643,109,54958,98.98306632041931,1.3908184,1.4959886,27250,250.0,2725000,0.0064441897
0.116712,0.00076744857,0.8423517048358917,16.321364587791436,0.06385069,110,52131,99.79811453819275,1.3885645,1.9586093,27500,248.59,2750000,0.008801088
0.04386,-0.0014982016,0.8744147568941116,15.582661424527583,0.06356251,111,54952,100.64760065078735,1.3860121,1.9403563,27750,243.04,2775000,0.004331032
0.057740003,-0.0019330122,0.8832959979772568,16.440642777556096,0.063952245,112,56105,101.45764327049255,1.3836496,1.8648443,28000,244.6,2800000,0.0049511828
0.034496,-0.0014441416,0.8634861558675766,15.772491615946901,0.06164104,113,54239,102.27439260482788,1.3816273,2.0056417,28250,236.77,2825000,0.0036522183
0.032592,-0.0016375122,0.8886120915412903,15.624218596874197,0.0631345,114,39568,103.08325910568237,1.3791889,1.6884295,28500,245.39,2850000,0.0033637441
0.058308005,-0.000705558,0.884057991206646,14.924285600765849,0.05969714,115,54912,104.06039929389954,1.3769331,1.6290115,28750,250.0,2875000,0.0051004663
0.0368,-0.0015771212,0.886053130030632,14.87688026305862,0.056985915,116,42667,104.87541556358337,1.374304,1.6414009,29000,239.01,2900000,0.0038549923
0.063608006,-0.00058184133,0.8883336335420609,14.465285816718824,0.055505104,117,53909,105.83331060409546,1.3737893,1.4279541,29250,247.62,2925000,0.005278856
0.030528,-0.0014498286,0.852718710899353,13.99861070186722,0.051571313,118,53851,106.65800523757935,1.3743248,1.8683704,29500,239.35,2950000,0.0034514088
0.037604,-0.0018958978,0.8642770498991013,15.768513332071416,0.06199809,119,44510,107.48102855682373,1.3752964,1.8743166,29750,245.14,2975000,0.003655905
0.036912,-0.0019199857,0.8781485557556152,14.75188441656639,0.057782628,120,56096,108.40757298469543,1.3754663,1.5524395,30000,246.54,3000000,0.00377394
0.021864,-0.0010902148,0.8596883863210678,16.68687923584308,0.06590468,121,54519,109.22145771980286,1.3708067,2.093964,30250,243.64,3025000,0.0027658292
0.04902,-0.002054357,0.8895816951990128,13.580160424919054,0.05360156,122,51327,110.01665568351746,1.3685901,1.4447281,30500,240.7,3050000,0.004441357
0.027088001,-0.0016968759,0.8710940927267075,14.779952598176529,0.057358794,123,54213,110.85960578918457,1.3660647,1.6489702,30750,243.53,3075000,0.0030138243
0.10128,-0.00061010977,0.8639833331108093,16.919785984622777,0.06696252,124,46040,111.68758153915405,1.3616917,2.0346615,31000,248.56,3100000,0.007972454
0.039688,-0.0016237501,0.839450016617775,17.577396097700074,0.069122724,125,53896,112.5740795135498,1.3585836,2.2041628,31250,245.8,3125000,0.0038758311
0.043679997,-0.0014891071,0.8664926290512085,17.437050346510222,0.06865167,126,53754,113.39786458015442,1.3572532,2.0583832,31500,242.03,3150000,0.004124529
0.038496,-0.0014592812,0.8719734996557236,16.661490738262,0.065144055,127,47027,114.22102475166321,1.3557044,1.8330772,31750,246.25,3175000,0.003827395
0.033864,-0.0011057837,0.8630903214216232,17.648699753876844,0.0705948,128,38824,115.10902309417725,1.3493602,1.9301536,32000,250.0,3200000,0.0034699459
0.044776,-0.0021768128,0.8627596795558929,14.218421710293365,0.054333337,129,54973,116.10897374153137,1.3437569,1.6862309,32250,243.58,3225000,0.004097902
0.048032,-0.0014062552,0.861129567027092,15.96962940164176,0.063878514,130,54501,116.92055702209473,1.338998,1.7301111,32500,250.0,3250000,0.004313071
0.054579996,-0.00095488346,0.8478125035762787,17.408186753991068,0.06732588,131,53197,117.76136207580566,1.3373367,2.261639,32750,241.25,3275000,0.00485378
0.056803994,-0.0019534028,0.8624597787857056,15.181787266785104,0.05998703,132,52663,118.61203789710999,1.3368549,1.5730033,33000,249.32,3300000,0.004928587
0.053344,-0.0014574407,0.8660653382539749,15.828136636782038,0.06364201,133,49398,119.44620990753174,1.3318126,1.9573138,33250,240.03,3325000,0.00467578
