policy_loss,ep_len_mean,fps,policy_entropy,n_updates,serial_timesteps,true_reward,approxkl,time_elapsed,clipfrac,ep_reward_mean,value_loss,explained_variance,total_timesteps
-0.0016256698,115.59,54954,5.3759246,71,17750,-0.007004217,0.0023790083,70.52786302566528,0.019196,2.533790492446533,0.17717463,0.9504656381905079,1775000
-0.0021401364,113.1,53825,5.3743615,72,18000,-0.008277444,0.0028583715,71.35299038887024,0.025612,2.596489022888982,0.21464112,0.9449266046285629,1800000
-0.0013044684,108.98,53170,5.3725376,73,18250,-0.0058583533,0.0020076772,72.19598197937012,0.014312001,2.696702021124438,0.17539272,0.9529539197683334,1825000
-0.0018195054,101.78,56017,5.370463,74,18500,-0.010462392,0.0027889647,73.04014873504639,0.023023998,2.2538729341999715,0.18894343,0.9516255669295788,1850000
-0.0023594373,101.1,44792,5.3653755,75,18750,-0.00832605,0.0024528329,73.9568817615509,0.018779999,2.36259467456495,0.18751001,0.9488878920674324,1875000
-0.0020290585,101.22,47919,5.3567905,76,19000,-0.012096936,0.0027173602,74.92342376708984,0.027524,2.308172806073294,0.18908921,0.9525288715958595,1900000
-0.0019281048,95.75,53168,5.3509274,77,19250,-0.009866422,0.0030764244,75.86323189735413,0.029044002,2.0731662461635367,0.17623304,0.9538993872702122,1925000
-0.0021519316,104.36,55666,5.3422585,78,19500,-0.0059785424,0.0032842841,76.7447988986969,0.030488,2.7225207636848427,0.21589732,0.9399593509733677,1950000
-0.0017917713,108.32,47031,5.3291574,79,19750,-0.009333681,0.0022075453,77.57175016403198,0.014603999,2.269776732110606,0.1639846,0.9597703106701374,1975000
-0.0018403893,107.19,50882,5.3202395,80,20000,-0.007019388,0.0025529016,78.5072181224823,0.022800002,2.495862689025762,0.18704392,0.9540916718542576,2000000
-0.0014977297,105.89,54211,5.3121843,81,20250,-0.0059590363,0.002372662,79.39954543113708,0.017504001,2.6041499658289102,0.20662919,0.9458676800131798,2025000
-0.0022836807,99.59,45014,5.3080645,82,20500,-0.0044181314,0.0032777071,80.35528469085693,0.030436004,2.4842731794378143,0.14512113,0.9653179720044136,2050000
-0.0018925073,113.72,42718,5.3034487,83,20750,-0.0051660985,0.0022309965,81.36469149589539,0.016624,2.5687212912911037,0.1531777,0.9606148563325405,2075000
-0.0020776545,100.75,55169,5.2967134,84,21000,-0.008684217,0.0030982576,82.32298302650452,0.02644,2.2312179996648047,0.18412165,0.9571237228810787,2100000
-0.0017897373,107.03,54056,5.289711,85,21250,-0.0052159107,0.0029463505,83.15632128715515,0.024499997,2.628706599986026,0.18843383,0.9532917030155659,2125000
-0.0020010911,121.86,43978,5.282491,86,21500,-0.0029792862,0.0030839276,84.00199437141418,0.026676,2.6044699197694103,0.1340375,0.9662284143269062,2150000
-0.0017315071,107.29,47274,5.277587,87,21750,-0.005481787,0.0025443756,84.94936323165894,0.019972,2.501598494891044,0.15782753,0.9634949043393135,2175000
-0.0014052109,114.54,55472,5.2775984,88,22000,-0.0047312984,0.0020607975,85.84217882156372,0.013743999,2.6108653794446584,0.15635756,0.9614534042775631,2200000
-0.0020572597,130.29,52265,5.2779512,89,22250,0.0005104667,0.0029543957,86.66734790802002,0.028380001,3.108531563629745,0.17693357,0.9497317150235176,2225000
-0.0014248432,113.89,53733,5.2775397,90,22500,-0.003928573,0.0030319416,87.50456953048706,0.026532,2.77200206291147,0.15889123,0.9626672677695751,2250000
-0.0018287193,119.17,54012,5.274932,91,22750,-0.005588797,0.0023684925,88.33758282661438,0.016420001,2.6126326021647217,0.118225634,0.9734099674969912,2275000
-0.0022238041,120.47,51053,5.2708807,92,23000,-0.0011738859,0.0026735319,89.18248128890991,0.026292002,2.8074725107263476,0.12790263,0.9685620777308941,2300000
-0.002043988,108.37,49949,5.2669015,93,23250,-0.0068422765,0.0032588392,90.05531024932861,0.030208,2.4888828279828976,0.2187581,0.9473183788359165,2325000
-0.0017877879,117.87,52011,5.261444,94,23500,-0.0025843785,0.002269835,90.93254542350769,0.018943999,2.860354549832357,0.10972669,0.9731462374329567,2350000
-0.0024034246,113.28,51178,5.254564,95,23750,-0.0031140696,0.0037896044,91.81043028831482,0.037887998,2.5693627530979573,0.14630623,0.9618632420897484,2375000
-0.0020324285,120.75,54147,5.2489676,96,24000,6.093464e-05,0.003356761,92.67042994499207,0.029712,3.000454283473391,0.16567174,0.957503829151392,2400000
-0.0016090702,103.13,52734,5.243577,97,24250,-0.0034180756,0.0023417864,93.48315787315369,0.016292,2.6613094806636948,0.13372809,0.9685551524162292,2425000
-0.0021294975,110.63,48676,5.238144,98,24500,-0.0016103047,0.0029721379,94.32031440734863,0.026532,2.5663312821671207,0.13552341,0.9693683553487062,2450000
-0.0014891665,109.46,46697,5.2308607,99,24750,-0.0019539671,0.0020888764,95.19169878959656,0.01446,2.85056508646574,0.1647638,0.9597701169550419,2475000
-0.002406797,117.66,54024,5.2237177,100,25000,0.0017460869,0.0024148314,96.09085655212402,0.019508,3.1183694319944744,0.14397922,0.9670860804617405,2500000
-0.002072145,122.48,48936,5.2176104,101,25250,0.002929287,0.002396056,96.90727257728577,0.01652,3.307444278406282,0.13161126,0.9669918194413185,2525000
-0.0024059555,109.14,52692,5.2121716,102,25500,-0.00020328202,0.002860374,97.77763724327087,0.024776,2.888278629157767,0.13725297,0.9710416048765182,2550000
-0.0023709547,126.15,54280,5.2073736,103,25750,0.0020300464,0.0026164218,98.62278985977173,0.020904,3.0453750874325034,0.124218084,0.9742382578551769,2575000
-0.0022211534,116.39,54095,5.198368,104,26000,-0.0016787095,0.002971923,99.45463705062866,0.027107999,2.866493247638,0.16981441,0.9612053222954273,2600000
-0.0018962759,116.59,52454,5.1891966,105,26250,0.001162704,0.0029995292,100.2860939502716,0.027272,3.171811063312573,0.18379433,0.9590129069983959,2625000
-0.0016608197,123.57,54144,5.1822805,106,26500,0.0024747704,0.0030857162,101.13011145591736,0.025147999,3.558611349243001,0.1545755,0.9657842479646206,2650000
-0.0023431312,108.08,53993,5.174745,107,26750,-1.5840646e-05,0.0036779337,101.95746564865112,0.033880003,2.7662779795413757,0.18528971,0.9565616697072983,2675000
-0.0024687455,103.4,41256,5.1673822,108,27000,-0.00088881986,0.0047830404,102.78703236579895,0.055468004,2.7609496537103815,0.22795233,0.9478051476180553,2700000
-0.0014943504,99.47,53891,5.1647577,109,27250,-0.0022483473,0.0022793524,103.75155758857727,0.015432,2.4485980095307243,0.14059266,0.9729761574417353,2725000
-0.002346355,118.5,53210,5.159558,110,27500,0.0010947058,0.0031060167,104.5719940662384,0.028443998,2.8873636075282456,0.13559905,0.9697127360850573,2750000
-0.0016959801,109.45,55044,5.154643,111,27750,0.00072713074,0.0024945037,105.40657019615173,0.019488,2.903492383420962,0.122298226,0.9749427512288094,2775000
-0.0019694795,112.01,54770,5.151023,112,28000,0.0028675918,0.0023782016,106.22895336151123,0.019712001,3.307817737912208,0.13701913,0.9696629289537668,2800000
-0.0021105546,138.47,52161,5.1486254,113,28250,0.0047334298,0.0022678967,107.05389404296875,0.016363999,3.542104760867541,0.14024575,0.9646141119301319,2825000
-0.0020697904,106.6,55525,5.144618,114,28500,5.94926e-05,0.0033296086,107.91724371910095,0.031412,2.5684445450452587,0.11332242,0.9750702437013388,2850000
-0.0024560315,127.4,55805,5.139921,115,28750,0.0037520344,0.0027080704,108.72627997398376,0.023172,3.2984449866252636,0.14002219,0.9684448353946209,2875000
-0.0023557304,110.91,54474,5.1330857,116,29000,-0.000670904,0.003096521,109.5300121307373,0.028656,3.0434216021469727,0.22503304,0.9512217827141285,2900000
-0.0023911446,111.15,55120,5.1249733,117,29250,0.001757149,0.0028374526,110.35336923599243,0.02434,2.954354275065246,0.19032091,0.9573680199682713,2925000
