total_timesteps,clipfrac,policy_entropy,policy_loss,n_updates,fps,true_reward,value_loss,approxkl,explained_variance,serial_timesteps,ep_reward_mean,ep_len_mean,time_elapsed
20850000,0.049004,1.305431,-0.0015876952,834,54900,0.041255,0.041136153,0.0045012347,0.9483153149485588,208500,10.357302410120173,248.33,687.4018898010254
20875000,0.119132,1.3025823,-0.000989634,835,53596,0.03983001,0.038268752,0.009178558,0.953968208283186,208750,10.03026060199838,246.21,688.1900320053101
20900000,0.091304,1.3003032,-0.0017192878,836,54607,0.039308127,0.040295612,0.006997404,0.9455415979027748,209000,9.86801615994038,248.24,688.9902148246765
20925000,0.061367996,1.2958394,-0.0017805055,837,54833,0.03840429,0.06326496,0.005122976,0.9258731007575989,209250,9.723363874625466,245.55,689.7898178100586
20950000,0.059296,1.292518,-0.0011157955,838,53806,0.036605585,0.20779815,0.005059404,0.8227502405643463,209500,9.307609515226869,232.91,690.583997964859
20975000,0.114468,1.2923689,-0.0006402908,839,53336,0.037762333,0.056698926,0.008525045,0.9305287748575211,209750,9.478049603533117,246.09,691.4262828826904
21000000,0.07214,1.292025,-0.0010962228,840,55092,0.03541241,0.15895516,0.0058048205,0.8370260447263718,210000,8.972403575263751,238.95,692.248779296875
21025000,0.062164,1.2918758,-0.0013446497,841,53198,0.038384743,0.09544675,0.0051833186,0.9005285650491714,210250,9.653139599610986,242.34,693.0316503047943
21050000,0.051880002,1.2878095,-0.0013143085,842,54033,0.03757028,0.09865002,0.0046292427,0.8610024750232697,210500,9.407311369037634,244.66,693.8343720436096
21075000,0.051888,1.2843863,-0.00070017634,843,54655,0.040093746,0.049882185,0.0046675755,0.9352513775229454,210750,10.02774588839995,248.11,694.6329140663147
21100000,0.060236,1.2790458,-0.00091249926,844,37212,0.039824672,0.15547857,0.0051923855,0.8254415690898895,211000,9.91120367842399,240.17,695.4453308582306
21125000,0.081580006,1.2756417,-0.0012442825,845,56787,0.038631152,0.06153508,0.006293644,0.9204946309328079,211250,9.682225657743311,246.31,696.4419150352478
21150000,0.066856,1.2736357,-0.00061349414,846,55886,0.03738074,0.14016297,0.00547772,0.8379866629838943,211500,9.482998154548405,241.32,697.204306602478
21175000,0.054972004,1.2736323,-0.0004459884,847,44223,0.040603366,0.09367488,0.0048219757,0.882004864513874,211750,10.127708039575154,243.89,697.9863193035126
21200000,0.0905,1.2734904,-0.0012193322,848,55386,0.03653388,0.10586013,0.0068936707,0.88638686388731,212000,9.224080754884927,239.67,698.8732829093933
21225000,0.050107997,1.2732067,-0.0016035128,849,54771,0.040101472,0.02396723,0.004741018,0.9611550718545914,212250,10.025368228281913,250.0,699.6604490280151
21250000,0.050508,1.2668548,-0.0018111013,850,55902,0.038137097,0.034458674,0.004566504,0.9492302946746349,212500,9.55722476204168,247.61,700.4596076011658
21275000,0.09540399,1.2590959,-0.0013908938,851,46421,0.037619732,0.071892865,0.0073270323,0.9066042453050613,212750,9.463846540830254,244.02,701.2403032779694
21300000,0.062200002,1.2553691,-0.0014412837,852,38369,0.04156761,0.03160521,0.0053625437,0.9576677232980728,213000,10.419796442279221,247.8,702.1014158725739
21325000,0.075408004,1.2513955,-0.0015881041,853,55426,0.037594564,0.060958654,0.006045007,0.9195749014616013,213250,9.419565807618937,246.37,703.0803391933441
21350000,0.0705,1.247797,-0.0015782792,854,55534,0.03946884,0.027636584,0.005612219,0.9583522081375122,213500,9.894354043742297,247.75,703.8564193248749
21375000,0.0856,1.242672,-0.0005098204,855,54906,0.039154176,0.05806893,0.0065672263,0.9155226275324821,213750,9.821374722279543,245.79,704.6399784088135
21400000,0.06346,1.2408278,-0.00029299944,856,53376,0.039483096,0.018313723,0.005413601,0.9696640633046627,214000,9.870774627254287,250.0,705.4332437515259
