n_updates,fps,ep_reward_mean,total_timesteps,true_reward,policy_entropy,ep_len_mean,clipfrac,time_elapsed,approxkl,explained_variance,value_loss,serial_timesteps,policy_loss
72,54254,9.246194328682996,1800000,0.04315584,-2.4814012,215.78,0.107904,64.79741740226746,0.008169988,0.9902720479294658,0.0074619413,18000,-0.00042804232
73,52873,8.575703304696944,1825000,0.04291831,-2.4877028,201.97,0.149368,65.62574338912964,0.010571443,0.9892315939068794,0.008821869,18250,-0.00095963216
74,54251,9.093065648672427,1850000,0.041865665,-2.4913783,219.79,0.200524,66.46157383918762,0.015950067,0.9778547622263432,0.016696602,18500,0.0008056445
75,53523,8.647132143120471,1875000,0.04295302,-2.4927099,203.55,0.33424398,67.28147435188293,0.036442272,0.9896575212478638,0.008788964,18750,0.012056032
76,56310,9.782259113668188,1900000,0.04287347,-2.4904284,228.7,0.33978802,68.13030791282654,0.028891023,0.9912154478952289,0.005854082,19000,0.010680514
77,54950,9.054447649186896,1925000,0.043989297,-2.4876883,209.91,0.133628,68.92409563064575,0.010089079,0.9855023585259914,0.011442251,19250,-0.00027247044
78,53342,9.149863683183211,1950000,0.043121148,-2.4852808,213.77,0.10541201,69.74107909202576,0.008015767,0.9776946101337671,0.017401068,19500,-0.0032563705
79,54115,8.797173184161734,1975000,0.043122232,-2.4861379,205.24,0.174476,70.57996678352356,0.012217512,0.9917195187881589,0.0069158734,19750,0.0012989152
80,54410,8.477229519814546,2000000,0.0410342,-2.489667,210.79,0.11608,71.41155362129211,0.008847846,0.980351472273469,0.015379173,20000,-0.0022478418
81,53813,8.917215338484466,2025000,0.042988237,-2.4911294,209.41,0.296348,72.23400282859802,0.02707092,0.9684769734740257,0.02172795,20250,0.0066680172
82,55977,8.82903659319742,2050000,0.04267713,-2.4911752,211.05,0.41497198,73.04996061325073,0.05350706,0.9869616525247693,0.009552436,20500,0.020693237
83,56012,8.58569715429695,2075000,0.04243753,-2.4920578,204.67,0.14044002,73.8601131439209,0.01066329,0.9851675806567073,0.011765322,20750,-0.00161249
84,55190,9.392506253649772,2100000,0.04292539,-2.4942355,217.84,0.230944,74.66274404525757,0.019457188,0.9668290801346302,0.025960911,21000,0.0019431878
85,55817,8.950497166076383,2125000,0.043186177,-2.494432,209.65,0.137108,75.48752498626709,0.010169357,0.9891633680090308,0.009158669,21250,-0.00045355823
86,53359,8.361491574870524,2150000,0.04390416,-2.4952087,193.56,0.25141197,76.30571722984314,0.01964062,0.9742632880806923,0.024115922,21500,0.0028566872
87,56129,8.587484646695666,2175000,0.04307545,-2.4938993,200.48,0.15561202,77.13911271095276,0.011396076,0.9848351059481502,0.014363209,21750,-0.00040002642
88,52893,8.498970474796515,2200000,0.04177708,-2.494802,204.51,0.228972,77.94256639480591,0.02034524,0.9726665541529655,0.024117393,22000,0.0016413046
89,55797,8.420553465108842,2225000,0.042491943,-2.4974647,199.58,0.110524,78.76952266693115,0.008340285,0.984963302500546,0.012822519,22250,-0.0022149177
90,55515,9.596251310606467,2250000,0.04369113,-2.499472,216.9,0.198056,79.60441160202026,0.014947089,0.9865601472556591,0.010247786,22500,0.00195589
91,56323,9.355684252405007,2275000,0.044012874,-2.497805,214.24,0.30563203,80.40616202354431,0.032661013,0.9827035404741764,0.011647862,22750,0.009585128
