ep_len_mean,fps,time_elapsed,value_loss,ep_reward_mean,clipfrac,true_reward,policy_entropy,total_timesteps,n_updates,approxkl,policy_loss,serial_timesteps,explained_variance
245.77,68828,127.33744072914124,0.02095802,17.740984418925365,0.136636,0.07212602,2.0004745,3950000,158,0.010266921,-0.0010225393,39500,0.8776418641209602
246.4,70062,128.08718013763428,0.019285835,17.768979125685874,0.092416,0.07203695,2.0007696,3975000,159,0.0070347497,-0.0021007,39750,0.8776696845889091
246.32,68544,128.83112287521362,0.028173525,17.698414055075844,0.100072004,0.07170675,2.0029137,4000000,160,0.0074626952,-0.0026118825,40000,0.8372036814689636
246.16,68930,129.58524417877197,0.020682225,17.65026611792389,0.110824004,0.0715279,2.0056295,4025000,161,0.008102998,-0.0019384694,40250,0.8886951133608818
248.0,70001,130.3377559185028,0.019613799,17.801654742417885,0.092336,0.071643114,2.0055926,4050000,162,0.0072826953,-0.0014230508,40500,0.8792877122759819
248.66,69194,131.0793056488037,0.012421766,17.871782496378582,0.07753199,0.07176568,2.0004773,4075000,163,0.006155635,-0.0012134684,40750,0.9188172519207001
238.52,62403,131.83947229385376,0.06167678,17.259610157804563,0.101459995,0.07214405,1.9935526,4100000,164,0.007692714,-0.0015925022,41000,0.7101095914840698
247.0,68265,132.6295986175537,0.028983736,17.763684180276467,0.11384799,0.071763426,1.9922249,4125000,165,0.008450801,-0.0007033186,41250,0.8476426899433136
248.41,69016,133.3765425682068,0.013928977,17.748607775772324,0.12238799,0.07140525,1.9919415,4150000,166,0.009744607,-0.0017693376,41500,0.9143147394061089
242.18,67967,134.12141227722168,0.04688695,17.26595879231747,0.114948,0.07111892,1.993336,4175000,167,0.008357335,-0.0017928483,41750,0.7862599790096283
246.11,70245,134.89364075660706,0.021712394,17.72303252372658,0.0978,0.071769066,1.9949318,4200000,168,0.007525156,-0.0008416582,42000,0.8824620246887207
247.11,69154,135.63116145133972,0.018018316,17.72910363413801,0.12243201,0.071656995,1.996577,4225000,169,0.009537039,-0.0010440465,42250,0.8873083740472794
246.46,68671,136.36272954940796,0.0146723315,17.59212976164039,0.107636,0.071341835,1.9990423,4250000,170,0.007815469,-0.0017291766,42500,0.916016474366188
250.0,70197,137.12411451339722,0.0023010354,17.93941688035673,0.081712,0.071757674,2.004598,4275000,171,0.0064088656,-0.0018518369,42750,0.9823387246578932
247.03,66422,137.88715267181396,0.020084152,17.75534558485975,0.13543601,0.07176675,2.0070052,4300000,172,0.009899204,-0.0023190775,43000,0.8828366324305534
248.56,65642,138.67403292655945,0.013249626,18.035009889840147,0.15598801,0.072452776,2.007156,4325000,173,0.012248227,-0.0005335563,43250,0.9099726900458336
237.51,67338,139.45992827415466,0.05767546,17.09829907443491,0.10668801,0.07176598,2.006711,4350000,174,0.007827357,-0.0014334781,43500,0.7574452310800552
