serial_timesteps,ep_reward_mean,time_elapsed,approxkl,explained_variance,clipfrac,ep_len_mean,fps,n_updates,true_reward,value_loss,policy_entropy,policy_loss,total_timesteps
17750,4.291767844745191,62.291600704193115,0.0030869239,0.7969534993171692,0.028484002,75.3,65643,71,0.06292109,0.14189251,5.2314997,-0.0025719118,1775000
18000,4.877714879449213,63.12405323982239,0.0033384848,0.804968997836113,0.031067997,87.42,63729,72,0.06211245,0.1367598,5.2287874,-0.002513281,1800000
18250,4.0486776819510855,63.982155561447144,0.003616833,0.8050906807184219,0.037439995,78.21,68942,73,0.062076766,0.14530821,5.2222853,-0.0022167717,1825000
18500,5.22373813132046,64.73871231079102,0.0028795335,0.7830991297960281,0.025619999,98.59,65894,74,0.061297037,0.14786899,5.2131433,-0.0023393878,1850000
18750,5.316675660988548,65.66976475715637,0.0047599375,0.6761811375617981,0.056284,100.51,62141,75,0.06215724,0.2172378,5.205407,-0.0028067594,1875000
19000,5.4343064750045595,66.46616625785828,0.004791113,0.7108611762523651,0.054956,102.55,69298,76,0.061541263,0.20733646,5.201088,-0.0031021847,1900000
19250,5.2356197518808765,67.19989347457886,0.0029421097,0.752946525812149,0.027824,106.0,70296,77,0.059602167,0.18553437,5.194909,-0.0018688978,1925000
19500,7.366329685132987,67.93563199043274,0.0047538513,0.7229212522506714,0.055104006,143.7,62285,78,0.056954943,0.17406115,5.1897526,-0.0027259658,1950000
19750,8.12391194255726,68.71167206764221,0.0043270374,0.802213117480278,0.047072,153.76,68998,79,0.05868196,0.123769686,5.186376,-0.0026421198,1975000
20000,8.897391355943213,69.47992253303528,0.0042006215,0.7008748650550842,0.045544,165.65,65389,80,0.05913566,0.15851268,5.1825347,-0.0020937899,2000000
20250,10.038353983835604,70.29781699180603,0.0033171945,0.6825928092002869,0.034008,174.1,66511,81,0.058967352,0.17402744,5.1825147,-0.0023859362,2025000
20500,9.76006660298874,71.040691614151,0.0037272025,0.6451752185821533,0.040444,175.09,68640,82,0.059257187,0.1707656,5.18077,-0.0025897583,2050000
20750,11.737300630276032,71.7725260257721,0.0039102067,0.5759011507034302,0.044483997,211.34,68260,83,0.056706708,0.13832407,5.1799307,-0.0025257797,2075000
21000,11.985563061013563,72.49973106384277,0.0032272842,0.5157995820045471,0.033404,215.44,70076,84,0.055847816,0.13171728,5.17668,-0.0014871062,2100000
21250,12.088635473146214,73.21622967720032,0.0033237194,0.5843069553375244,0.029424,207.76,69353,85,0.058721326,0.14291334,5.1714983,-0.0017918668,2125000
21500,12.213736969892816,73.94199228286743,0.0037790865,0.6185102462768555,0.039167996,207.86,69942,86,0.060021065,0.13921222,5.1633787,-0.0020136875,2150000
21750,13.23486862156934,74.6652193069458,0.004149099,0.5823044180870056,0.044587996,216.99,70599,87,0.060770582,0.14573431,5.157199,-0.0029890751,2175000
22000,11.392745245443802,75.38550329208374,0.0027232189,0.5819723010063171,0.025296003,180.74,67847,88,0.06377547,0.18988886,5.1517386,-0.0017403687,2200000
22250,11.442572390426504,76.15048265457153,0.0037965018,0.6412797272205353,0.037464,179.11,67560,89,0.065227725,0.18355209,5.1493044,-0.0021307212,2225000
22500,11.04182875216945,76.8945243358612,0.0038026173,0.532619059085846,0.037836,167.92,68795,90,0.06418,0.24740946,5.1428256,-0.0024337498,2250000
22750,11.818079486061052,77.62430310249329,0.0044941846,0.6354214549064636,0.048476003,173.61,68587,91,0.06609363,0.19959375,5.1339836,-0.002031118,2275000
23000,8.603442051522562,78.35154819488525,0.004911336,0.6303872764110565,0.056383997,137.9,70590,92,0.06329284,0.25324124,5.125491,-0.0022522053,2300000
23250,9.425469763688707,79.1609423160553,0.003799927,0.5508791506290436,0.039088003,144.37,68238,93,0.0656467,0.3286571,5.121076,-0.0018731613,2325000
23500,8.393818061176011,80.05187344551086,0.005223659,0.6119511723518372,0.06283601,130.28,55878,94,0.06371303,0.3138243,5.1187463,-0.0017584723,2350000
23750,9.33229763976633,80.93418407440186,0.0031969636,0.5886173844337463,0.029432002,145.74,51795,95,0.065151565,0.30063814,5.118112,-0.0023047777,2375000
24000,12.758405343723075,81.87520575523376,0.0040503773,0.5517478287220001,0.042036,185.38,53210,96,0.06948819,0.25326672,5.115484,-0.0022180914,2400000
24250,14.158111522806102,82.97132134437561,0.0041080737,0.4867774248123169,0.044448,207.89,43245,97,0.0678077,0.23112044,5.11234,-0.0024864518,2425000
24500,14.842707195767147,84.24995422363281,0.0028763923,0.5247069597244263,0.025248,221.62,42867,98,0.06695129,0.18476719,5.106234,-0.0016912809,2450000
