serial_timesteps,true_reward,explained_variance,n_updates,ep_reward_mean,total_timesteps,time_elapsed,approxkl,policy_loss,policy_entropy,value_loss,ep_len_mean,clipfrac,fps
39000,0.03283694,0.9203657358884811,156,3.854015811850695,3900000,154.0957009792328,0.002694854,-0.0017200008,4.643191,0.61706096,54.43,0.022987999,50521
39250,0.03419347,0.8991879150271416,157,3.6589119681998636,3925000,155.04813408851624,0.0018577516,-0.0013237037,4.6384025,0.85748833,47.3,0.01118,51058
39500,0.036652274,0.9231716096401215,158,4.022152923359845,3950000,155.95469188690186,0.0025981634,-0.002437809,4.632267,0.63424957,51.86,0.018528,53877
39750,0.037403293,0.9270672500133514,159,4.396196553498994,3975000,156.83017659187317,0.0031235903,-0.001765134,4.623386,0.5826028,55.05,0.031076,53642
40000,0.03668408,0.9095504656434059,160,3.653494902578386,4000000,157.70075297355652,0.0028842136,-0.0012848083,4.6185226,0.6880538,49.95,0.025711998,53586
40250,0.036118764,0.9241571426391602,161,4.586415214978943,4025000,158.58557152748108,0.0033552845,-0.0022059018,4.6129203,0.64749384,55.42,0.032788005,56367
40500,0.03622591,0.9307927340269089,162,4.087035663780953,4050000,159.43580079078674,0.0027198526,-0.0014736092,4.603709,0.6075287,49.13,0.022016,55059
40750,0.039345372,0.9254887476563454,163,4.553501637534064,4075000,160.296471118927,0.0030208258,-0.0019981312,4.5948315,0.65516436,55.31,0.025652,51948
41000,0.037451215,0.9194450005888939,164,4.578813766951644,4100000,161.1978669166565,0.0031704463,-0.001435973,4.589172,0.6999127,57.89,0.029388001,54478
41250,0.033403244,0.9181058704853058,165,4.062917923260161,4125000,162.0854835510254,0.0042479564,-0.0016907733,4.584957,0.7079045,53.21,0.044044,44303
41500,0.040343948,0.9152869880199432,166,4.95339174843466,4150000,163.0651113986969,0.0033118657,-0.0016652379,4.581376,0.7164221,57.75,0.030431997,53867
41750,0.03800188,0.9183663055300713,167,4.219040215239802,4175000,163.95350575447083,0.004068916,-0.0020132216,4.5793905,0.7051834,53.06,0.044492,55968
42000,0.040715378,0.916359432041645,168,4.784302869811945,4200000,164.80360221862793,0.00381003,-0.0011485489,4.5763707,0.6433815,61.23,0.039748,53740
42250,0.0385677,0.9251797646284103,169,4.844814872212737,4225000,165.68310832977295,0.0025449758,-0.0015191227,4.5737424,0.62459964,59.19,0.019776002,51678
42500,0.04188589,0.927641823887825,170,3.8226710072689456,4250000,166.60488772392273,0.0032065741,-0.0017354445,4.5705237,0.60936594,55.45,0.033228,51843
42750,0.04315453,0.9023561179637909,171,4.767809606097871,4275000,167.5299322605133,0.0038448249,-0.001577813,4.5650644,0.786909,57.05,0.041712,53532
43000,0.039232448,0.9134534895420074,172,4.168330463139719,4300000,168.42639327049255,0.0022307285,-0.00044444477,4.5575423,0.70007217,52.53,0.017876,53145
