true_reward,total_timesteps,clipfrac,policy_entropy,serial_timesteps,explained_variance,approxkl,value_loss,fps,n_updates,ep_reward_mean,policy_loss,time_elapsed,ep_len_mean
0.008193075,23275000,0.127444,2.955901,232750,0.5149744749069214,0.009258641,0.44852024,57998,931,2.5071679272813405,-0.0007809968,798.9906277656555,247.68
0.003412769,23300000,0.066180006,2.956325,233000,0.8032475113868713,0.005499636,0.4056881,57392,932,1.8626924542027619,-0.0025408496,799.7973592281342,246.78
0.009280665,23325000,0.03436,2.9584699,233250,0.9747251980006695,0.0035322574,0.017414704,57768,933,2.3201662845213176,-0.0018354,800.6100823879242,250.0
0.0045286096,23350000,0.118255995,2.951448,233500,0.5042085647583008,0.008810996,1.0694997,57337,934,2.5945912745414805,-0.00041248812,801.4173200130463,246.1
0.008523649,23375000,0.045464,2.9471307,233750,0.970406411215663,0.0041367533,0.019351423,56999,935,2.1309121774522533,-0.0010867489,802.2222650051117,250.0
0.0077745873,23400000,0.028832,2.9422011,234000,0.9790597874671221,0.0033348699,0.026003975,56529,936,1.9436467830939954,-0.0017291944,803.0344772338867,250.0
0.0041301376,23425000,0.130864,2.9404576,234250,0.5389792025089264,0.009782997,0.6759966,55070,937,2.0052598664112145,-0.0011709782,803.851377248764,247.62
0.0061090253,23450000,0.051248003,2.9385102,234500,0.6426243185997009,0.0046756067,0.41048217,57754,938,2.0336813872051875,-0.0011873932,804.6807367801666,247.57
0.007372836,23475000,0.045627996,2.9360092,234750,0.8094328492879868,0.0044003287,0.26117173,57321,939,2.334001805801192,-0.0021254586,805.4897167682648,247.65
0.008955457,23500000,0.068032004,2.9306817,235000,0.9605765827000141,0.005507376,0.019152101,57952,940,2.238864252906655,-0.001303706,806.3108239173889,250.0
0.0055533126,23525000,0.07906,2.928062,235250,0.624162495136261,0.006698386,0.3633462,56325,941,1.8566526348421644,-0.0019526411,807.1240224838257,248.56
0.004200641,23550000,0.058192004,2.9289308,235500,0.49493157863616943,0.004835812,0.726478,54132,942,2.0587962393400305,-0.0010063511,807.9480934143066,249.15
0.009143864,23575000,0.044172,2.930608,235750,0.6019501686096191,0.00422442,0.39456287,56275,943,2.791041591935898,-0.0009468049,808.7922098636627,249.64
0.0065819374,23600000,0.047424,2.9272642,236000,0.6717861592769623,0.004307666,0.41769752,57772,944,2.148178613314686,-0.0012217723,809.6052930355072,248.71
0.0015150346,23625000,0.06373199,2.9254646,236250,0.40191954374313354,0.005327425,1.5101144,57635,945,2.3294531549506474,-0.001146428,810.4126145839691,242.47
0.005475866,23650000,0.097312,2.9237077,236500,0.6067655980587006,0.008199687,0.36589417,54372,946,1.8360303983202038,-0.0023483501,811.2395358085632,248.21
0.006818604,23675000,0.034856,2.922241,236750,0.6403474807739258,0.003558843,0.39828926,55616,947,2.1946715544947906,-0.00078279537,812.0749654769897,248.18
0.004519576,23700000,0.053308,2.9222922,237000,0.48911869525909424,0.0046299645,0.7540231,55778,948,2.0728462768622715,-0.0014544389,812.8942849636078,245.32
0.007688306,23725000,0.086176,2.9223003,237250,0.5925160348415375,0.006818035,0.44230127,55828,949,2.3811484952354887,-0.0016365045,813.7207469940186,247.85
0.008590253,23750000,0.057736,2.9212573,237500,0.960337907075882,0.004904099,0.016912814,55522,950,2.1475632393456756,-0.0015165971,814.5462265014648,250.0
0.008324608,23775000,0.076368004,2.9174385,237750,0.5701706409454346,0.0061991485,0.4122456,55836,951,2.5762686084441837,-0.00049504713,815.3674323558807,248.57
0.008615215,23800000,0.097632006,2.916616,238000,0.9568638429045677,0.0073510916,0.019218212,51447,952,2.1538036258962374,-0.00019894246,816.2217617034912,250.0
0.0076865926,23825000,0.042092003,2.9131472,238250,0.6229947805404663,0.0040048133,0.3759578,55382,953,2.429716266680233,-0.00088234694,817.0880341529846,247.69
0.008076353,23850000,0.03424,2.913309,238500,0.9556068815290928,0.0036743288,0.016331227,55594,954,2.0190882684365157,-0.0021486678,817.9029986858368,250.0
0.0061109243,23875000,0.051176,2.9181285,238750,0.6532072722911835,0.004672949,0.3433244,55698,955,2.0122118509921325,-0.00096881425,818.7210040092468,248.62
0.005761263,23900000,0.064592,2.9228482,239000,0.41131967306137085,0.005361293,0.85483295,55047,956,2.4113707906142032,-0.0016879446,819.5484595298767,245.49
0.00984906,23925000,0.044067997,2.928157,239250,0.9684703499078751,0.004114461,0.021331541,54848,957,2.4622651034707106,-0.002214842,820.3689074516296,250.0
-0.0027457203,23950000,0.12807599,2.927928,239500,0.30075812339782715,0.009448563,2.4581237,56328,958,2.1744152599262794,5.387324e-05,821.1943397521973,237.42
0.0076824427,23975000,0.032676004,2.9269967,239750,0.5749228298664093,0.0036749735,0.4182542,54817,959,2.347129294572519,-0.0007443984,822.0241389274597,247.62
0.0064277807,24000000,0.083019994,2.926307,240000,0.39619189500808716,0.0064517944,0.82879865,54234,960,2.6238445758243665,-0.0013120591,822.8441166877747,246.7
0.0037331672,24025000,0.050456,2.925571,240250,0.3716159462928772,0.0046249437,1.1922867,54825,961,2.3350069877904156,-0.00092632824,823.6737425327301,243.9
0.002496871,24050000,0.043360002,2.9237926,240500,0.4343366026878357,0.0041519077,1.1357822,54677,962,2.0580433316614815,-0.00082918943,824.5018649101257,242.99
0.0035312911,24075000,0.042388,2.9218686,240750,0.6562781631946564,0.0038973007,0.8522995,55246,963,2.290831377129048,-0.0016554119,825.3282082080841,245.27
0.0069821165,24100000,0.069744006,2.9181457,241000,0.7178753018379211,0.0058067786,0.30019802,56074,964,2.186027125384915,-0.002403941,826.1447491645813,247.54
0.008174958,24125000,0.0908,2.9157066,241250,0.5577622354030609,0.0074358187,0.47689897,52569,965,2.5429946268883517,-0.0018115342,826.9669239521027,248.6
0.0017466437,24150000,0.075732,2.9140773,241500,0.5669083595275879,0.006045097,1.2568127,54959,966,2.272544161891471,-0.0014145258,827.8136639595032,241.81
0.010606233,24175000,0.050908,2.9142675,241750,0.9531219154596329,0.0044369246,0.025108512,55336,967,2.6515579325019427,-0.0013378061,828.6357898712158,250.0
0.008168298,24200000,0.081291996,2.9126928,242000,0.6944618225097656,0.006471283,0.3161894,54656,968,2.4854018736996615,-0.0014853956,829.4614930152893,247.8
0.0032092377,24225000,0.120604,2.9125113,242250,0.3076605796813965,0.010117084,1.404422,55673,969,2.325928109401452,0.0002871679,830.3144524097443,245.24
0.0037649458,24250000,0.03516,2.912076,242500,0.5015033781528473,0.003498586,1.2363079,48748,970,2.3894228564915467,-0.000889236,831.1395847797394,244.28
0.006407737,24275000,0.006548,2.9094179,242750,0.6941685080528259,0.0016294327,0.8384369,50052,971,2.9444533281718055,-0.00060363935,832.0066759586334,243.79
0.004911223,24300000,0.034392,2.9074218,243000,0.8432984054088593,0.003481678,0.44414896,49983,972,2.176962051651902,-0.001545037,832.8925755023956,246.42
0.0058355574,24325000,0.048479997,2.909014,243250,0.5526412427425385,0.004271375,0.8140844,56279,973,2.469076499541004,-0.0011737142,833.7471513748169,247.34
0.007573302,24350000,0.082588,2.9138768,243500,0.5362605452537537,0.006653973,0.47818342,29437,974,2.3691442343373934,-0.0013587837,834.5363190174103,247.64
0.011089372,24375000,0.025940001,2.9159307,243750,0.9473964609205723,0.0031982984,0.033990674,55909,975,2.772343456701419,-0.0014629324,835.7349779605865,250.0
0.003161726,24400000,0.105148,2.9135077,244000,0.47456657886505127,0.007842283,1.1349978,46500,976,2.29479350574991,-0.0013015682,836.522712469101,246.21
0.0069717304,24425000,0.038328,2.9137259,244250,0.6095045506954193,0.003945502,0.6031124,56372,977,2.7070843494143855,-0.0017615327,837.4065079689026,246.76
0.008835211,24450000,0.016844,2.9145546,244500,0.7756153792142868,0.0022565078,0.2610886,44533,978,2.6749532767075577,-0.0006989838,838.2062020301819,247.78
0.010094416,24475000,0.030248001,2.914019,244750,0.9564178623259068,0.0031450603,0.022941545,54623,979,2.523604044240663,-0.0019726611,839.1168706417084,250.0
0.009904345,24500000,0.034816,2.9120362,245000,0.9413229376077652,0.003673903,0.021700691,54519,980,2.4760862690341,-0.0018483562,839.9435772895813,250.0
0.010662268,24525000,0.02536,2.9120994,245250,0.9507228545844555,0.0029638587,0.022812283,56835,981,2.6655674141113015,-0.0014069073,840.756237745285,250.0
0.008459112,24550000,0.023196,2.9116268,245500,0.9462646879255772,0.0027055214,0.09308067,55546,982,2.6072935125294494,-0.0012944915,841.5558905601501,248.78
0.008497002,24575000,0.06486,2.9118233,245750,0.6479300260543823,0.005455991,0.4018312,36172,983,2.6297609432294435,-0.001770831,842.3616459369659,249.62
0.0040634354,24600000,0.078572,2.912438,246000,0.5492980182170868,0.006452377,0.71920824,53048,984,1.9637872520097335,-0.0017844269,843.4319055080414,246.88
0.004210123,24625000,0.094744004,2.9147925,246250,0.3809792995452881,0.007951277,1.2205408,55314,985,2.46870914923346,-0.0018887253,844.2657074928284,244.13
0.009512163,24650000,0.021804001,2.9151778,246500,0.9617324322462082,0.002804301,0.036564417,56413,986,2.378040477931145,-0.0014741225,845.069836139679,250.0
0.007987427,24675000,0.06275199,2.9101722,246750,0.7312259078025818,0.005268575,0.49207434,55499,987,2.9343842614380287,-0.0012109543,845.8624670505524,246.26
-0.00039514786,24700000,0.082568005,2.9062738,247000,0.3984193801879883,0.006414668,2.2061715,55644,988,2.7554103029514305,-0.0010961608,846.6719174385071,239.81
0.007629934,24725000,0.054928005,2.9063172,247250,0.5364865958690643,0.004773254,0.7296928,55165,989,2.9042479293628514,-0.0019907376,847.4787640571594,246.09
0.009250393,24750000,0.026067998,2.9073434,247500,0.9571830183267593,0.0028760508,0.02003498,56796,990,2.312598195939903,-0.0014053416,848.2772612571716,250.0
0.007290362,24775000,0.039356,2.9069095,247750,0.4938059449195862,0.004086478,0.7439302,55781,991,2.7222934157355736,-0.00062247284,849.0730502605438,245.86
0.010311815,24800000,0.062812,2.9053512,248000,0.958156131207943,0.005252081,0.017329734,55312,992,2.5779540259628093,-0.0016098557,849.8720273971558,250.0
0.006116649,24825000,0.075928,2.9021456,248250,0.5986514985561371,0.006548401,0.64635015,49865,993,2.437698145447747,-0.0014417721,850.6769604682922,245.66
0.0097189415,24850000,0.04272,2.8994517,248500,0.9532674364745617,0.0041910694,0.019006852,55704,994,2.429735363388552,-0.0012897209,851.5289433002472,250.0
0.005822959,24875000,0.08825199,2.8922515,248750,0.6405467987060547,0.0068029636,0.6420136,46401,995,2.415329186145146,-0.0006578394,852.3243143558502,246.89
0.008881582,24900000,0.040724,2.8870063,249000,0.8150466829538345,0.004012725,0.21581265,54864,996,2.6684298527674444,-0.00073605386,853.2017059326172,247.71
0.0060693678,24925000,0.083312,2.883188,249250,0.6555204689502716,0.0064758146,0.6927906,55984,997,2.5159670528333042,-0.00081509986,854.0050823688507,248.38
0.0082742665,24950000,0.048887998,2.883123,249500,0.6810517311096191,0.0044707847,0.31155825,55851,998,2.5211784556544004,-0.0023288245,854.8041114807129,247.85
0.0048060655,24975000,0.048564,2.8839974,249750,0.48796790838241577,0.0044077775,1.0869519,56054,999,2.605350256553143,-0.00047289635,855.6251549720764,244.47
0.01078958,25000000,0.023484001,2.8852816,250000,0.9497278109192848,0.0027077578,0.023427185,55262,1000,2.697394726940419,-0.0020812943,856.4255666732788,250.0
-0.00073851884,25025000,0.077124,2.8859105,250250,0.38610613346099854,0.005846495,1.9366643,51691,1001,2.282633338079317,-0.0005388147,857.2259254455566,242.7
0.01043634,25050000,0.021208001,2.8843055,250500,0.9628408439457417,0.0026465328,0.034259416,55071,1002,2.609085347450969,-0.0020722488,858.0507206916809,250.0
0.006568696,25075000,0.07568,2.8779764,250750,0.5058678388595581,0.006210361,0.78600705,49480,1003,2.5994630965335217,-0.001544835,858.861435174942,246.59
0.010491019,25100000,0.082532,2.8770733,251000,0.7559534013271332,0.0068340404,0.27182788,55545,1004,3.066914364584984,-0.002213837,859.7372407913208,247.73
0.0059830514,25125000,0.041196,2.8770452,251250,0.7458556294441223,0.0039949045,0.50469553,55891,1005,2.4055344881991165,-0.0012394803,860.5419456958771,245.92
0.0065917317,25150000,0.020367999,2.8757768,251500,0.5459394752979279,0.0025241394,0.43191528,56908,1006,2.183888630514266,-0.00054356805,861.3346247673035,248.43
0.012559216,25175000,0.025843998,2.8762047,251750,0.9438747093081474,0.0030522186,0.026114946,56432,1007,3.1398036029626883,-0.0018368711,862.1177463531494,250.0
0.0075260284,25200000,0.090307996,2.869404,252000,0.5394107699394226,0.0070712855,0.44772148,56702,1008,2.3761181011340367,-0.0010364704,862.9289374351501,249.47
0.008986377,25225000,0.08195199,2.8649096,252250,0.434825599193573,0.0065832436,0.47867244,57558,1009,2.72087155576496,-0.0012668291,863.7273683547974,247.5
0.009887333,25250000,0.035931997,2.8626537,252500,0.9569623693823814,0.0038519222,0.016909797,45279,1010,2.471833329323236,-0.002231102,864.518316745758,250.0
0.005494798,25275000,0.076404,2.8572497,252750,0.42489081621170044,0.0060869353,0.79914767,56204,1011,2.34148691905182,-0.0010456657,865.4083116054535,247.32
0.008921466,25300000,0.053472,2.8540018,253000,0.9650558941066265,0.004826264,0.015575138,55369,1012,2.2303664086513173,-0.0018401742,866.2003228664398,250.0
0.008783542,25325000,0.048032,2.8480856,253250,0.9692314006388187,0.00441136,0.015462886,35626,1013,2.1958854301355357,-0.0017129697,866.9989490509033,250.0
0.008746648,25350000,0.060156,2.843665,253500,0.962220273911953,0.0051633283,0.019475054,55139,1014,2.186662050685667,-0.0011253862,868.0310785770416,250.0
0.00633539,25375000,0.124432005,2.8361003,253750,0.5905154347419739,0.00918519,0.6567325,56889,1015,2.533796355686404,-0.0009929466,868.8276746273041,247.27
0.006128037,25400000,0.070352,2.832127,254000,0.4818875789642334,0.006041579,0.78375614,56307,1016,2.5015586707810744,-0.00091652886,869.6150720119476,246.26
0.0091634765,25425000,0.036448,2.8300686,254250,0.602805882692337,0.00366813,0.39113918,55009,1017,2.7731457499131,-0.0025114564,870.4148240089417,248.24
0.008054612,25450000,0.066447996,2.824714,254500,0.6702461838722229,0.0055952994,0.31671825,54542,1018,2.4593444133736466,-0.0016654886,871.2421271800995,248.09
0.0020358881,25475000,0.083068,2.8205035,254750,0.7667312026023865,0.006505929,0.88921005,45442,1019,2.4347254419538005,-0.0013654337,872.0515940189362,243.17
0.005844875,25500000,0.030912,2.8195558,255000,0.5141886472702026,0.0033386224,1.0356815,57563,1020,2.8933452076493937,-0.0011153889,872.9548428058624,246.15
0.009355852,25525000,0.044292,2.8181694,255250,0.7946995794773102,0.0041363193,0.3174827,50412,1021,2.8120259024541294,-0.000678298,873.7390649318695,247.91
0.00019557029,25550000,0.052787997,2.8161082,255500,0.3934018015861511,0.004636882,1.9008265,53207,1022,2.500250622044715,-0.0013898031,874.5910360813141,243.53
0.008234703,25575000,0.037472,2.815173,255750,0.8589625507593155,0.0036395038,0.3784089,44578,1023,2.992430103466104,-0.0022095866,875.4252834320068,246.2
0.008605452,25600000,0.016408,2.8141308,256000,0.5865328907966614,0.0024510578,0.85395354,55361,1024,3.163067256718961,-0.00066544616,876.3327331542969,248.11
0.0053769066,25625000,0.053888004,2.8106477,256250,0.6359261870384216,0.0045408746,0.9587224,55589,1025,2.8287586070403936,-0.0024454878,877.1380269527435,246.17
0.0054478017,25650000,0.056456,2.8102748,256500,0.5306305885314941,0.005045002,1.0660803,54118,1026,2.769543744734608,-0.0015198269,877.9405944347382,244.98
0.0070271767,25675000,0.085268,2.8107364,256750,0.46226316690444946,0.0068077855,0.8445284,54557,1027,2.770466577485567,-0.0018675016,878.7578563690186,247.54
0.006425392,25700000,0.0483,2.8127673,257000,0.4531705975532532,0.0043880846,0.8166295,55167,1028,2.5840722183422624,-0.00090889895,879.5713584423065,247.75
0.0071501513,25725000,0.041571997,2.8146749,257250,0.5286590158939362,0.004033702,0.7301917,51279,1029,2.7452927726628946,-0.0024620383,880.3720018863678,246.56
0.011169656,25750000,0.032008,2.8146904,257500,0.6171701550483704,0.0034466449,0.358833,56148,1030,3.2551879364259366,-0.0010668191,881.2076735496521,248.09
0.0022270111,25775000,0.052964002,2.8146834,257750,0.6702084243297577,0.0047534616,1.1431792,55664,1031,2.5306662150157,-0.00042253282,882.001531124115,245.44
0.0088620465,25800000,0.050088,2.814939,258000,0.8016317486763,0.0044580875,0.23783915,41873,1032,2.66012077635363,-0.002095661,882.8258907794952,248.22
0.0077925893,25825000,0.101264,2.8140306,258250,0.407534122467041,0.008317529,0.83937854,56344,1033,2.899527096186871,-0.0014738301,883.7568616867065,246.62
0.0064671184,25850000,0.027892,2.8150895,258500,0.6827194690704346,0.0029984904,0.80463773,45941,1034,3.056577333622046,-0.00044804843,884.5622396469116,246.34
0.008178081,25875000,0.019175999,2.8170676,258750,0.4942913055419922,0.0023563947,0.46632606,48845,1035,2.549438176754988,-0.0015779743,885.467072725296,248.28
0.00732419,25900000,0.050800003,2.8175077,259000,0.894547313451767,0.0049403515,0.16850781,55541,1036,2.339853736270562,-0.0030067663,886.3203518390656,247.9
