n_updates,time_elapsed,value_loss,policy_entropy,total_timesteps,policy_loss,approxkl,explained_variance,serial_timesteps,fps,clipfrac,ep_reward_mean,ep_len_mean,true_reward
406,345.98052072525024,0.1507093,4.1668806,10150000,-0.002164785,0.0033194292,0.9675904363393784,101500,54945,0.030908,9.456569074901273,202.82,0.03819636
407,346.77388072013855,0.07987492,4.1686487,10175000,-0.001337746,0.0036895624,0.9821963924914598,101750,46051,0.036572002,10.414314917541732,222.25,0.041069206
408,347.6451036930084,0.064388104,4.167912,10200000,-0.0023383708,0.0031970604,0.9872404439374804,102000,36994,0.033359997,9.719096211709152,204.5,0.039622597
409,348.662150144577,0.08271413,4.163699,10225000,-0.0029211272,0.003868315,0.9796329159289598,102250,50280,0.042315997,10.627494733927742,224.52,0.04195459
410,349.48974561691284,0.072753064,4.157136,10250000,-0.0024438128,0.003906633,0.9814543705433607,102500,55615,0.044568,11.072738374106084,232.99,0.044051014
411,350.26933884620667,0.10661695,4.1520395,10275000,-0.0022590028,0.0043733534,0.9760724864900112,102750,54621,0.047640003,10.010770416445485,209.11,0.03977614
412,351.0607841014862,0.08156756,4.1493697,10300000,-0.0016520787,0.0032285233,0.9828940648585558,103000,39759,0.032348,9.554396655922828,196.36,0.03792903
413,352.01584911346436,0.11684264,4.1483397,10325000,-0.0017420413,0.0043537514,0.979143900796771,103250,55782,0.047776002,8.612551943084082,176.02,0.035091747
414,352.79046273231506,0.12872434,4.145164,10350000,-0.0019707666,0.002931518,0.9721769727766514,103500,54363,0.02748,9.198605190152508,184.98,0.035092458
415,353.6012718677521,0.15929267,4.144316,10375000,-0.0021986226,0.0036768776,0.9671594649553299,103750,53791,0.040379997,10.038399193718542,205.03,0.039435387
416,354.4130322933197,0.12685509,4.143224,10400000,-0.0020040958,0.004099674,0.9721720982342958,104000,54145,0.044888,10.211597373274271,213.25,0.04155306
417,355.21252059936523,0.09833003,4.1422257,10425000,-0.001629696,0.0049509807,0.9800038821995258,104250,55855,0.058992,10.724833372396734,210.79,0.042943183
418,356.0041353702545,0.12690093,4.1406527,10450000,-0.0020124088,0.0034768838,0.9767660833895206,104500,54142,0.03726,9.197338980743035,184.85,0.037274696
419,356.7944505214691,0.085661784,4.1389375,10475000,-0.0016847008,0.0035218745,0.9847965771332383,104750,56191,0.034952004,9.830907620927793,198.94,0.04025972
420,357.5830600261688,0.12399419,4.136677,10500000,-0.0018265552,0.002718732,0.9775909222662449,105000,53264,0.023532001,9.770777695359897,202.02,0.03838546
421,358.40559577941895,0.13238604,4.1352572,10525000,-0.0016469756,0.0026973456,0.9768645465373993,105250,54583,0.02332,9.337656161569102,185.26,0.038390417
422,359.2081377506256,0.114936605,4.1344576,10550000,-0.0026061237,0.002954595,0.9849283639341593,105500,55489,0.028316,8.188051943154132,165.61,0.034525156
423,359.9883086681366,0.17451143,4.1344767,10575000,-0.0024452875,0.003467447,0.9716598447412252,105750,52817,0.035244,8.71472789861833,168.49,0.036239445
424,360.8015558719635,0.10996629,4.1341534,10600000,-0.0020501595,0.003371756,0.9813176617026329,106000,54911,0.035499997,7.767290662931154,153.93,0.03388585
425,361.58676314353943,0.15138671,4.1347394,10625000,-0.0021329678,0.004604914,0.9742327779531479,106250,55023,0.053415995,9.329067185258845,176.0,0.038794477
426,362.3764581680298,0.27587962,4.1317406,10650000,-0.002158558,0.003663225,0.9567377418279648,106500,56458,0.040036,9.205299923355978,177.33,0.036569025
427,363.17277812957764,0.1610601,4.131353,10675000,-0.0022669141,0.0035661962,0.9736191313713789,106750,52232,0.035784,10.315899303004425,193.89,0.041951064
428,363.98071217536926,0.15238342,4.1336064,10700000,-0.0019515026,0.0038521823,0.9719062969088554,107000,55681,0.041124,10.712068619405018,200.25,0.044230904
429,364.7601692676544,0.13178237,4.132636,10725000,-0.0016472526,0.0029116261,0.9755084794014692,107250,54602,0.0261,9.742788933181224,188.55,0.040042687
430,365.55017161369324,0.09100279,4.1289015,10750000,-0.001958348,0.0034008708,0.9826540257781744,107500,55304,0.034792,10.29295244230383,192.95,0.04392617
431,366.3354969024658,0.093544155,4.1229844,10775000,-0.002005044,0.003826397,0.9801241774111986,107750,55483,0.039112,10.531525902031294,203.13,0.043141205
432,367.1142089366913,0.11517076,4.1168833,10800000,-0.0016641462,0.0034481634,0.9772254824638367,108000,55332,0.035048,10.37498608187383,193.04,0.0435702
433,367.89396929740906,0.1151701,4.112399,10825000,-0.0016067798,0.0032076638,0.9780027829110622,108250,54790,0.032112,10.816472123598578,210.37,0.044790953
434,368.69908928871155,0.14754334,4.1095605,10850000,-0.0017378766,0.0035282783,0.9709590449929237,108500,53921,0.036831997,9.924778980609808,185.64,0.04262067
