approxkl,value_loss,n_updates,clipfrac,fps,policy_loss,ep_len_mean,true_reward,explained_variance,total_timesteps,serial_timesteps,policy_entropy,ep_reward_mean,time_elapsed
0.0056598694,0.8607341,412,0.067868,54279,-0.0014817405,237.37,0.062441573,0.9132314696907997,10300000,103000,-2.0026083,16.37333297057493,347.7687916755676
0.0075268284,0.81261843,413,0.096056,52491,-0.00030210108,244.79,0.0645807,0.9169627130031586,10325000,103250,-2.007988,16.45053880150872,348.5762128829956
0.0108729815,0.67393374,414,0.139888,49178,0.0028354435,247.09,0.06518042,0.9123145043849945,10350000,103500,-2.0109837,16.560174248942438,349.3963551521301
0.0058037555,0.73608035,415,0.073351994,47036,-0.00045819106,247.18,0.0714132,0.9107335209846497,10375000,103750,-2.0112455,18.1719119227842,350.23294281959534
0.00493749,0.9105216,416,0.056956,54457,-0.0011935483,243.73,0.06569252,0.8940167725086212,10400000,104000,-2.0121896,16.700496848573966,351.0973451137543
0.009842334,1.052976,417,0.12912,54381,-0.00023043109,241.11,0.059086837,0.8765532672405243,10425000,104250,-2.0206273,15.084398586468597,351.8927164077759
0.013494557,1.2957343,418,0.16844001,55275,0.0014301194,230.41,0.060179044,0.8949529528617859,10450000,104500,-2.026236,16.173875557511927,352.6884377002716
0.0062189093,0.85156137,419,0.075404,54365,-0.0018023852,236.65,0.055904057,0.9269830882549286,10475000,104750,-2.027822,14.940555732701032,353.48185443878174
0.012111139,0.801147,420,0.15540001,54149,0.00041095336,241.49,0.061166707,0.9089745581150055,10500000,105000,-2.0289526,15.520539110667423,354.28952407836914
0.0068115927,1.2170026,421,0.087152004,39149,-0.00068846456,234.96,0.057684056,0.8845105841755867,10525000,105250,-2.030023,15.476694632370272,355.0869634151459
0.008035342,0.8907132,422,0.10538,55561,-7.085958e-05,244.0,0.065956175,0.8901740536093712,10550000,105500,-2.0345879,16.904002818246553,356.066588640213
0.005742979,0.49388862,423,0.06840001,56046,-0.00053555967,248.5,0.06611946,0.9475364163517952,10575000,105750,-2.040841,16.726606574602357,356.85356760025024
0.006187886,0.81247616,424,0.074452,34664,-0.0023283355,238.68,0.05895415,0.9278537631034851,10600000,106000,-2.0488832,15.737727777514083,357.6429579257965
0.008088759,0.9646066,425,0.10556801,55534,-0.0015824124,240.08,0.063185476,0.8951449319720268,10625000,106250,-2.055841,16.12267610053532,358.700248003006
0.00502009,1.1624643,426,0.057312004,53335,-0.0012964065,232.71,0.06278562,0.904582105576992,10650000,106500,-2.0618682,16.68180728242598,359.4852628707886
0.0057494147,0.61700726,427,0.070256,54668,-0.0024611868,241.04,0.0592281,0.9514512270689011,10675000,106750,-2.0668676,15.47180521267117,360.2891047000885
0.00891727,0.5258082,428,0.11704401,53199,0.0013042248,250.0,0.06351843,0.9305068403482437,10700000,107000,-2.0687473,15.87960720760777,361.0872538089752
0.015562333,0.9294394,429,0.199184,55746,0.004426799,245.64,0.06676943,0.8898284658789635,10725000,107250,-2.07087,16.92313359701764,361.8987686634064
0.0061726216,0.6742391,430,0.077727996,43700,-0.0013152219,245.77,0.06209444,0.9240875318646431,10750000,107500,-2.0711117,16.008139794147283,362.69138860702515
0.00942209,0.6375204,431,0.125152,49082,0.0011524642,246.28,0.06035871,0.9321887642145157,10775000,107750,-2.0702338,15.292232613913221,363.5911362171173
0.018259397,0.8960002,432,0.23113999,54036,0.004498524,244.53,0.062371586,0.8942423164844513,10800000,108000,-2.071175,16.25392951083835,364.43575978279114
0.006700746,0.6151454,433,0.082591996,51699,-0.0010085348,247.31,0.06740853,0.9350126162171364,10825000,108250,-2.0726423,17.147523668325114,365.249144077301
0.005953,0.6509058,434,0.07398001,55378,-0.0007637789,246.52,0.065171316,0.9320093616843224,10850000,108500,-2.074759,16.452520013580475,366.072411775589
0.0064457534,0.94173205,435,0.082256,53523,-0.002165395,239.02,0.060392972,0.9107633680105209,10875000,108750,-2.0803533,16.016790367756037,366.86079382896423
0.010398472,0.8265918,436,0.13828,53413,0.00087757857,240.36,0.05943955,0.9118149727582932,10900000,109000,-2.0883927,15.350490492132376,367.67264771461487
0.014173284,0.8313224,437,0.17826,54346,0.0029981148,244.27,0.061863102,0.918229267001152,10925000,109250,-2.092626,16.12830383694687,368.48683881759644
0.005654618,0.7867124,438,0.069252,53745,-0.001836828,244.59,0.063464716,0.9118981659412384,10950000,109500,-2.0956886,16.302226800119314,369.2919878959656
0.009120871,0.6239797,439,0.121832,48322,-0.00037928735,246.0,0.057997715,0.9410342127084732,10975000,109750,-2.1027484,15.42103196270223,370.09996604919434
0.023961222,0.849792,440,0.27386,54519,0.007851681,244.23,0.06915428,0.9068735912442207,11000000,110000,-2.107018,17.579271212742132,370.9609591960907
0.007613563,1.0135132,441,0.096724,36445,-0.001735186,243.03,0.06332316,0.9006210938096046,11025000,110250,-2.1074898,16.293341426675124,371.761435508728
0.0084218085,0.85876244,442,0.111552,56017,-0.0018074786,241.12,0.064737774,0.9134371802210808,11050000,110500,-2.1053934,16.66149964936427,372.7878658771515
0.0075318133,0.56009483,443,0.095464006,56140,0.00014972492,244.9,0.06624135,0.9389371946454048,11075000,110750,-2.103705,16.94911137424293,373.5669832229614
0.005915759,0.93354416,444,0.071516,53998,-0.0015131232,239.12,0.065310635,0.9160931557416916,11100000,111000,-2.1046224,16.960802546956916,374.3443489074707
0.008500007,1.2303294,445,0.10914,53005,9.4066e-05,239.21,0.057099786,0.8729056417942047,11125000,111250,-2.105157,14.789498801025445,375.16135001182556
0.011475635,1.1588751,446,0.142332,54157,0.0013150279,237.4,0.06096248,0.8875627517700195,11150000,111500,-2.1054366,15.859516674361657,375.9992072582245
0.013719931,0.5844555,447,0.15606001,46791,0.0032511738,247.61,0.062419105,0.9300190210342407,11175000,111750,-2.1053243,15.728658053518998,376.80005741119385
0.01273751,1.1214542,448,0.14826801,56316,0.0029295734,239.3,0.062662885,0.8976081609725952,11200000,112000,-2.1037862,16.260583619488816,377.66411876678467
0.010676237,0.7166137,449,0.13920799,41084,0.00065511314,243.06,0.06091112,0.9261469766497612,11225000,112250,-2.1041586,15.470765413897443,378.44782185554504
0.005701136,1.313608,450,0.068188,46943,-0.0017229231,234.07,0.058595937,0.8804994970560074,11250000,112500,-2.106422,15.441054582659854,379.39199781417847
0.00592349,1.0835017,451,0.070584,55812,-0.0013261035,241.65,0.06774124,0.8994997963309288,11275000,112750,-2.110286,17.398456415341787,380.25479555130005
0.006072088,1.6961168,452,0.076288,54496,-0.00204838,230.38,0.055953883,0.8482354432344437,11300000,113000,-2.1150384,14.940524361691569,381.05097675323486
0.0071921437,0.85893357,453,0.094248,54407,-0.00024652045,244.46,0.06759278,0.9017242640256882,11325000,113250,-2.1174798,17.100130156882006,381.84609937667847
0.004311205,1.0247586,454,0.046620004,46558,-0.0016662357,239.76,0.06167146,0.8976952880620956,11350000,113500,-2.1181092,16.016871201122957,382.6491107940674
0.0061488505,0.8940199,455,0.077172,38503,-0.0019323515,240.03,0.057493646,0.9047844931483269,11375000,113750,-2.1163635,14.929559940182553,383.515079498291
0.0059895543,0.81325454,456,0.073327996,45439,-0.00200949,244.75,0.06504229,0.9130906760692596,11400000,114000,-2.1122792,16.49667875659259,384.493079662323
0.0044127903,0.9073188,457,0.049000002,56730,-0.0016394255,241.84,0.060204282,0.8888849169015884,11425000,114250,-2.1072316,15.577653608919027,385.3785300254822
0.0058603403,0.5015984,458,0.071436,54256,-0.0008236164,248.69,0.06509045,0.9487365037202835,11450000,114500,-2.1059866,16.428668177228175,386.16008019447327
0.011205237,0.79496175,459,0.15912002,47909,0.0023187282,241.16,0.06182476,0.9250649064779282,11475000,114750,-2.1107357,16.18275981191313,386.9681029319763
0.00645255,1.3581171,460,0.0809,54934,-0.0010001796,233.33,0.060160365,0.885305255651474,11500000,115000,-2.1158624,15.846860302247224,387.8436756134033
0.005618491,0.8828257,461,0.066024,41507,-0.00077625096,244.08,0.06843874,0.9049512669444084,11525000,115250,-2.1201863,17.716189723471178,388.63601517677307
0.0068995776,0.5433265,462,0.089024,55584,-0.00044980124,249.16,0.06221448,0.9347574412822723,11550000,115500,-2.121716,15.74180510571885,389.5683271884918
0.0045979302,0.9306032,463,0.050756,54892,-0.0020347831,241.98,0.06532909,0.9028592854738235,11575000,115750,-2.1213307,16.91851209912943,390.35680079460144
0.0071476316,0.9375862,464,0.093996,53881,-0.0007889055,240.68,0.06542049,0.9018052294850349,11600000,116000,-2.1191392,16.537100064253753,391.14759850502014
0.005420548,0.6890436,465,0.063992,49875,-0.00083853287,244.54,0.061359003,0.9214337468147278,11625000,116250,-2.1183624,15.774193358004414,391.965767621994
0.0055705993,0.8606242,466,0.065552,50783,-0.0009514168,241.12,0.05953969,0.915728747844696,11650000,116500,-2.1196413,15.768427414136358,392.80203080177307
0.0056600696,0.69910985,467,0.066980004,43433,-0.0011699563,243.55,0.0638801,0.9357162341475487,11675000,116750,-2.1238048,16.17011841207044,393.6297559738159
0.016493596,0.7681759,468,0.21154399,56274,0.004622519,243.78,0.060952626,0.907318077981472,11700000,117000,-2.1284308,15.700085103290675,394.54017305374146
0.0087683685,1.0155126,469,0.114456,45771,0.0006569048,235.13,0.054928258,0.8993410095572472,11725000,117250,-2.1311812,14.339478262634803,395.31578302383423
0.00688169,0.6415688,470,0.085632004,54689,-0.00022071418,245.6,0.05919898,0.9205624982714653,11750000,117500,-2.133186,15.031231855689548,396.1983118057251
0.005448887,0.74399793,471,0.064824,48562,-0.0012216164,243.56,0.06364293,0.9171842560172081,11775000,117750,-2.139766,16.233199748807674,396.99279832839966
0.00752317,0.6051949,472,0.095920004,56082,-0.0014987027,246.6,0.05873529,0.9260880053043365,11800000,118000,-2.147607,15.007383455959499,397.8430144786835
0.010757268,0.49841914,473,0.15010001,48356,0.000662055,247.85,0.06527944,0.9425979144871235,11825000,118250,-2.1542726,16.45203385781031,398.6229712963104
0.009698324,0.49409038,474,0.13386801,55281,0.001577938,250.0,0.067525074,0.9365962669253349,11850000,118500,-2.1591592,16.881269452633422,399.47498178482056
0.0095632505,0.6902432,475,0.120444,52927,0.00078138325,247.7,0.07130618,0.9178910031914711,11875000,118750,-2.164211,17.950930195067794,400.26560974121094
0.013271113,0.69842243,476,0.165036,54467,0.0035396994,246.39,0.069021866,0.9346843287348747,11900000,119000,-2.169113,17.612072255737658,401.0732045173645
0.008846659,0.49514022,477,0.11316,54429,-0.00024320355,250.0,0.06415684,0.9382902234792709,11925000,119250,-2.1738963,16.03921068981799,401.86468052864075
0.015112944,0.48874196,478,0.190496,54617,0.005158007,250.0,0.066530086,0.9335314407944679,11950000,119500,-2.1778884,16.632521037806292,402.6768786907196
0.0048948145,0.8015226,479,0.055984,54957,-0.0014175186,243.39,0.06350148,0.910311333835125,11975000,119750,-2.1819234,16.495310882527303,403.4775400161743
0.0057707657,0.5646579,480,0.071144,33078,-0.001797213,247.53,0.066605136,0.9359356835484505,12000000,120000,-2.1878524,16.575957230878995,404.2829821109772
0.0054324153,0.788972,481,0.0642,55266,-0.0018676162,243.32,0.058959547,0.9236371591687202,12025000,120250,-2.1952243,15.380929032386922,405.386962890625
0.0058668563,0.6185551,482,0.0708,55957,-0.0012660066,246.61,0.06313787,0.9281217977404594,12050000,120500,-2.201075,16.111080947795454,406.1671621799469
0.013768624,0.5327814,483,0.17111601,53493,0.0034372024,244.92,0.064585805,0.9491367489099503,12075000,120750,-2.2069378,16.66496130754531,406.9591598510742
0.005062932,0.53295994,484,0.056255996,54436,-0.001793979,248.51,0.06297898,0.9292807653546333,12100000,121000,-2.210978,15.892827220705222,407.8013799190521
0.007194386,0.5191208,485,0.092852004,35449,-0.0015283207,245.2,0.060530417,0.9476853534579277,12125000,121250,-2.2165384,15.286344740717091,408.5927929878235
0.01570501,0.65493727,486,0.206188,56765,0.004598691,240.91,0.06386461,0.9381048418581486,12150000,121500,-2.2191246,16.57849233758181,409.6335380077362
0.00601033,0.7479617,487,0.074376,55067,-0.0012896628,242.06,0.06059041,0.918613500893116,12175000,121750,-2.219676,15.429460778147932,410.4016888141632
0.007968084,0.55001926,488,0.106016,53090,-0.00014891941,246.76,0.06593256,0.9389264024794102,12200000,122000,-2.2194345,16.736251037781475,411.19409704208374
0.016220564,0.54865587,489,0.187652,55747,0.004904433,250.0,0.06811846,0.9345366135239601,12225000,122250,-2.2181172,17.029614713035663,412.0138146877289
0.0056074476,0.59336394,490,0.067456,55730,-0.0008481618,245.31,0.06192986,0.943132609128952,12250000,122500,-2.2191076,15.849647397537993,412.81040716171265
0.0067750216,0.59965146,491,0.083264,53953,-0.0012247253,247.41,0.061209843,0.9315038472414017,12275000,122750,-2.2211275,15.640003191278812,413.5947575569153
