total_timesteps,ep_len_mean,value_loss,policy_loss,explained_variance,policy_entropy,serial_timesteps,time_elapsed,n_updates,approxkl,true_reward,fps,ep_reward_mean,clipfrac
9500000,231.74,0.7605317,-0.00094884326,0.7978302985429764,-0.069736436,95000,337.55605387687683,380,0.0060974974,0.035483673,54480,9.47613706516413,0.07563601
9525000,237.93,0.591912,-0.0015363725,0.8350545763969421,-0.068621136,95250,338.36310505867004,381,0.0043580574,0.03792924,56901,9.997895109362908,0.04928
9550000,233.63,0.75008774,-0.002316922,0.8253577798604965,-0.06992816,95500,339.1652572154999,382,0.0053883083,0.039177567,42254,10.459834335853992,0.062215995
9575000,237.28,0.66914797,-0.0011525918,0.7872093468904495,-0.070621,95750,340.11627769470215,383,0.004324256,0.038949527,56310,10.096848417393995,0.046256
9600000,233.19,0.67372024,-0.0011749557,0.8498605340719223,-0.071713336,96000,340.97605204582214,384,0.0042936774,0.03688102,52219,9.736409366142635,0.047500003
9625000,240.08,0.3959635,-0.002072324,0.8962811008095741,-0.07602817,96250,341.8513271808624,385,0.00453948,0.04134004,54526,10.527246152567972,0.048268
9650000,231.61,0.6128125,-0.0011677614,0.8639358133077621,-0.07897017,96500,342.69763469696045,386,0.005726354,0.037982367,56065,10.1845654408685,0.071380004
9675000,233.25,0.712127,-0.0013103016,0.8099288791418076,-0.07619626,96750,343.5243604183197,387,0.0051639,0.03506522,56150,9.451054684560276,0.060032
9700000,231.13,0.6913041,-0.0010910274,0.8070372939109802,-0.06964366,97000,344.3483784198761,388,0.0043893224,0.03391728,55818,9.055205470340706,0.046848
9725000,233.6,0.69842494,-0.0017590899,0.7986256331205368,-0.066907,97250,345.17315888404846,389,0.004225512,0.03517083,48756,9.285141339210094,0.046
9750000,243.33,0.71256703,-0.001815615,0.8065214306116104,-0.06781073,97500,346.048691034317,390,0.0048134527,0.04836528,55893,12.480235174220216,0.054292
9775000,234.79,0.8003167,-0.0014100528,0.784771591424942,-0.070648946,97750,346.8622224330902,391,0.006241994,0.036779072,56348,9.901259916307335,0.07721599
9800000,225.89,0.9577238,-0.0017809592,0.7813373804092407,-0.072902754,98000,347.67550563812256,392,0.00510855,0.034774274,58125,9.594739956080561,0.060644
9825000,231.52,0.777051,-0.0016960263,0.7775266468524933,-0.07441776,98250,348.51658606529236,393,0.005071382,0.03374089,51936,9.343308582508998,0.060064
9850000,235.37,0.6419644,-0.001094105,0.8318846821784973,-0.075729124,98500,349.42190051078796,394,0.006368221,0.040352046,52026,10.37923231135941,0.080556
9875000,217.3,0.82379043,-0.0014918527,0.8444675356149673,-0.07845298,98750,350.3232424259186,395,0.0045889276,0.033393838,52103,8.97224045594065,0.051724005
9900000,239.87,0.5692143,-0.001902723,0.8217673450708389,-0.07836528,99000,351.213506937027,396,0.005310861,0.041271396,51992,10.68367134787871,0.063792
