true_reward,total_timesteps,n_updates,fps,ep_reward_mean,ep_len_mean,policy_entropy,approxkl,time_elapsed,explained_variance,policy_loss,clipfrac,serial_timesteps,value_loss
0.064823635,2450000,98,56420,16.73027614853136,245.25,-3.9019294,0.011706033,89.27876806259155,0.9339097589254379,0.0011091044,0.14952001,24500,0.6996746
0.06750131,2475000,99,49969,17.132325267374398,247.98,-3.9001431,0.009760471,90.09510827064514,0.9370831623673439,-0.0010328009,0.13210002,24750,0.6014191
0.05941903,2500000,100,52261,15.27447239291112,244.91,-3.8996983,0.011175772,90.94395875930786,0.9528646767139435,0.0006510884,0.146056,25000,0.5278536
0.07019994,2525000,101,56615,17.549984359777035,250.0,-3.901894,0.013317749,91.79556226730347,0.9579480290412903,0.0033610184,0.16931601,25250,0.4394927
0.06903422,2550000,102,57004,17.25855410308868,250.0,-3.904805,0.034599878,92.58594679832458,0.9505176655948162,0.014494291,0.333064,25500,0.4814478
0.06225633,2575000,103,42335,15.754247592077808,248.94,-3.9046822,0.01380297,93.3933310508728,0.9429925829172134,0.0019971114,0.18224399,25750,0.5419268
0.06558788,2600000,104,45876,16.61670623731159,246.37,-3.9046054,0.018064449,94.34144353866577,0.9413836002349854,0.0054469933,0.23162802,26000,0.5751103
0.067452356,2625000,105,57523,16.981218748284753,247.52,-3.9046047,0.016152028,95.2431960105896,0.955669928342104,0.0042621167,0.21032,26250,0.44593412
0.063609,2650000,106,55476,16.047824854488937,248.47,-3.9049945,0.0098776985,96.03936815261841,0.9644176550209522,0.00086825044,0.12932,26500,0.39277622
0.058241468,2675000,107,56225,15.109020299027325,245.83,-3.9086056,0.01892368,96.84592175483704,0.9173713251948357,0.0024377634,0.24455197,26750,0.78264123
0.06269298,2700000,108,56340,16.000223787679133,247.04,-3.911538,0.02891698,97.64521670341492,0.9559809938073158,0.011015515,0.295976,27000,0.5357124
0.06658113,2725000,109,55336,16.794011285626294,248.59,-3.913716,0.009305919,98.44623160362244,0.9507929272949696,0.00048864924,0.125836,27250,0.47142872
0.06256096,2750000,110,55903,15.697667589911726,248.61,-3.9166005,0.023997327,99.2591781616211,0.9392271004617214,0.008978355,0.26553202,27500,0.54743665
0.060253065,2775000,111,57794,15.718115338087372,245.36,-3.9178188,0.007602339,100.06267499923706,0.9393665231764317,-0.0008835377,0.099292,27750,0.6479866
0.062688254,2800000,112,56949,16.03410420951658,247.88,-3.91966,0.016848657,100.86240196228027,0.9196610301733017,0.0032476918,0.208756,28000,0.69921553
0.06814474,2825000,113,55333,17.332301840404362,246.47,-3.9225209,0.016503531,101.67425465583801,0.9310704693198204,0.0036913566,0.206512,28250,0.7434346
0.063932575,2850000,114,55414,16.149366279923196,248.61,-3.9239585,0.010397886,102.5106987953186,0.9492882378399372,0.00045330665,0.137508,28500,0.50189424
0.06990972,2875000,115,57256,17.648988145126495,248.83,-3.9251943,0.012110299,103.32853269577026,0.940554928034544,0.0020820352,0.172224,28750,0.57252485
0.06530287,2900000,116,50850,16.681826729304795,247.39,-3.9239006,0.030328784,104.12051105499268,0.9307187497615814,0.010740442,0.32336003,29000,0.62428147
0.064249285,2925000,117,55430,16.397793428669537,247.39,-3.924422,0.016251627,104.97833013534546,0.9458203203976154,0.0034573586,0.21081999,29250,0.581489
0.070244044,2950000,118,55674,17.704172996054403,248.36,-3.9280865,0.026919147,105.80866694450378,0.959445983171463,0.011543611,0.30620402,29500,0.4579397
0.072637126,2975000,119,53785,18.159280898093726,250.0,-3.9303565,0.0129564,106.6214165687561,0.9500278010964394,0.00373571,0.17796001,29750,0.49862403
0.069930255,3000000,120,52006,17.482564947367646,250.0,-3.9315841,0.023930963,107.44833374023438,0.9556467458605766,0.009064486,0.253008,30000,0.43478456
0.061466634,3025000,121,57268,15.96495224014936,245.48,-3.9312205,0.015400981,108.284752368927,0.938167829066515,0.004069117,0.1783,30250,0.6300076
0.069633365,3050000,122,55424,18.036355340207663,244.41,-3.9307942,0.086155914,109.08242201805115,0.9231767654418945,0.02510671,0.438656,30500,0.85145265
0.063278854,3075000,123,49027,16.37599682628701,243.62,-3.9267266,0.025084307,109.89670062065125,0.9313582181930542,0.009033745,0.274688,30750,0.70745295
0.064405486,3100000,124,50955,16.288134607065352,248.98,-3.9234173,0.008396212,110.77119565010071,0.9480647072196007,0.0003166107,0.112064004,31000,0.5642082
0.06741478,3125000,125,56967,17.227106592550044,248.84,-3.9250607,0.017384654,111.61938238143921,0.9472220242023468,0.006131212,0.23393199,31250,0.5120167
0.06557772,3150000,126,46106,16.555615290814313,245.8,-3.9265873,0.014029065,112.42465996742249,0.9583835303783417,0.0031341016,0.179872,31500,0.44006222
0.0674155,3175000,127,47269,17.031919049894714,248.83,-3.9310024,0.017801516,113.33126616477966,0.9450156204402447,0.0055217794,0.231108,31750,0.55334353
0.06894679,3200000,128,36386,17.40008741209531,248.92,-3.933564,0.012200741,114.21983098983765,0.9479929581284523,0.002579033,0.14645998,32000,0.49512547
0.068037644,3225000,129,56627,17.459959717105956,245.26,-3.9328296,0.008584593,115.25410676002502,0.9306278750300407,0.00090143085,0.11035601,32250,0.71734107
0.060876485,3250000,130,56916,15.551138221516739,245.95,-3.9347045,0.010536124,116.05846834182739,0.9441460557281971,0.00058651355,0.13680801,32500,0.5594274
0.06626921,3275000,131,41160,16.56730267614021,250.0,-3.938165,0.021638112,116.85995244979858,0.9422243423759937,0.006965205,0.23926401,32750,0.48628038
0.07366614,3300000,132,57499,18.41653573257503,250.0,-3.940309,0.01763874,117.81822752952576,0.9459526762366295,0.0065660155,0.21322,33000,0.50702095
0.060812887,3325000,133,41205,15.322518740267041,247.64,-3.9450912,0.010366835,118.62744474411011,0.9440453499555588,0.0006329414,0.13759598,33250,0.50157756
0.06672078,3350000,134,52715,16.680195587583583,250.0,-3.9524808,0.011202951,119.58608984947205,0.9536516405642033,0.0021982482,0.149916,33500,0.42947182
0.069558404,3375000,135,41250,17.74506945588826,247.39,-3.9581838,0.021080341,120.41618275642395,0.9263346567749977,0.006449948,0.228988,33750,0.7141707
0.06422147,3400000,136,58384,16.57300623489995,246.77,-3.9585297,0.01312024,121.37151670455933,0.94570467248559,0.0037575806,0.139156,34000,0.545373
0.06483592,3425000,137,54443,16.5110060800911,246.85,-3.9598804,0.009654438,122.15082883834839,0.9480583667755127,-1.6469368e-05,0.122843996,34250,0.50438035
0.06440278,3450000,138,57132,16.571268827334425,245.81,-3.964437,0.01896695,122.9829113483429,0.9397158585488796,0.0059619853,0.23517999,34500,0.6517859
0.07041174,3475000,139,48418,17.602934500622986,250.0,-3.967361,0.010957362,123.77522277832031,0.9555483348667622,0.0021515482,0.15350801,34750,0.4176013
0.073406726,3500000,140,53299,18.535020280889004,248.78,-3.9686275,0.011324438,124.65631532669067,0.9376124888658524,0.0016689483,0.150576,35000,0.6021889
0.06772953,3525000,141,55724,17.30894544971814,248.55,-3.9682255,0.016793977,125.50897765159607,0.9398804940283298,0.0051925997,0.221616,35250,0.6029264
0.070093274,3550000,142,56482,18.032905954593225,246.65,-3.969996,0.011398282,126.3123824596405,0.9462475851178169,0.0014480852,0.143272,35500,0.60892665
0.06500034,3575000,143,53484,17.161042135463596,245.03,-3.9734368,0.023527643,127.10217356681824,0.9153276234865189,0.0068207793,0.26684,35750,0.9414774
0.06429508,3600000,144,51559,16.289896414443064,247.31,-3.975998,0.02016283,127.95258975028992,0.9466000199317932,0.0071436726,0.231752,36000,0.6172417
0.054876264,3625000,145,55889,14.483694594182598,241.79,-3.9765255,0.0091954125,128.80493092536926,0.9125045612454414,-0.00055361167,0.123951994,36250,0.8840907
0.06243908,3650000,146,56291,16.131995231181953,245.76,-3.974587,0.014100738,129.60678029060364,0.9407577700912952,0.002419858,0.18583998,36500,0.6745449
0.06852616,3675000,147,57605,17.64856782120187,246.82,-3.9714432,0.012060351,130.41447019577026,0.9437018632888794,0.001829283,0.15277602,36750,0.6320098
0.06623048,3700000,148,55899,17.12019354732722,247.63,-3.968001,0.022014856,131.20774292945862,0.9350936338305473,0.0068255267,0.25290802,37000,0.66374505
0.063094884,3725000,149,56444,16.431020459237626,244.83,-3.9668114,0.015325246,132.06550312042236,0.9310474395751953,0.0025498632,0.18662,37250,0.7656678
0.06619732,3750000,150,58402,17.234924012946735,244.31,-3.9651039,0.036080413,132.94846415519714,0.9275290369987488,0.01149934,0.29402003,37500,0.81970817
0.06293491,3775000,151,48616,16.394424341225967,244.92,-3.96532,0.026568115,133.84779930114746,0.9365804418921471,0.0076891975,0.24848399,37750,0.70111597
0.06822102,3800000,152,52707,17.589560515370867,243.93,-3.9647205,0.02129003,134.85410952568054,0.9238152056932449,0.00691128,0.243908,38000,0.8436867
0.068307035,3825000,153,57029,17.803324188297843,246.07,-3.9652667,0.009581061,135.69873642921448,0.9324637949466705,-0.00021187565,0.12754801,38250,0.7388792
0.0581916,3850000,154,55958,15.107010001576572,245.9,-3.968176,0.007251573,136.48724102973938,0.9257714301347733,-0.000901695,0.09342001,38500,0.742303
0.0671385,3875000,155,56160,16.9751975095745,249.55,-3.9702675,0.01308164,137.3035593032837,0.9422884806990623,0.0032700724,0.16046001,38750,0.55266124
0.0656491,3900000,156,54463,16.775525971463377,245.45,-3.9697902,0.02166554,138.10741639137268,0.9369514882564545,0.0058028894,0.24507198,39000,0.6557284
0.06631448,3925000,157,43777,16.914424450725818,247.08,-3.9683251,0.020654578,138.90707802772522,0.9398268163204193,0.00742373,0.246892,39250,0.61588264
