serial_timesteps,policy_entropy,ep_reward_mean,fps,policy_loss,value_loss,explained_variance,clipfrac,approxkl,true_reward,n_updates,total_timesteps,time_elapsed,ep_len_mean
127000,4.853957,3.140288280287655,51218,-0.0011473052,0.53576195,0.9699698723852634,0.016955,0.0025466534,-0.05568371,127,12700000,463.41044783592224,106.86
128000,4.843723,3.3604055012766185,44277,-0.0010976922,0.55075175,0.9690096043050289,0.014449999,0.001958407,-0.056914777,128,12800000,467.07998156547546,107.52
129000,4.836154,3.252643978553915,54361,-0.0009769489,0.5223209,0.9709909334778786,0.014136,0.0022309902,-0.0553688,129,12900000,471.1081635951996,102.28
130000,4.8281264,3.491673744433028,51896,-0.0010250345,0.56161314,0.9687556810677052,0.023153001,0.002840592,-0.05008737,130,13000000,474.6888430118561,115.42
131000,4.820879,3.3800718550653936,52781,-0.0009670363,0.50408,0.9721929468214512,0.012514999,0.0020135576,-0.05408691,131,13100000,478.3233230113983,110.32
132000,4.8145614,3.3903924218442034,54719,-0.0009735859,0.53947276,0.9701109249144793,0.013067,0.0020598513,-0.053938314,132,13200000,481.9765155315399,108.32
133000,4.805838,3.64199371316648,52113,-0.0010266106,0.51271844,0.9716448113322258,0.015721,0.0023127818,-0.053933565,133,13300000,485.56609058380127,107.8
134000,4.7982836,4.513106985814566,54167,-0.0011509538,0.48478746,0.9732405170798302,0.0156149985,0.002293004,-0.053205136,134,13400000,489.2241725921631,112.71
135000,4.792346,3.1120359260042734,52087,-0.0011245378,0.48427707,0.9733869675546885,0.017958999,0.0023964976,-0.054351382,135,13500000,492.80194449424744,114.1
136000,4.788295,3.8434011752830703,57005,-0.00083929225,0.59251165,0.9681000523269176,0.011837999,0.0018679664,-0.05145914,136,13600000,496.45559787750244,102.89
137000,4.783022,3.84478625144493,54470,-0.0010217765,0.5536748,0.9694660771638155,0.015522,0.002210271,-0.051270965,137,13700000,499.96208667755127,115.28
138000,4.774784,3.8478610124346506,52080,-0.0012288655,0.523286,0.9712250344455242,0.021689,0.002688452,-0.05330329,138,13800000,503.5281767845154,112.24
139000,4.766156,3.3752019035726515,51948,-0.00092905655,0.6417268,0.965415894985199,0.017869,0.0023942192,-0.052499995,139,13900000,507.18057656288147,112.28
140000,4.7584596,3.0923875127120484,51121,-0.00092075265,0.5561319,0.9696496203541756,0.013902999,0.002215527,-0.050967555,140,14000000,510.8339829444885,106.65
141000,4.7488275,3.3320138988874897,55149,-0.0011153022,0.5980231,0.9673501886427402,0.016841,0.0022469582,-0.053960737,141,14100000,514.5261087417603,108.04
142000,4.7371545,2.9556244243079437,45535,-0.0010598329,0.5239475,0.9715012237429619,0.017087001,0.0024210967,-0.052187495,142,14200000,518.0811161994934,116.15
143000,4.724532,3.095586581006105,58365,-0.0010797105,0.56325895,0.9690778814256191,0.014847999,0.002258695,-0.05339625,143,14300000,522.019935131073,111.58
144000,4.7157435,3.6453535564168122,47588,-0.00076555944,0.6024147,0.9663312137126923,0.024340998,0.0030170963,-0.04781143,144,14400000,525.4475538730621,110.31
145000,4.7075167,3.6526307638037814,54837,-0.0010246842,0.52264994,0.9705683048814535,0.016666,0.0025164557,-0.047505878,145,14500000,529.2710893154144,117.52
