total_timesteps,ep_len_mean,clipfrac,value_loss,approxkl,serial_timesteps,policy_entropy,explained_variance,policy_loss,fps,time_elapsed,true_reward,n_updates,ep_reward_mean
2075000,55.15,0.097128,0.73906434,0.008160262,20750,5.65622,0.9301636815071106,0.00084842497,43436,77.57264137268066,0.18188708,83,10.15713287949562
2100000,53.57,0.073952,1.1465253,0.0068295365,21000,5.65328,0.8914246037602425,0.0021648328,46751,78.71416163444519,0.1819326,84,9.90012596964836
2125000,50.91,0.022928,1.2224433,0.0024817702,21250,5.6522245,0.8873123675584793,-0.0008930542,47994,79.72251176834106,0.18169682,85,9.405536084026098
2150000,47.57,0.027392,1.1129097,0.0030007549,21500,5.6523867,0.8840876072645187,-0.0015371941,49471,80.71698808670044,0.181796,86,8.810359755903482
2175000,52.97,0.099252,0.70661014,0.009616451,21750,5.6522655,0.9268472790718079,0.0032266607,49175,81.62856960296631,0.18181746,87,9.785994094610214
2200000,52.29,0.162268,0.7702546,0.019419888,22000,5.649487,0.919573113322258,0.009146098,40757,82.60241627693176,0.18186778,88,9.66053887397051
2225000,52.1,0.090896,0.7754055,0.0084901,22250,5.647794,0.919659323990345,0.002989091,49521,83.64763069152832,0.18185245,89,9.614361712485552
2250000,48.47,0.093444,0.905927,0.012738714,22500,5.6463566,0.8863165974617004,0.003078669,50049,84.5836353302002,0.18199946,90,9.011540904194117
2275000,54.08,0.051008005,0.69179475,0.0048167408,22750,5.6450357,0.9386201910674572,-0.00060607074,47627,85.63302755355835,0.18186297,91,9.953251361101866
2300000,47.17,0.079356,1.2847311,0.008890368,23000,5.6439056,0.883574441075325,0.0040761167,48497,86.58110117912292,0.18194535,92,8.75071641638875
2325000,47.55,0.061836004,1.1842045,0.00667819,23250,5.6428657,0.8915013670921326,9.9313445e-05,48076,87.65637850761414,0.18211082,93,8.831879927515983
2350000,51.9,0.031604,0.71915686,0.0032561892,23500,5.6410456,0.929130494594574,-0.0014612213,51029,88.6003258228302,0.18215953,94,9.596860671192408
2375000,50.56,0.110312,0.7034491,0.0110376105,23750,5.637355,0.934081457555294,0.004679417,50489,89.49937319755554,0.18213978,95,9.369715155065059
