value_loss,time_elapsed,explained_variance,clipfrac,fps,ep_len_mean,true_reward,ep_reward_mean,total_timesteps,approxkl,serial_timesteps,policy_entropy,n_updates,policy_loss
0.2508001,12.763646125793457,0.49533599615097046,0.2188,2324,12.45,0.049051147,0.505155343413353,18750,0.016141009,18750,5.223183,75,-0.01935498
0.25577337,12.895546197891235,0.46360886096954346,0.2672,2428,12.6,0.06517259,0.5539044310152531,19000,0.02057898,19000,5.21918,76,-0.0122724
0.3191255,13.021955728530884,0.3757750391960144,0.2052,2358,12.72,0.033147268,0.5770652781426907,19250,0.016152296,19250,5.2154245,77,-0.014146949
0.21947928,13.151965379714966,0.5391494929790497,0.1464,2359,13.62,0.06498065,0.750048173069954,19500,0.010636424,19500,5.2114916,78,-0.008209018
0.21069548,13.281530857086182,0.5738597214221954,0.28599998,2410,13.42,0.06494423,0.7114243614673614,19750,0.024065334,19750,5.210192,79,-0.013953529
0.1861412,13.409228086471558,0.6326896250247955,0.2124,2441,14.05,0.07283142,0.8319842337071895,20000,0.017879477,20000,5.209142,80,-0.0068795057
0.23830862,13.535713911056519,0.522750973701477,0.19680001,2321,14.16,0.05700574,0.8530049319565296,20250,0.013925962,20250,5.2086225,81,-0.018038334
0.15182519,13.668054580688477,0.6918270885944366,0.2684,2423,14.46,0.08876769,0.9101192237436772,20500,0.024227493,20500,5.2089953,82,-0.014378895
0.24529222,13.796449899673462,0.5240559279918671,0.1044,2431,15.03,0.065083906,1.0398972223699092,20750,0.0079278145,20750,5.208498,83,-0.01478149
0.3047405,13.923198223114014,0.3867635130882263,0.17279999,2369,14.66,0.04124025,0.9490672859549523,21000,0.014594766,21000,5.205945,84,-0.01786435
0.22169797,14.053851842880249,0.5391050279140472,0.20719998,2448,14.81,0.06500383,0.9781780833005905,21250,0.016629368,21250,5.201183,85,-0.022274205
0.19100522,14.179999589920044,0.6004230380058289,0.36200005,2488,14.99,0.08091644,1.0130891063809395,21500,0.03573368,21500,5.1940584,86,-0.0139838485
0.16260585,14.304422378540039,0.6851279735565186,0.16800001,2472,15.25,0.080776505,1.0828162367641925,21750,0.011196682,21750,5.1893167,87,-0.006408426
0.17177038,14.428998231887817,0.6487028002738953,0.36879998,2440,15.15,0.08095447,1.0639703917503356,22000,0.039332666,22000,5.1879206,88,-0.018607158
0.17128536,14.555402994155884,0.6486147344112396,0.14720002,2489,15.33,0.07289608,1.098192402124405,22250,0.010581456,22250,5.18599,89,-0.008947983
0.1835038,14.681211233139038,0.6130945384502411,0.22520001,2359,15.82,0.07300546,1.1922598822414876,22500,0.019087471,22500,5.181983,90,-0.021136608
0.21291995,14.812192440032959,0.5695164799690247,0.23120001,2184,16.03,0.080901414,1.232431434392929,22750,0.018365486,22750,5.179445,91,-0.01848781
0.19235723,14.951608657836914,0.6099033653736115,0.32559997,2400,16.19,0.072947845,1.263240879625082,23000,0.032276917,23000,5.178439,92,-0.020910617
0.21001777,15.081607818603516,0.5823977887630463,0.22719999,2168,15.18,0.040992085,1.0689354300498963,23250,0.017828953,23250,5.176165,93,-0.015431838
0.16906497,15.223374366760254,0.6638626158237457,0.2052,2382,15.12,0.07287334,1.0573513159155845,23500,0.017155122,23500,5.1716433,94,-0.016211506
0.13855992,15.353461980819702,0.7245594263076782,0.09840001,2315,15.38,0.0887498,1.1069580222666264,23750,0.00769079,23750,5.1680765,95,-0.007373023
