value_loss,ep_len_mean,true_reward,ep_reward_mean,policy_loss,policy_entropy,total_timesteps,clipfrac,approxkl,n_updates,fps,explained_variance,time_elapsed,serial_timesteps
0.3766045,73.71,-0.035136066,1.6036488148316312,-0.002299273,5.185896,1450000,0.027967999,0.0030993128,58,53907,0.8752093389630318,52.23592758178711,14500
0.35954678,77.0,-0.03256838,1.8394868050066497,-0.001997833,5.1715155,1475000,0.026764002,0.0030687463,59,58244,0.8796429187059402,53.08872175216675,14750
0.37665364,83.65,-0.02811817,1.9373804219185342,-0.0020246562,5.1562734,1500000,0.023088,0.0027233844,60,59053,0.8767587468028069,53.90710520744324,15000
0.36567357,73.55,-0.03211019,1.8668357962761366,-0.0014781542,5.144151,1525000,0.013332,0.0021198539,61,57907,0.8869035765528679,54.71684741973877,15250
0.38950068,81.82,-0.03068734,1.9463385933880908,-0.0021141001,5.136269,1550000,0.021280002,0.0025635734,62,58329,0.8741638958454132,55.52096629142761,15500
0.3545424,81.09,-0.026750546,1.8309632387749024,-0.0020599389,5.131195,1575000,0.023588,0.002788355,63,58949,0.8895004987716675,56.327404260635376,15750
0.38531506,76.68,-0.030615488,1.7535620353878836,-0.001991448,5.1214767,1600000,0.023472,0.002721954,64,57125,0.8839349150657654,57.14598035812378,16000
0.3388625,86.58,-0.024428252,2.131554354409545,-0.001601935,5.108831,1625000,0.01646,0.0023186286,65,60433,0.8862826228141785,57.978317975997925,16250
0.3318286,86.71,-0.025757708,1.8458103790288374,-0.0020219933,5.097988,1650000,0.029255997,0.0032073122,66,58418,0.8888891935348511,58.780171155929565,16500
0.34076816,83.39,-0.02666883,1.9359874290094148,-0.002098748,5.089443,1675000,0.028455999,0.0029405437,67,59359,0.8885260820388794,59.57940340042114,16750
0.36040136,80.97,-0.027300747,1.978286666096028,-0.001694452,5.080365,1700000,0.026519999,0.0030309793,68,59712,0.886270247399807,60.405092000961304,17000
0.3340655,80.84,-0.024662005,1.9464414088218063,-0.0018764163,5.0672503,1725000,0.019932002,0.00263175,69,59702,0.8932016491889954,61.21944618225098,17250
0.33088148,82.33,-0.026006175,1.8115533751135717,-0.0019264726,5.0515585,1750000,0.019191999,0.0025066421,70,57536,0.8899903446435928,62.020684003829956,17500
0.31527713,86.62,-0.022602024,2.101166866756953,-0.0021427015,5.0359755,1775000,0.025052,0.003010594,71,58780,0.8972485139966011,62.8429229259491,17750
0.3502503,71.37,-0.03166745,1.4254152118920274,-0.0017417222,5.0247374,1800000,0.029648,0.0031747366,72,57832,0.8847874253988266,63.6587290763855,18000
0.3021705,85.86,-0.024977077,1.769882009172951,-0.001847931,5.014769,1825000,0.028667998,0.003217948,73,46791,0.8990222066640854,64.47579526901245,18250
0.31609932,86.69,-0.022940936,2.143283895539753,-0.0017021426,5.0047674,1850000,0.021028,0.0027270492,74,59476,0.8963858559727669,65.38244581222534,18500
0.3059176,88.67,-0.022880357,2.068189104386274,-0.0018649582,4.9956493,1875000,0.023936,0.0029728047,75,58978,0.8993155658245087,66.18796277046204,18750
0.28842774,81.16,-0.024113467,1.99191219519058,-0.0020611412,4.9863014,1900000,0.031576,0.0032854695,76,58622,0.9058474078774452,66.98846101760864,19000
0.29991627,85.19,-0.023665331,2.079173810271291,-0.0013543287,4.974166,1925000,0.021355998,0.0026894899,77,58314,0.9046687111258507,67.78540301322937,19250
0.26068783,90.93,-0.021449206,2.578967638013505,-0.002197673,4.9628816,1950000,0.021584002,0.0026818037,78,60830,0.9172661751508713,68.59595942497253,19500
0.28316963,83.61,-0.02306787,2.1121256870974823,-0.0020834263,4.951768,1975000,0.019568,0.0025841831,79,56850,0.9141594544053078,69.39621210098267,19750
0.31287673,85.08,-0.021449698,2.3478051517748795,-0.0020566476,4.9394693,2000000,0.020568002,0.0026022415,80,58555,0.9006167277693748,70.21540880203247,20000
0.28364044,84.42,-0.018267272,2.386233359794878,-0.0017361871,4.92494,2025000,0.023292001,0.0027549504,81,59304,0.9104721993207932,71.02351832389832,20250
0.26266408,81.88,-0.019306865,2.330871262395904,-0.002027822,4.9115295,2050000,0.018388,0.0025999208,82,59480,0.9196593016386032,71.83244848251343,20500
0.27559,87.5,-0.018025562,2.4087740678872,-0.0018923432,4.8993917,2075000,0.02216,0.0026344717,83,58483,0.9174741730093956,72.64101004600525,20750
0.264817,81.26,-0.02070767,2.2205956264079667,-0.0021467176,4.8885083,2100000,0.028776,0.0030701302,84,57356,0.9220165461301804,73.46046757698059,21000
0.24469626,89.74,-0.017116372,2.8286384074258617,-0.0015951218,4.8768396,2125000,0.01648,0.0024525425,85,58440,0.9278967082500458,74.28428721427917,21250
0.23199978,85.82,-0.019883746,2.5327788886207374,-0.0021717607,4.8659644,2150000,0.032064,0.003326845,86,60735,0.9325745552778244,75.10830092430115,21500
0.24770153,83.73,-0.019926189,2.412084542160792,-0.0018890544,4.853271,2175000,0.032964002,0.0035695129,87,57467,0.9281114488840103,75.9147219657898,21750
0.24986354,84.61,-0.020313667,2.3201889048221322,-0.0021098703,4.8388963,2200000,0.031956,0.0033412755,88,48237,0.9257040396332741,76.71382069587708,22000
0.25700668,86.18,-0.01791762,2.5129597153608665,-0.001904778,4.823017,2225000,0.032672,0.0034732614,89,58568,0.9273078292608261,77.61270570755005,22250
0.22171235,87.99,-0.016470179,2.5037640475482386,-0.0029672857,4.808087,2250000,0.051636,0.004509787,90,58165,0.935064397752285,78.42993879318237,22500
0.22293183,79.39,-0.016191766,2.381626914088807,-0.002097759,4.792955,2275000,0.0361,0.003740497,91,58588,0.9373455122113228,79.24073195457458,22750
0.22765663,90.52,-0.016412849,2.5321402705309857,-0.0022786842,4.778981,2300000,0.034724,0.003567525,92,57284,0.93335971981287,80.05494165420532,23000
0.2291708,90.14,-0.01663255,2.4019359790872885,-0.0019768446,4.7680116,2325000,0.032424,0.003458678,93,59281,0.9346852600574493,80.88134169578552,23250
0.2409337,95.18,-0.015113983,2.6068969353197415,-0.002168874,4.7580786,2350000,0.03096,0.0032229652,94,51752,0.9331415295600891,81.694100856781,23500
0.24220304,87.86,-0.01686538,2.4681245275055197,-0.0023289456,4.7471237,2375000,0.031103998,0.0034006494,95,57811,0.9323472678661346,82.58566188812256,23750
0.22457163,84.39,-0.016165828,2.0744002299101023,-0.0024002553,4.734761,2400000,0.036596,0.0036977264,96,36548,0.93648861348629,83.39741969108582,24000
0.21685943,87.24,-0.016621424,2.0994757351000315,-0.0022857548,4.7233095,2425000,0.031532,0.003412724,97,57895,0.9414370283484459,84.46318650245667,24250
