serial_timesteps,approxkl,ep_reward_mean,explained_variance,value_loss,n_updates,total_timesteps,ep_len_mean,fps,time_elapsed,true_reward,policy_loss,clipfrac,policy_entropy
26000,0.0059664687,70.86293589397654,0.2536013126373291,35.017826,104,2600000,192.29,46387,192.33865904808044,0.28621894,-0.0007279125,0.07478,5.526535
26250,0.004908722,92.4381571290639,0.29131799936294556,30.137787,105,2625000,218.82,52283,194.32702779769897,0.38449487,-7.7621036e-05,0.055908002,5.525556
26500,0.010482736,68.00475514556378,0.2666218876838684,37.41897,106,2650000,178.21,47620,196.15108513832092,0.27449247,0.0030468905,0.13383201,5.5241346
26750,0.0048200903,93.21814467626602,0.2551940679550171,32.809868,107,2675000,218.19,60929,198.03484272956848,0.36836192,-0.0006856372,0.055512,5.5231686
27000,0.0068240366,91.3347365695259,0.42274028062820435,28.095032,108,2700000,218.54,54157,199.80195951461792,0.38045204,-0.0014570768,0.094128,5.5213766
27250,0.0036637976,95.47126361438153,0.18263816833496094,32.832817,109,2725000,225.18,47943,201.7936463356018,0.36849633,-0.00079607527,0.033476,5.519578
27500,0.0029614314,101.53235096659706,0.20059311389923096,38.77684,110,2750000,215.5,60118,203.71334958076477,0.402648,-0.0017410215,0.025484001,5.5185194
27750,0.0029347492,108.5638917169864,0.20813345909118652,35.864685,111,2775000,225.84,52660,205.6565396785736,0.43918344,-0.0013006278,0.026108,5.517875
28000,0.0033178043,96.4267936509777,0.2414575219154358,36.35406,112,2800000,216.63,60335,207.57356691360474,0.38197082,-0.0010838254,0.03544,5.5174394
28250,0.0048177973,105.65839917122699,0.24804121255874634,39.155308,113,2825000,212.93,56220,209.37948393821716,0.44789857,-0.0006088011,0.057784002,5.516759
28500,0.005149769,97.97815459892271,0.3307664394378662,44.12403,114,2850000,194.3,54747,211.18853425979614,0.41630954,-0.0003988656,0.062844,5.516231
28750,0.0029721947,96.89627176309102,0.19994062185287476,45.96203,115,2875000,195.91,62276,213.00599837303162,0.4045742,-0.0011865784,0.026528,5.515497
29000,0.0028642246,101.26149890620093,0.3158220648765564,37.53538,116,2900000,210.53,61977,214.71374106407166,0.43055585,-0.0013909356,0.0276,5.5147905
29250,0.0031572548,108.10524836603543,0.3032050132751465,34.528465,117,2925000,221.29,59242,216.45269536972046,0.45215937,-0.001235056,0.029536,5.5141563
29500,0.0035682246,102.93401559124744,0.35508131980895996,39.243847,118,2950000,206.21,61903,218.1869604587555,0.44176942,-0.0015621838,0.037375998,5.513357
29750,0.0020455369,104.27739850631642,0.28689485788345337,38.989872,119,2975000,216.54,60940,219.88715863227844,0.41876137,-0.0006906474,0.011080001,5.5121064
30000,0.003125516,100.037239400369,0.34285223484039307,34.81264,120,3000000,211.78,59959,221.6369013786316,0.4219121,-0.001474787,0.029716,5.5107217
30250,0.0023876945,101.92365579078316,0.36649322509765625,31.420822,121,3025000,219.41,61495,223.49077892303467,0.4171477,-0.0013527136,0.021948,5.509834
30500,0.0026642843,96.06027924376717,0.4024491310119629,29.552649,122,3050000,214.02,60139,225.23577451705933,0.39967102,-0.0014712119,0.023556,5.5082445
30750,0.00201424,104.48414533938667,0.3528066873550415,32.145103,123,3075000,221.56,62510,227.00619554519653,0.4309164,-0.00080819207,0.015199999,5.506773
31000,0.0031745776,100.40220708234075,0.23434323072433472,40.55001,124,3100000,212.05,60943,228.73362612724304,0.40802583,-0.0012422153,0.035436,5.506026
31250,0.0041022687,113.21174806423394,0.3866932988166809,31.947485,125,3125000,228.27,62157,230.476797580719,0.4594127,-0.0017960264,0.043075997,5.5054173
31500,0.0022934563,111.19994699520055,0.26766449213027954,37.85047,126,3150000,215.7,61048,232.36184287071228,0.4656155,-0.0012906926,0.02132,5.504416
31750,0.0030400164,107.20094548730772,0.41821980476379395,39.432724,127,3175000,205.91,56346,234.09309077262878,0.44678643,-0.0016281903,0.025103997,5.503392
32000,0.0021097611,116.66740209337611,0.29856568574905396,38.93112,128,3200000,219.77,51024,236.0740089416504,0.48670134,-0.0013039031,0.01832,5.5024405
32250,0.0019687156,115.43212375186455,0.3027685284614563,35.592445,129,3225000,224.08,59810,238.0385262966156,0.47647786,-0.0011000469,0.013552,5.5016446
32500,0.0026032368,113.95782176228624,0.3102179765701294,35.405834,130,3250000,220.56,61455,239.83385181427002,0.4792176,-0.001395555,0.021743998,5.5005693
