ep_len_mean,policy_entropy,ep_reward_mean,serial_timesteps,explained_variance,n_updates,time_elapsed,policy_loss,value_loss,true_reward,clipfrac,approxkl,fps,total_timesteps
56.75,4.9202166,4.1819660904560445,31750,0.8735734224319458,127,116.23035645484924,-0.0011494046,0.8965456,0.033715617,0.019775998,0.0026364494,43255,3175000
61.35,4.916871,3.800536767913036,32000,0.8721869587898254,128,117.16843581199646,-0.001274547,1.012924,0.025816137,0.032056,0.0031207176,55214,3200000
54.19,4.914646,3.9644370891249854,32250,0.8649450242519379,129,117.98923945426941,-0.001793645,0.92927253,0.032212265,0.032824002,0.003262353,33362,3225000
49.11,4.9139223,3.367935589965782,32500,0.8804304450750351,130,119.09267067909241,-0.0015276356,0.8655593,0.02893553,0.019192,0.002410659,56453,3250000
47.76,4.9148993,3.4358323707406817,32750,0.8929721117019653,131,119.88678693771362,-0.0018606758,0.7619442,0.03341844,0.027468,0.0031503472,49287,3275000
55.66,4.9140263,4.230741525826306,33000,0.9082940965890884,132,120.75517082214355,-0.0010584004,0.6966365,0.03842669,0.016948,0.00220775,54406,3300000
53.37,4.9117656,4.091506304794893,33250,0.8803956061601639,133,121.58039665222168,-0.0014488802,0.8627957,0.03223001,0.028676,0.0030598105,54542,3325000
47.82,4.906827,3.5984658380899055,33500,0.8881590440869331,134,122.4005799293518,-0.0007208053,0.90055764,0.02992944,0.028536001,0.0031237428,53855,3350000
46.44,4.9032845,3.407281153934309,33750,0.8993498459458351,135,123.24076223373413,-0.0010368145,0.7705031,0.038440116,0.043015998,0.0039853873,54318,3375000
53.66,4.899772,4.333870240607357,34000,0.8765137791633606,136,124.09224581718445,-0.0021832306,0.90809965,0.032074675,0.033148,0.0034301237,53753,3400000
53.93,4.894399,4.109549359967205,34250,0.8495561629533768,137,124.93345236778259,-0.0008962831,1.0231736,0.0315292,0.023583999,0.0027057012,54601,3425000
50.14,4.889769,4.077995101623237,34500,0.8749122321605682,138,125.76929330825806,-0.0015329822,0.8645732,0.035679102,0.022263998,0.0029746804,57151,3450000
51.38,4.8848534,3.867438552191452,34750,0.8784990683197975,139,126.57268977165222,-0.0019200528,0.9063369,0.030000916,0.025031999,0.002797852,55814,3475000
53.44,4.8787766,4.046033384557814,35000,0.8952237740159035,140,127.38921165466309,-0.0016542859,0.7536961,0.034095462,0.032788,0.003321464,49981,3500000
58.63,4.8747506,3.9983178286297245,35250,0.8872063383460045,141,128.25188326835632,-0.0013240768,0.8225004,0.033041406,0.02502,0.0029249715,54926,3525000
54.3,4.8699436,3.601818505512929,35500,0.8851263895630836,142,129.07695150375366,-0.0018995367,0.8475248,0.035093036,0.036028,0.0035629633,54818,3550000
