value_loss,clipfrac,serial_timesteps,fps,total_timesteps,approxkl,true_reward,ep_len_mean,policy_entropy,policy_loss,time_elapsed,ep_reward_mean,n_updates,explained_variance
2.8838692,0.140328,49500,55446,4950000,0.010102142,0.009486592,241.1,0.21382363,-0.00022537913,169.17595648765564,5.2178492721319865,198,0.2052648663520813
1.9849075,0.11496802,49750,56766,4975000,0.008534852,0.0140851475,241.36,0.2130274,-0.0008487192,169.97186183929443,5.345053122073157,199,0.28097015619277954
0.8771809,0.119488,50000,56198,5000000,0.00903059,0.01762768,245.78,0.2136991,-0.0006499615,170.7542862892151,5.37862214780016,200,0.5020283162593842
2.0754423,0.131204,50250,56695,5025000,0.010240141,0.008834832,241.2,0.2149024,-0.0009204185,171.532968044281,4.667831316302207,201,0.41694480180740356
1.277838,0.133356,50500,56274,5050000,0.010264923,0.014800715,246.14,0.21670175,-0.0016884368,172.33667993545532,5.121348034954397,202,0.47335296869277954
0.51685065,0.10616399,50750,56423,5075000,0.008168148,0.019133205,247.57,0.2175637,-0.00026046828,173.12006616592407,5.209269256496761,203,0.6163661777973175
1.2859149,0.072804,51000,55313,5100000,0.0060061147,0.014515795,245.58,0.2169996,-0.0015601998,173.92413783073425,5.100356086170039,204,0.4930371642112732
1.8028145,0.098648,51250,56150,5125000,0.007570675,0.012037376,244.39,0.21711369,-0.001736935,174.73190832138062,4.937512224043627,205,0.36660611629486084
0.5217698,0.093219995,51500,54095,5150000,0.00736742,0.019756649,247.62,0.21896645,-0.0014723651,175.53176259994507,5.386661439300995,206,0.6012522578239441
0.4301764,0.096283995,51750,53889,5175000,0.007555788,0.01812546,249.51,0.21993044,-0.0011195785,176.36735773086548,5.033927885714215,207,0.6871333718299866
1.2098746,0.078628,52000,53930,5200000,0.006369668,0.013903843,245.34,0.22144826,-0.0009547457,177.20784974098206,4.8820727266963555,208,0.5189359486103058
0.37740096,0.051436,52250,48184,5225000,0.004505311,0.018631015,249.62,0.22504961,-0.0013792923,178.06351017951965,5.164286192099586,209,0.7051903903484344
0.016131701,0.056712,52500,47331,5250000,0.0049641295,0.018962227,250.0,0.23423438,-0.0028256897,179.0281217098236,4.740556703431203,210,0.9795594420284033
2.1061502,0.121704005,52750,50524,5275000,0.0091385115,0.01246916,238.87,0.23971443,-0.0013060101,179.91461157798767,5.428796922252918,211,0.41646403074264526
2.2597122,0.135564,53000,51039,5300000,0.010156481,0.009833982,241.0,0.2407305,-0.0010116191,180.80166482925415,4.8239427897092675,212,0.3398926854133606
1.4927672,0.079156004,53250,52657,5325000,0.006684608,0.014957448,244.15,0.24209961,-0.001555797,181.68176770210266,5.1171455465967925,213,0.32618165016174316
4.0459356,0.11000399,53500,55280,5350000,0.008454228,0.001990529,233.33,0.24383762,-0.0019367505,182.51969814300537,4.789673419126409,214,0.2786697745323181
5.4300375,0.041463997,53750,57049,5375000,0.003809845,-0.002586221,225.24,0.24445868,-0.0005487754,183.33846759796143,4.356463571770899,215,0.08670330047607422
3.2785594,0.068932,54000,56776,5400000,0.005576088,0.006314602,236.95,0.24519214,-0.001771049,184.12018394470215,4.80723086447858,216,0.21770823001861572
4.728072,0.082784,54250,55801,5425000,0.006358152,-0.00047673416,232.98,0.24540666,-0.00162661,184.93744111061096,4.427954671043757,217,0.14585942029953003
5.5363317,0.053704,54500,43687,5450000,0.00469145,-0.0031375906,225.7,0.24534091,-0.0012875962,185.7951581478119,4.724151239134971,218,0.1659104824066162
2.2443528,0.13035999,54750,50871,5475000,0.009703828,0.012646746,239.49,0.24658713,-0.0011090263,186.7843372821808,5.416217652970377,219,0.2745196223258972
2.7243314,0.126892,55000,54027,5500000,0.009466489,0.0081137465,241.28,0.2476922,-0.0016945299,187.67919921875,4.828479462938617,220,0.2517673373222351
0.8822591,0.122384,55250,54299,5525000,0.009378331,0.01672125,245.66,0.24793091,-0.0008817383,188.52457737922668,5.106325578412325,221,0.5175101161003113
2.267053,0.061579995,55500,52191,5550000,0.0051686754,0.010899073,239.21,0.24899766,-0.0012551268,189.39044427871704,4.993586489338935,222,0.29946303367614746
1.5277611,0.048883997,55750,56526,5575000,0.004428559,0.01320358,242.78,0.25013137,-0.0022635732,190.33473134040833,5.230415515006061,223,0.4904516339302063
1.1761072,0.093368,56000,56122,5600000,0.007047966,0.0138177425,244.52,0.2536258,-0.0020324183,191.15053606033325,4.897867075655352,224,0.5158638954162598
1.7987362,0.0735,56250,54959,5625000,0.0058140745,0.011909222,242.16,0.25705776,-0.0004583505,191.98723316192627,4.80239114072596,225,0.32393878698349
2.6824496,0.059056003,56500,49618,5650000,0.0049982336,0.007306521,237.39,0.2575035,-0.0020533572,192.83521246910095,4.598458809705587,226,0.25826460123062134
0.8638123,0.063088,56750,56857,5675000,0.005328425,0.015580453,245.9,0.25947747,-0.0012556808,193.69412207603455,4.789904235378483,227,0.5216935575008392
1.8022635,0.10444399,57000,56858,5700000,0.008200524,0.014007781,240.64,0.26462823,-0.00028594583,194.46090960502625,5.323520402460408,228,0.32627278566360474
2.124104,0.051708,57250,50503,5725000,0.004533016,0.010694591,241.28,0.26904577,-0.0014825638,195.23151063919067,4.964950910169316,229,0.3518214225769043
2.9658968,0.072504,57500,53571,5750000,0.0058653927,0.0063993693,240.45,0.27536473,-0.0026614422,196.06071615219116,4.943482756167287,230,0.326810359954834
1.3362163,0.0955,57750,55232,5775000,0.007706051,0.015244709,245.61,0.28193247,-0.0025468809,196.86069345474243,5.216747346418407,231,0.4090919494628906
1.7289368,0.10200401,58000,55959,5800000,0.0076428377,0.012581226,241.67,0.2908797,-0.0012873191,197.66607213020325,4.941931706512776,232,0.3905779719352722
0.87062895,0.056052007,58250,55253,5825000,0.0049349163,0.016789801,245.42,0.29540187,-0.0015436511,198.45046257972717,5.090275044127821,233,0.525386244058609
0.8149592,0.044943996,58500,54877,5850000,0.004328289,0.0158677,245.56,0.29715416,-0.0015479882,199.23273730278015,4.84110795881453,234,0.5956170856952667
0.24651985,0.048324,58750,55103,5875000,0.0045981733,0.01848128,248.05,0.29816192,-0.0023978248,200.03144216537476,5.062941711670996,235,0.8409412056207657
0.925224,0.049683996,59000,36871,5900000,0.0044678464,0.015450907,245.66,0.30223346,-0.0012461786,200.83421564102173,4.791210304846192,236,0.4875776767730713
1.252519,0.12278,59250,55654,5925000,0.009263804,0.0141973095,243.32,0.3004847,-0.0019978727,201.84638953208923,4.929685776062739,237,0.49637728929519653
1.3757366,0.095943995,59500,55941,5950000,0.0076343147,0.014374028,244.93,0.30283302,-0.0018024966,202.6240463256836,5.060926966499052,238,0.4321325421333313
1.7780659,0.09371601,59750,56010,5975000,0.0071659302,0.012630228,244.33,0.30697197,-0.0017018378,203.40273213386536,5.078217519656996,239,0.3887209892272949
2.6569324,0.060840003,60000,57127,6000000,0.005117554,0.009654451,238.71,0.30875108,-0.00086359866,204.18477249145508,5.167285028779188,240,0.321260929107666
0.5797491,0.043612003,60250,46631,6025000,0.0041228207,0.017595375,247.66,0.30958584,-0.0014723198,204.9546308517456,4.86416480705502,241,0.8334486782550812
1.3727653,0.075796,60500,55101,6050000,0.0062559545,0.0142870275,246.55,0.3092222,-0.0011869157,205.82111501693726,5.010198901697211,242,0.42985546588897705
0.6724926,0.044603996,60750,55377,6075000,0.004220347,0.017258191,247.12,0.30795628,-0.0015373357,206.61789274215698,5.272723461018303,243,0.7240650057792664
1.0152206,0.132996,61000,55003,6100000,0.010463564,0.015971215,245.29,0.30648425,-0.0018086219,207.41007709503174,4.864122372766176,244,0.5962941348552704
0.47890368,0.096640006,61250,47185,6125000,0.0073598535,0.018761126,248.25,0.30756992,-0.0014656589,208.19896864891052,5.138092492767633,245,0.6545973420143127
0.88547504,0.087455995,61500,41681,6150000,0.0068949508,0.016844818,246.07,0.3070902,-0.0010455471,209.06331872940063,5.119995661854114,246,0.5350494682788849
0.9838047,0.118512,61750,56922,6175000,0.0091883,0.014675226,245.55,0.30626774,-0.001762075,210.00036334991455,4.582468410113847,247,0.4712526202201843
