serial_timesteps,fps,time_elapsed,ep_reward_mean,explained_variance,total_timesteps,ep_len_mean,true_reward,clipfrac,approxkl,policy_entropy,n_updates,policy_loss,value_loss
37250,54124,138.67403531074524,7.781958473229315,0.7976404279470444,3725000,28.53,0.38750398,0.008024,0.0016248511,5.381383,149,-0.0008328652,15.047865
37500,53975,139.57792568206787,9.616654352200277,0.777829647064209,3750000,26.76,0.39832902,0.010072,0.001535615,5.3801374,150,-0.00090702175,15.622984
37750,55583,140.46967458724976,10.052378534189774,0.7997166067361832,3775000,26.74,0.39718553,0.0039199996,0.0011985631,5.378885,151,-0.0002983779,13.977461
38000,55277,141.34829568862915,7.917021218700247,0.790003091096878,3800000,23.11,0.39408186,0.028840002,0.0030194793,5.377839,152,-0.0010866264,15.391859
38250,56515,142.22884941101074,7.414259649171436,0.8019261658191681,3825000,26.55,0.39603767,0.008215999,0.0015223525,5.377236,153,-0.0006082779,14.054565
38500,55670,143.1099078655243,10.317154446268106,0.8202692419290543,3850000,27.24,0.43109727,0.019183999,0.002501309,5.37655,154,-0.00053577987,13.1851635
38750,56957,143.9794225692749,9.562392720046628,0.7956601232290268,3875000,29.42,0.39173532,0.004844,0.0013396755,5.375774,155,-0.00066979125,15.462336
39000,54338,144.84543299674988,10.599708299666526,0.7716399878263474,3900000,28.88,0.40955898,0.009292,0.001596513,5.3748865,156,-0.00080448034,15.713934
39250,56337,145.73379182815552,7.93910808781744,0.7612699419260025,3925000,26.39,0.38871753,0.0071799993,0.0013198097,5.373239,157,-0.0010889341,16.28548
39500,56202,146.60325288772583,9.561521280126762,0.7847821116447449,3950000,26.82,0.39633706,0.0072439997,0.0013220545,5.3709784,158,-0.0011702941,13.762021
39750,57045,147.48008728027344,9.495258764144964,0.8067858219146729,3975000,27.64,0.40512636,0.007872,0.0014915934,5.3683653,159,-0.0006465683,14.068065
40000,57628,148.34072828292847,13.48870268723971,0.7717104256153107,4000000,33.98,0.40091646,0.001956,0.000759455,5.3668303,160,-0.0007087145,14.577322
40250,55237,149.19580125808716,10.402196858900133,0.7976263761520386,4025000,28.39,0.40573415,0.005076,0.0011970181,5.365846,161,-0.0006334124,14.356943
40500,56612,150.08159756660461,8.218391449683022,0.8059874922037125,4050000,25.55,0.44397956,0.0046920003,0.0010079935,5.364843,162,-0.00093444914,14.044339
40750,56513,150.9415361881256,9.87298429378774,0.7975200563669205,4075000,29.5,0.40124023,0.025663998,0.0027623975,5.363806,163,-0.0014755863,14.074689
41000,56536,151.82863473892212,9.572775597356667,0.7901758551597595,4100000,25.84,0.4226911,0.014755999,0.0019871888,5.362835,164,-0.00089441455,15.103594
41250,55568,152.69853496551514,8.307548625212512,0.7871994525194168,4125000,27.67,0.41366032,0.009248001,0.0015748183,5.361642,165,-0.00077047676,15.731636
41500,53776,153.60751223564148,9.735905204793598,0.8001702427864075,4150000,29.4,0.43497422,0.0070319995,0.001393839,5.360005,166,-0.00063960964,15.071846
41750,55968,154.48553204536438,9.679778606382223,0.776697963476181,4175000,31.27,0.375397,0.0077480003,0.0013389419,5.3581686,167,-0.00085742853,16.167982
42000,53521,155.36544227600098,10.540932795004338,0.8059315085411072,4200000,29.58,0.41949797,0.0086159995,0.0016851521,5.3567305,168,-0.0007038632,14.311358
42250,56451,156.2616410255432,8.851566665593127,0.7906560450792313,4225000,27.39,0.4256041,0.0087399995,0.0015427906,5.355103,169,-0.00071639905,13.998972
42500,53950,157.12576866149902,11.163010907485296,0.8026540726423264,4250000,28.2,0.40118745,0.013232,0.0019613001,5.3539033,170,-0.0006024075,15.305443
42750,55403,158.00681233406067,9.542588738365811,0.8012752085924149,4275000,28.3,0.4261077,0.009016,0.0014730329,5.3523545,171,-0.0011022303,14.326704
43000,54719,158.89221715927124,8.990987337006372,0.7990863472223282,4300000,29.12,0.4122826,0.003912,0.0009981401,5.3507657,172,-0.00058141956,14.061816
43250,56635,159.78541207313538,9.298586164677072,0.8002064377069473,4325000,29.85,0.42067683,0.0068240003,0.0012386382,5.349848,173,-0.0006188888,14.571081
43500,52463,160.67277693748474,11.136634117760696,0.8182986378669739,4350000,30.57,0.41294348,0.0080200005,0.0013992958,5.3489265,174,-0.0008278086,13.555349
43750,53861,161.5834457874298,10.023687546749134,0.8100593984127045,4375000,29.72,0.4261595,0.009772,0.0014507258,5.347327,175,-0.0007495367,15.027275
