fps,ep_len_mean,total_timesteps,policy_entropy,true_reward,serial_timesteps,approxkl,clipfrac,explained_variance,value_loss,policy_loss,time_elapsed,n_updates,ep_reward_mean
62200,250.0,6425000,1.0487368,0.18354642,64250,0.007017737,0.08831201,0.8722018450498581,0.009865304,-0.0024576304,206.26041841506958,257,45.886610848605635
61776,250.0,6450000,1.0443451,0.18419242,64500,0.008588162,0.11569601,0.8309257626533508,0.011220029,-8.308654e-06,207.0259985923767,258,46.04810672730208
60620,249.33,6475000,1.039763,0.18371539,64750,0.010765527,0.14615199,0.3993966579437256,0.08515177,-0.0009942036,207.81807112693787,259,45.83253702826798
60272,250.0,6500000,1.0363933,0.1840339,65000,0.0077035027,0.101352,0.8709818720817566,0.008443293,-0.0010671851,208.59401631355286,260,46.0084772003442
60097,249.24,6525000,1.0340778,0.18378957,65250,0.010524549,0.143268,0.365608274936676,0.08084573,-0.0020954653,209.38055872917175,261,45.83818077936768
60964,250.0,6550000,1.0327156,0.1836375,65500,0.007977648,0.10662399,0.8803936764597893,0.010477832,-0.0020089848,210.18718910217285,262,45.90937726430595
53919,249.32,6575000,1.0288129,0.1835591,65750,0.011444588,0.15721199,0.35899966955184937,0.08081047,-0.0015798785,211.00295186042786,263,45.79123196139932
58827,249.01,6600000,1.0266318,0.18351133,66000,0.012639137,0.16910398,0.47058188915252686,0.081289485,-0.001984615,211.89963579177856,264,45.730696024298666
60703,249.13,6625000,1.0253974,0.18357004,66250,0.0096149305,0.13448,0.4187307357788086,0.080529846,-0.0023629968,212.722731590271,265,45.76155750378966
53881,250.0,6650000,1.0196087,0.1839946,66500,0.008120751,0.107592,0.8388210833072662,0.008848139,-0.0018045187,213.5303394794464,266,45.998654478341344
60368,250.0,6675000,1.0139078,0.18396266,66750,0.0068396903,0.086484,0.8738331496715546,0.010488013,-0.001619253,214.47226810455322,267,45.99066756077111
61582,249.28,6700000,1.0105958,0.18388613,67000,0.012227095,0.154908,0.3636419177055359,0.08403351,-0.0023778472,215.27500081062317,268,45.87034345880151
61573,250.0,6725000,1.0101001,0.18397497,67250,0.012884298,0.17472,0.8482058793306351,0.013357799,0.0016215512,216.04632830619812,269,45.99374302819371
62114,248.75,6750000,1.0087054,0.18353024,67500,0.021670422,0.260432,0.90828637778759,0.03184096,0.002211026,216.83634781837463,270,45.73562586516142
