explained_variance,true_reward,n_updates,ep_reward_mean,clipfrac,time_elapsed,fps,value_loss,approxkl,ep_len_mean,total_timesteps,policy_loss,policy_entropy,serial_timesteps
0.8920555412769318,0.13385196,286,8.594746124264923,0.122775994,229.38782238960266,66438,1.3549284,0.009450477,91.04,7150000,0.00072386366,4.5783224,71500
0.8566264063119888,0.13287245,287,8.05176847912584,0.069856,230.13666343688965,68338,1.6325915,0.0057597784,85.33,7175000,-0.0015655656,4.5771494,71750
0.8883783295750618,0.12821558,288,9.30099149422229,0.023148,230.8855345249176,70640,1.545841,0.002830624,97.69,7200000,-0.0015531073,4.5763674,72000
0.9003101661801338,0.12806699,289,11.644421890267076,0.052848,231.61380577087402,69055,1.2398632,0.004723861,115.5,7225000,-0.0028770412,4.5742006,72250
0.8904827609658241,0.14071411,290,9.209378656428525,0.048152,232.35966062545776,69853,1.2863147,0.004291893,98.42,7250000,-0.0021314088,4.5694857,72500
0.9081463515758514,0.12815285,291,9.032620989511924,0.049564,233.09121298789978,70112,1.1028268,0.004437063,103.08,7275000,-0.0019188591,4.564945,72750
0.9187510758638382,0.12487041,292,11.742254935773845,0.044887997,233.83953166007996,68237,0.959339,0.0040962575,120.0,7300000,-0.0025309627,4.5624366,73000
0.8970406204462051,0.13163573,293,11.12569538236472,0.062412,234.58040928840637,70969,1.1866995,0.005350576,112.54,7325000,-0.0029592323,4.5605736,73250
0.867577850818634,0.13251287,294,8.440515631495193,0.078679994,235.31709170341492,71358,1.463731,0.006288393,92.1,7350000,-0.002821555,4.5573378,73500
0.876071147620678,0.12625085,295,8.13854533709764,0.046392,236.05511379241943,70130,1.5632077,0.004108009,93.24,7375000,-0.00040168865,4.5557184,73750
0.8879129663109779,0.12438785,296,9.399399281026913,0.04062,236.7881257534027,68420,1.3877587,0.0038225804,104.27,7400000,-0.001912194,4.5539885,74000
0.9156178534030914,0.13391005,297,7.488695741967799,0.067836,237.53523349761963,68209,1.0265756,0.0055561312,85.8,7425000,-0.002097476,4.5519834,74250
0.8942848518490791,0.1321323,298,11.257205530170504,0.043752,238.2838752269745,65509,1.1962242,0.004213664,106.4,7450000,-0.0021547326,4.5475397,74500
0.9257842600345612,0.115132354,299,9.661183330145978,0.068864,239.0578043460846,68368,0.9915428,0.0057896376,114.36,7475000,-0.0030359835,4.5456963,74750
0.8938267007470131,0.11737349,300,7.423399935507004,0.049816,239.80590224266052,69401,1.325284,0.004641074,98.99,7500000,-0.0022938123,4.543746,75000
0.8801810666918755,0.12953226,301,7.481276378264738,0.052908003,240.55592250823975,60462,1.5139569,0.0047150734,89.68,7525000,-0.0014628436,4.542352,75250
0.909880094230175,0.1306181,302,7.962273410670555,0.057132,241.36785078048706,67421,1.1530744,0.004835653,95.58,7550000,-0.002165817,4.5413713,75500
0.9048378616571426,0.12431158,303,10.183772853640495,0.069784,242.17559552192688,66392,1.2609684,0.005902035,114.4,7575000,-0.0017486021,4.5398774,75750
0.8816532269120216,0.13738191,304,10.048899944159784,0.058268,242.93618059158325,68363,1.3595169,0.0049767396,101.34,7600000,-0.0030819953,4.5374203,76000
0.89732975512743,0.12949012,305,8.375267476195368,0.050992,243.69241166114807,70596,1.3616811,0.004439275,97.28,7625000,-0.002344166,4.535491,76250
