clipfrac,fps,ep_len_mean,policy_entropy,serial_timesteps,n_updates,true_reward,approxkl,policy_loss,explained_variance,value_loss,total_timesteps,ep_reward_mean,time_elapsed
0.044528004,53868,3.2,4.7100677,17250,69,-1.1638314,0.0041996567,-0.0043405555,0.4170101284980774,0.029430658,1725000,0.041877099425546474,79.1339852809906
0.060587995,51492,3.88,4.6942334,17500,70,-1.1482495,0.005141503,-0.0048447396,0.4172900319099426,0.030350218,1750000,0.05374075685394928,80.09083533287048
0.04154,53905,4.04,4.6787057,17750,71,-1.1443831,0.0040774946,-0.0039329953,0.44372743368148804,0.029067868,1775000,0.07057153184869094,81.12280821800232
0.038551997,53181,3.73,4.66307,18000,72,-1.1402452,0.0038489434,-0.004276405,0.47320449352264404,0.027894858,1800000,0.04014436141849728,82.15584802627563
0.035096,53132,4.11,4.6474295,18250,73,-1.1240691,0.0037406185,-0.004186108,0.4635554552078247,0.029159904,1825000,0.05361139779048244,83.20316457748413
0.026312,51375,4.13,4.631508,18500,74,-1.1229142,0.003218567,-0.00392294,0.4899836778640747,0.027423378,1850000,0.0447957936442981,84.20308494567871
0.035328,55699,4.37,4.615692,18750,75,-1.106386,0.0036972917,-0.0043068174,0.4929124116897583,0.028670603,1875000,0.049419919401952936,85.2082257270813
0.038956,53525,4.24,4.599798,19000,76,-1.1054184,0.00398538,-0.0045358366,0.4993093013763428,0.02902239,1900000,0.07024260712760678,86.17620778083801
0.046651997,54378,4.36,4.583558,19250,77,-1.083868,0.0042911014,-0.003992872,0.5113097429275513,0.02953719,1925000,0.07564628909909515,87.13718152046204
0.03864,39186,4.47,4.567518,19500,78,-1.0794395,0.0038480852,-0.0041367887,0.5381895899772644,0.027305692,1950000,0.06241456424788339,88.12673425674438
0.036376,53409,4.09,4.5517397,19750,79,-1.0761207,0.0037889644,-0.0039308714,0.5265450477600098,0.028838715,1975000,0.06366960696448587,89.27444815635681
0.045123998,53081,4.27,4.5366044,20000,80,-1.0604029,0.004299292,-0.004266888,0.5455909669399261,0.02793676,2000000,0.06442362757137744,90.25611281394958
0.030283999,52894,4.58,4.521032,20250,81,-1.0599622,0.0033083032,-0.003487243,0.5621188580989838,0.026774254,2025000,0.06733065916356282,91.25686192512512
0.032612003,54092,4.84,4.504672,20500,82,-1.0538844,0.0034421354,-0.0037345898,0.5581662058830261,0.027914878,2050000,0.08333837408848922,92.25682878494263
0.036904,54698,4.73,4.4890304,20750,83,-1.0439688,0.003734883,-0.00414581,0.5684665441513062,0.027439967,2075000,0.06488143016351387,93.24360203742981
0.040376,54359,4.74,4.4738636,21000,84,-1.0400559,0.0039799763,-0.004064857,0.568470299243927,0.028051123,2100000,0.06940282077899611,94.20204782485962
0.038604,54586,4.05,4.4586573,21250,85,-1.0270181,0.003899922,-0.004132564,0.5881233215332031,0.027713915,2125000,0.03616207960429165,95.17027044296265
0.036276,49673,3.99,4.4431167,21500,86,-1.0241776,0.0037519888,-0.0036921552,0.5856432020664215,0.028118327,2150000,0.07096049746032804,96.14283466339111
0.043243997,52949,4.8,4.4281454,21750,87,-1.014671,0.004187937,-0.004218218,0.5925621688365936,0.02795704,2175000,0.07978859084352735,97.12762689590454
0.029956002,54655,3.96,4.4130898,22000,88,-1.0144237,0.0032426466,-0.003734739,0.6113665699958801,0.02685063,2200000,0.0579455471203255,98.1327383518219
0.03538,52886,4.68,4.3975706,22250,89,-1.0102911,0.003666789,-0.0038821888,0.611621081829071,0.027013281,2225000,0.07475577002216596,99.09300422668457
0.045056,47851,3.92,4.381938,22500,90,-1.0056587,0.004068778,-0.0042004697,0.614384114742279,0.026892558,2250000,0.062312101554853144,100.0998318195343
0.04022,53362,4.33,4.3659678,22750,91,-1.0009049,0.003984987,-0.0040221987,0.627524733543396,0.026239714,2275000,0.06697987585415831,101.12951803207397
0.034939997,53248,4.14,4.3511715,23000,92,-0.99220955,0.0037175193,-0.0035023415,0.6323656439781189,0.026448105,2300000,0.0667514975069389,102.11801743507385
0.025016,50074,5.07,4.3367867,23250,93,-0.97738546,0.0030650366,-0.0034940683,0.6275455355644226,0.027674621,2325000,0.07896590513773845,103.09681010246277
0.03706,54346,4.38,4.32228,23500,94,-0.98469967,0.003786084,-0.003895219,0.633084625005722,0.027367204,2350000,0.061286864908688586,104.11404490470886
0.052308,54064,4.55,4.307744,23750,95,-0.97164196,0.0047324924,-0.004050815,0.6322246789932251,0.027813938,2375000,0.06885850953811314,105.06427836418152
0.027844,54287,4.75,4.293144,24000,96,-0.96494263,0.003179885,-0.0037908605,0.6406287252902985,0.027238797,2400000,0.09038450062929769,106.00428557395935
0.036643997,54473,4.59,4.278649,24250,97,-0.9669834,0.0037482823,-0.0037935202,0.6487603783607483,0.0268123,2425000,0.07489978637589957,106.9471845626831
0.03718,55833,4.72,4.264797,24500,98,-0.96443826,0.003815587,-0.0038288743,0.6435881853103638,0.027244162,2450000,0.07643875739129725,107.88574862480164
0.042067997,54406,4.63,4.2512712,24750,99,-0.95334274,0.0039835917,-0.004071459,0.6346977949142456,0.029119622,2475000,0.06365639379853746,108.81880903244019
0.034,55844,5.24,4.2380137,25000,100,-0.9641809,0.0035164163,-0.0032292616,0.6524009108543396,0.026917309,2500000,0.07932925533192246,109.76975512504578
0.032147996,54091,4.97,4.224843,25250,101,-0.9492934,0.0033964862,-0.0036387995,0.6500213146209717,0.027518526,2525000,0.08369848985548742,110.69398283958435
0.045275997,52922,4.89,4.2109556,25500,102,-0.9519222,0.0043159006,-0.0041179545,0.6573061645030975,0.026988734,2550000,0.06783172909927089,111.63381314277649
0.043588005,52965,5.04,4.197324,25750,103,-0.94585514,0.0040700417,-0.003913524,0.6651610136032104,0.026792873,2575000,0.0958349866163735,112.64344620704651
0.02444,51529,5.16,4.1829243,26000,104,-0.9378547,0.0028862332,-0.0035773753,0.6608368158340454,0.027484875,2600000,0.09177038429268577,113.66139078140259
0.031080002,54978,4.96,4.1689587,26250,105,-0.9397686,0.0032765516,-0.0035948628,0.6718055009841919,0.026592355,2625000,0.08283888410689542,114.62288045883179
0.040767998,55122,4.8,4.15421,26500,106,-0.9426783,0.0039185085,-0.004611621,0.6696533560752869,0.02651615,2650000,0.07525644310779171,115.56980562210083
0.032527998,53332,4.73,4.139972,26750,107,-0.933674,0.0034747683,-0.0039189337,0.6784818768501282,0.026366616,2675000,0.08861471661832183,116.49497151374817
0.03458,43729,5.09,4.125032,27000,108,-0.92647463,0.0035961226,-0.0040324368,0.6779786944389343,0.026572311,2700000,0.08597559612971964,117.58877110481262
0.027224,45495,4.86,4.1101213,27250,109,-0.9275463,0.0031428214,-0.0036886998,0.6884529888629913,0.026054602,2725000,0.07641278660999888,118.8739104270935
0.038656004,46890,5.14,4.096079,27500,110,-0.9131036,0.003877752,-0.003939934,0.6790811419487,0.027232733,2750000,0.0731442469295871,120.14310932159424
0.039188,52875,4.85,4.0840216,27750,111,-0.9103287,0.0039131963,-0.0037248277,0.6784199178218842,0.028125664,2775000,0.08728987567708828,121.21146655082703
0.041443996,52251,5.1,4.071828,28000,112,-0.9091274,0.0040578637,-0.0031327754,0.6833558082580566,0.027577737,2800000,0.09827844907325925,122.22952842712402
0.055772,46026,4.96,4.059663,28250,113,-0.90682536,0.004832089,-0.003446608,0.6931897103786469,0.02691687,2825000,0.08329315249124193,123.35619807243347
0.032292,45317,5.55,4.047499,28500,114,-0.8948636,0.0034400579,-0.0034203813,0.6850874125957489,0.027798852,2850000,0.0990161136820825,124.57768964767456
0.033864003,47165,5.12,4.0339847,28750,115,-0.89380383,0.003458996,-0.0042006103,0.6862208843231201,0.028103694,2875000,0.09125882779520907,125.83243155479431
0.034396,44379,5.16,4.0203667,29000,116,-0.8973729,0.00359861,-0.0036237396,0.6772966682910919,0.029233387,2900000,0.08505069776350865,127.03350496292114
0.036820002,53987,5.78,4.0072193,29250,117,-0.8918704,0.0036762971,-0.003990481,0.684240847826004,0.028534021,2925000,0.09838423228422472,128.28610467910767
0.041372,54324,5.21,3.9947274,29500,118,-0.8805756,0.0041126506,-0.004025989,0.6955200433731079,0.02794765,2950000,0.09922518517199932,129.212171792984
0.038396,54880,5.33,3.982596,29750,119,-0.8776204,0.0037308082,-0.0038614795,0.686831146478653,0.029115617,2975000,0.08477470926052774,130.15150380134583
0.044884,51757,5.5,3.9706721,30000,120,-0.86954576,0.004300667,-0.003585374,0.6995162963867188,0.027999913,3000000,0.0992281294755594,131.12138390541077
