n_updates,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,true_reward,policy_entropy,explained_variance,time_elapsed,clipfrac,ep_len_mean,value_loss,approxkl
113,28250,54738,2.5823861290234347,-0.001757277,2825000,0.03104937,5.2341275,0.9658957533538342,101.76177430152893,0.015852,89.3,0.026442891,0.0022961572
114,28500,47956,2.321616269235492,-0.002304136,2850000,0.03163937,5.2244253,0.9599434472620487,102.68501901626587,0.020515999,87.98,0.03189542,0.002598808
115,28750,57151,2.5094206310895606,-0.0023672865,2875000,0.030114084,5.2158246,0.9586300514638424,103.65466856956482,0.025732,87.02,0.035735548,0.0030204162
116,29000,56487,2.340879956853023,-0.0022906393,2900000,0.031717025,5.2090344,0.965283703058958,104.51539134979248,0.022912,88.96,0.028278679,0.0025127616
117,29250,57383,2.3972221166528516,-0.002116911,2925000,0.032451615,5.2040544,0.9625577814877033,105.40655207633972,0.022796001,91.9,0.029874906,0.0027005891
118,29500,45777,2.2065224901098417,-0.0020603146,2950000,0.03297853,5.201688,0.952000804245472,106.30140900611877,0.026340002,85.52,0.03249083,0.0029590125
119,29750,56033,2.596477251454926,-0.0017434966,2975000,0.032600235,5.197886,0.956986952573061,107.26523041725159,0.022127997,90.08,0.037326172,0.0027130262
120,30000,46722,2.8484906464447888,-0.0024507188,3000000,0.033112474,5.191952,0.9641797728836536,108.15176033973694,0.025080001,98.7,0.032216173,0.0028084754
121,30250,48279,2.43033309401274,-0.0026005171,3025000,0.031523947,5.183498,0.9620051011443138,109.12637400627136,0.03454,88.32,0.032605294,0.0035887745
122,30500,51460,2.790112069446168,-0.0019968287,3050000,0.031933334,5.1735334,0.9604956209659576,110.08498024940491,0.025344,98.26,0.032452993,0.0028972414
123,30750,47863,2.462435851328992,-0.0035906837,3075000,0.03088191,5.16528,0.9602052569389343,111.04453134536743,0.041323997,89.01,0.03217534,0.0038319372
124,31000,55114,2.531041012413316,-0.002441661,3100000,0.033154216,5.159021,0.9614640176296234,112.06068658828735,0.026911998,90.16,0.034185227,0.002844593
125,31250,58245,2.6176709869210937,-0.0019474669,3125000,0.031943295,5.1554313,0.9703982267528772,112.96326446533203,0.02004,95.28,0.027505796,0.0025774403
126,31500,55274,2.5467185751291526,-0.0021145039,3150000,0.034577046,5.1511693,0.9564216621220112,113.81559228897095,0.023560002,88.85,0.036235593,0.002719033
127,31750,56772,2.4558122228355295,-0.0018582966,3175000,0.032692283,5.1459384,0.9583676680922508,114.67516350746155,0.021160001,86.56,0.034223326,0.0025841095
128,32000,55046,2.6032006958503917,-0.0021421849,3200000,0.030970544,5.142728,0.9641845263540745,115.52509641647339,0.015740002,89.1,0.033493664,0.002277028
129,32250,57777,2.3867856957266484,-0.0020686064,3225000,0.030746862,5.1366563,0.9499931111931801,116.43840503692627,0.020396,87.77,0.040015034,0.0027085526
130,32500,57064,2.1760338877912613,-0.002784331,3250000,0.033628263,5.125001,0.9690417274832726,117.29655861854553,0.036048003,88.5,0.026621679,0.0036866511
131,32750,57479,2.4515871666770543,-0.001774139,3275000,0.034937877,5.1163907,0.9588213041424751,118.1473662853241,0.025048003,84.85,0.031463243,0.0029214055
132,33000,58458,2.511930572840174,-0.0020595067,3300000,0.03470313,5.1087255,0.9570755362510681,118.98447346687317,0.034036,85.5,0.03352561,0.0035055608
133,33250,55973,2.6068456418604184,-0.0017265411,3325000,0.0319014,5.0978093,0.9654373414814472,119.82269144058228,0.016312,97.41,0.029147869,0.0023476891
134,33500,58174,2.4493392332185793,-0.0014604876,3350000,0.035002843,5.0864,0.962900698184967,120.68960404396057,0.014475999,86.71,0.027225265,0.0018408655
135,33750,58818,2.72917317645697,-0.0020205127,3375000,0.033550665,5.0736246,0.9634400755167007,121.5259222984314,0.011804,93.04,0.026716724,0.0015838336
136,34000,57040,2.0877038296012005,-0.00247304,3400000,0.033225603,5.0624924,0.9691759552806616,122.36586499214172,0.022376,81.76,0.023170497,0.0026162234
137,34250,56575,2.406786823468417,-0.0025368056,3425000,0.033257104,5.054919,0.9546080343425274,123.25133037567139,0.028748,88.35,0.03570605,0.0031238208
138,34500,55948,2.4835251852966302,-0.0015559302,3450000,0.034358323,5.0445743,0.9567875266075134,124.12004256248474,0.01534,90.26,0.030008689,0.0021846618
139,34750,56509,2.128181525709624,-0.0020579519,3475000,0.03322247,5.0370517,0.9629168212413788,124.9626944065094,0.017616,82.62,0.028849835,0.0022476017
140,35000,58719,2.740963520312371,-0.0019016995,3500000,0.03446535,5.031073,0.960147712379694,125.79008865356445,0.025492001,94.39,0.02818499,0.0029748701
141,35250,49822,2.5389378404240777,-0.0022676229,3525000,0.03336791,5.024889,0.9647346250712872,126.64814281463623,0.022135999,88.85,0.031684343,0.002712225
142,35500,58570,2.543857834208393,-0.0017496258,3550000,0.03474762,5.019657,0.9543244689702988,127.61120438575745,0.0133839995,90.33,0.032039303,0.0020460566
143,35750,58053,2.756616443520088,-0.002183765,3575000,0.034480758,5.015335,0.9519095607101917,128.48750686645508,0.024612,91.55,0.038678277,0.0029008149
144,36000,47597,2.358044722849263,-0.0019269523,3600000,0.034439325,5.0095434,0.957166712731123,129.3298807144165,0.02288,90.99,0.026325047,0.0026366827
145,36250,57667,2.4747035155453343,-0.0021864776,3625000,0.03463593,5.002875,0.9523482732474804,130.2857642173767,0.023907999,90.25,0.033336125,0.002840361
146,36500,54822,2.3560356899103683,-0.0017762551,3650000,0.036609944,4.9975443,0.9653603695333004,131.11989641189575,0.021335999,85.02,0.025255512,0.0026838514
147,36750,50203,1.9970426251998288,-0.002019206,3675000,0.03485836,4.9944267,0.9726704359054565,131.9671552181244,0.018579999,78.05,0.024088887,0.0023639586
148,37000,57630,2.5030540025374286,-0.0027817604,3700000,0.035829213,4.9898324,0.9617255628108978,132.8553352355957,0.032700002,88.56,0.029934313,0.0033141016
149,37250,57238,2.5844880227853353,-0.0022534211,3725000,0.03593776,4.9851627,0.9451974779367447,133.70756459236145,0.027832001,91.0,0.044410046,0.0028041196
150,37500,56530,2.3644293200785795,-0.0021975688,3750000,0.034711637,4.980514,0.9644332304596901,134.5605366230011,0.016812,87.57,0.02921451,0.002232888
151,37750,54884,2.3361177557580777,-0.002520355,3775000,0.033645708,4.974119,0.9690322894603014,135.40777707099915,0.035336,88.64,0.026342819,0.0035161283
152,38000,56104,2.8529307086177367,-0.0021352281,3800000,0.03375829,4.97154,0.9679331630468369,136.2820589542389,0.019087998,96.7,0.0271439,0.002729272
153,38250,55045,2.1708124320046043,-0.001905603,3825000,0.03151146,4.966367,0.9652583636343479,137.11980676651,0.021319998,88.51,0.029511642,0.002712874
154,38500,53446,2.283430845563798,-0.0020345761,3850000,0.035307437,4.9591084,0.9633624292910099,137.97421312332153,0.019687999,79.09,0.027915275,0.002574971
155,38750,52764,2.3736045105509764,-0.0017989234,3875000,0.0342831,4.9526725,0.9702233225107193,138.86580348014832,0.015496001,91.37,0.024446677,0.0021681306
156,39000,56100,2.9694959479796306,-0.0023089668,3900000,0.036789984,4.9453,0.9569151401519775,139.7649142742157,0.028663998,100.01,0.030616824,0.0032197863
157,39250,58387,2.3890403662723996,-0.002725993,3925000,0.03644214,4.9375844,0.9673735238611698,140.63017392158508,0.041816,89.58,0.023772355,0.0040441114
158,39500,58439,2.2646483610702988,-0.0019376038,3950000,0.036525365,4.928248,0.9714757446199656,141.4598159790039,0.030060003,91.13,0.022675302,0.0032202683
159,39750,57410,2.5072413429882,-0.0025717665,3975000,0.036838036,4.919566,0.9597745873034,142.2661371231079,0.026948,84.51,0.03143879,0.0028805996
160,40000,58150,2.33311538590905,-0.0017296519,4000000,0.037360724,4.9164395,0.963029257953167,143.1033320426941,0.025400002,84.98,0.026174197,0.0029787584
161,40250,55001,2.140923407061564,-0.002095359,4025000,0.036339827,4.911954,0.9633977115154266,143.93681287765503,0.02542,79.55,0.032409184,0.0028165458
162,40500,50930,2.18164560388861,-0.002105346,4050000,0.03471911,4.9088416,0.9650508724153042,144.7845823764801,0.024220001,80.64,0.031968586,0.0027530822
163,40750,50968,2.4473014862366473,-0.0020743157,4075000,0.034506943,4.907185,0.9475924260914326,145.67333912849426,0.024572004,84.46,0.044117946,0.0028674756
164,41000,57405,2.641996321648039,-0.0018052589,4100000,0.03562797,4.9054155,0.9555884674191475,146.54481291770935,0.02026,94.55,0.030390937,0.0024224604
165,41250,56589,2.409310224630208,-0.0023387144,4125000,0.03472709,4.900672,0.9513891935348511,147.36640310287476,0.036936,89.74,0.03959777,0.0035675273
166,41500,57216,2.198383574866093,-0.0022039574,4150000,0.036566503,4.896842,0.9595746397972107,148.21592783927917,0.026948,87.36,0.032676093,0.002915136
167,41750,55426,2.5518899056989177,-0.0018218299,4175000,0.03470197,4.890712,0.9590449519455433,149.05885410308838,0.025975998,91.32,0.029221142,0.0030699284
168,42000,58355,2.4619294258251103,-0.0018823233,4200000,0.03558549,4.88412,0.9534127376973629,149.9052872657776,0.020267999,91.99,0.035507396,0.0025301038
169,42250,57752,2.411101235860108,-0.0023000555,4225000,0.03750517,4.879281,0.9659741669893265,150.75099682807922,0.03168,83.44,0.028199676,0.0032518439
170,42500,55965,2.324040826666356,-0.002032246,4250000,0.03709395,4.8716908,0.9678544104099274,151.58152842521667,0.01898,90.06,0.024826104,0.0025918116
171,42750,57089,2.4170912468489725,-0.00251196,4275000,0.035670266,4.8618193,0.9720979053527117,152.42751812934875,0.036179997,89.73,0.02166428,0.0036323282
172,43000,57188,1.9699177926701168,-0.0020514713,4300000,0.03671445,4.854949,0.970096642151475,153.25934720039368,0.019988,80.35,0.026457448,0.0026874423
173,43250,56985,2.5487144254928022,-0.0016347468,4325000,0.035509452,4.8463306,0.9659216478466988,154.0716052055359,0.022132,89.05,0.02691656,0.0026260933
