total_timesteps,approxkl,fps,value_loss,serial_timesteps,time_elapsed,true_reward,explained_variance,policy_loss,clipfrac,n_updates,ep_reward_mean,ep_len_mean,policy_entropy
3125000,0.0063851983,50481,0.017741859,31250,113.55087637901306,0.040578377,0.9796960204839706,-0.002049369,0.081512,125,8.301319206033131,208.19,0.68607485
3150000,0.007208398,54723,0.028707873,31500,114.44450855255127,0.04253968,0.9705272186547518,-0.0016470377,0.094256,126,8.524916860873063,201.56,0.6817393
3175000,0.0095519675,54492,0.017845478,31750,115.28214168548584,0.041307237,0.9807976800948381,-0.00091906777,0.12761599,127,8.415224292160074,206.73,0.67855424
3200000,0.0057337685,54319,0.02485069,32000,116.12101149559021,0.040672626,0.9740838631987572,-0.0018544378,0.068519995,128,8.593087268630905,210.58,0.67715734
3225000,0.007857036,52768,0.024990972,32250,116.95131754875183,0.040876232,0.9737468101084232,-0.0029116883,0.10276,129,8.196526022179823,200.01,0.6738678
3250000,0.00688985,55303,0.025213644,32500,117.81216335296631,0.04047945,0.9705676604062319,-0.0031813502,0.089244,130,8.446824991239064,209.28,0.6723273
3275000,0.0063513247,54912,0.020249646,32750,118.66294360160828,0.042343985,0.975731210783124,-0.0025311,0.077796005,131,9.593046655113776,226.61,0.6686653
3300000,0.0074771866,55713,0.039365023,33000,119.50968098640442,0.041968085,0.9553080126643181,-0.0018227404,0.09712799,132,8.807842465427239,208.25,0.6689607
3325000,0.0064374804,56355,0.018871496,33250,120.33937382698059,0.042910594,0.9783720578998327,-0.002363134,0.081912,133,9.268205835505505,217.25,0.669298
3350000,0.004552073,54438,0.01702882,33500,121.16122460365295,0.040635645,0.9801187347620726,-0.0024618087,0.049748,134,8.510167916392092,211.63,0.66911906
3375000,0.0065895207,56130,0.027366573,33750,122.0203013420105,0.041649804,0.9704549834132195,-0.002105567,0.084564,135,8.666767247540847,208.53,0.6659492
3400000,0.006361098,52573,0.024738703,34000,122.8673779964447,0.042170662,0.9765785150229931,-0.0025358037,0.07969199,136,8.908747492254625,207.79,0.6639372
3425000,0.0059747924,53340,0.021061655,34250,123.74847435951233,0.042110093,0.9788517244160175,-0.0021886637,0.07567201,137,9.108466537631466,215.94,0.66175675
3450000,0.00567096,53763,0.023375504,34500,124.61618971824646,0.042579718,0.9761276040226221,-0.0029276134,0.07133201,138,8.506691653064518,199.65,0.6584753
3475000,0.0076979273,54012,0.043227844,34750,125.52145576477051,0.041915514,0.9513056688010693,-0.0018560548,0.09397999,139,8.811136909715652,210.0,0.6571807
3500000,0.007101598,53926,0.06005633,35000,126.37524008750916,0.041344404,0.935601495206356,-0.0015154319,0.093596,140,8.038195465280305,194.87,0.658127
3525000,0.006342509,53735,0.0679063,35250,127.2293267250061,0.0416333,0.9263717457652092,-0.0023449012,0.08114,141,8.400501481122337,200.72,0.6590335
3550000,0.0060918424,54441,0.025762167,35500,128.0912070274353,0.041626647,0.9755137395113707,-0.0020394297,0.075784005,142,8.212861948478603,197.01,0.65960306
3575000,0.006336645,55106,0.029673006,35750,128.92712497711182,0.041311737,0.9674736186861992,-0.0025115511,0.079528,143,8.120406957595259,195.66,0.6573702
3600000,0.0068933875,55828,0.04841985,36000,129.76932430267334,0.0400897,0.949947889894247,-0.0028694388,0.084915996,144,7.724540517992145,192.55,0.65781456
3625000,0.009958773,53862,0.03643859,36250,130.60305857658386,0.042179257,0.960544615983963,-0.0012416921,0.125512,145,7.492909601671781,183.24,0.6641829
3650000,0.0050436114,55739,0.03622817,36500,131.4704430103302,0.0406218,0.955378994345665,-0.0022038645,0.057088,146,8.372816245935173,204.61,0.6680035
3675000,0.007019479,54589,0.024565805,36750,132.30311131477356,0.041101284,0.9728728998452425,-0.0020677403,0.093668,147,7.952364655835177,195.24,0.6707445
