fps,clipfrac,ep_reward_mean,n_updates,serial_timesteps,explained_variance,true_reward,policy_loss,value_loss,policy_entropy,time_elapsed,total_timesteps,ep_len_mean,approxkl
55219,0.02654,6.689584667624477,108,27000,0.9239891469478607,0.032692254,-0.0012795335,0.29981843,5.307222,103.64611339569092,2700000,136.47,0.0030039675
52300,0.028639998,6.775063055288033,109,27250,0.9598798006772995,0.035402894,-0.0014477571,0.15665498,5.304694,104.53053426742554,2725000,147.97,0.002875598
54135,0.025408,7.3251345420483815,110,27500,0.9326011091470718,0.0354782,-0.0012888052,0.26776445,5.3043094,105.44208264350891,2750000,149.67,0.002988082
52102,0.041279998,6.724204478469256,111,27750,0.9407241530716419,0.033518434,-0.0016415905,0.24978521,5.300861,106.31648015975952,2775000,141.63,0.0039476883
54922,0.022756001,7.54754276161159,112,28000,0.9510732777416706,0.035159808,-0.0016917356,0.18994983,5.2959533,107.19737553596497,2800000,159.5,0.0027177746
55210,0.059296,8.864527327303424,113,28250,0.9516945257782936,0.03870374,-0.0018154576,0.17547554,5.288746,108.05581045150757,2825000,201.62,0.0050442116
54650,0.041788,7.127095801243031,114,28500,0.9501946344971657,0.033259876,-0.0017800011,0.21574792,5.2810893,108.90902781486511,2850000,160.23,0.0036802744
54530,0.067076005,6.046401142357227,115,28750,0.933125339448452,0.029056333,-0.0019439977,0.33756906,5.279395,109.78469181060791,2875000,136.23,0.00543191
53326,0.025896002,7.172745509614167,116,29000,0.9649342261254787,0.033332735,-0.0013393939,0.18153715,5.2798758,110.6545832157135,2900000,152.97,0.0030084117
50948,0.044664003,8.561431772494107,117,29250,0.9328405261039734,0.035238553,-0.002233257,0.23074293,5.2804155,111.59788703918457,2925000,187.0,0.0039850776
55277,0.030368,10.097036218177672,118,29500,0.9270111620426178,0.04197731,-0.0019561392,0.16705827,5.2780066,112.53651142120361,2950000,208.85,0.00315519
55808,0.053395998,8.881521860152015,119,29750,0.8792284727096558,0.038302068,-0.0023166053,0.3600586,5.2745943,113.41749262809753,2975000,178.04,0.0043373094
53936,0.026912,9.474502854754574,120,30000,0.8744814693927765,0.040215056,-0.0019283749,0.35843065,5.26917,114.26952576637268,3000000,186.15,0.0029892935
54548,0.073204,8.503279773703008,121,30250,0.8382253646850586,0.036340058,-0.0014222917,0.43616667,5.264848,115.15578889846802,3025000,180.53,0.005750494
54725,0.076207995,7.604087145608283,122,30500,0.8275772482156754,0.032974266,-0.0025544781,0.46878427,5.262479,116.05336618423462,3050000,180.34,0.0058671753
54418,0.032640003,8.96995023314099,123,30750,0.9194702133536339,0.03818499,-0.0018966676,0.30029607,5.263991,116.92522144317627,3075000,190.67,0.0033215792
55527,0.017468,9.247045659659706,124,31000,0.9209793880581856,0.04097186,-0.0013818142,0.20813517,5.266996,117.79253458976746,3100000,195.16,0.0022064394
55561,0.018516,8.680427417128708,125,31250,0.9469902291893959,0.040148918,-0.0013948698,0.16885686,5.271135,118.6590223312378,3125000,185.54,0.0025564649
49731,0.025324002,8.082504945678211,126,31500,0.965841256082058,0.03975847,-0.0014459325,0.15480244,5.271792,119.50753450393677,3150000,161.73,0.002815613
52454,0.015992,8.942917167205742,127,31750,0.9738128483295441,0.0423028,-0.0017001892,0.10954026,5.266929,120.49440598487854,3175000,169.78,0.0021995772
51415,0.014264,8.21924508890428,128,32000,0.9523628763854504,0.04079293,-0.001213451,0.173323,5.2612433,121.40517735481262,3200000,160.99,0.0021734785
43897,0.027060002,6.661285837801424,129,32250,0.906810887157917,0.033861768,-0.0013130137,0.32691756,5.2584467,122.2791850566864,3225000,141.6,0.0029815417
52474,0.062384002,5.795475654867405,130,32500,0.8783915713429451,0.030559685,-0.0015547401,0.530496,5.255208,123.26619219779968,3250000,118.36,0.0050859945
55286,0.012344,5.733326944471337,131,32750,0.9424939937889576,0.030913789,-0.0007487471,0.27682632,5.2504387,124.15774154663086,3275000,120.29,0.0020431099
55526,0.017236,5.84500976150568,132,33000,0.9668235518038273,0.033761647,-0.0013990295,0.15337145,5.2488794,125.02179074287415,3300000,125.09,0.0022384506
54224,0.027012,6.678130808253445,133,33250,0.9438849650323391,0.03513804,-0.0011914006,0.24022603,5.2496243,125.87452459335327,3325000,140.29,0.0030920077
54699,0.022328,6.0586325895755,134,33500,0.9422094188630581,0.034153376,-0.001501901,0.25123882,5.2499595,126.74387717247009,3350000,131.64,0.0024911077
54003,0.015611999,5.665751882413751,135,33750,0.9576463960111141,0.032688253,-0.0011690996,0.18098396,5.248727,127.61348509788513,3375000,131.14,0.0023535644
55833,0.031044,7.134323321738048,136,34000,0.9328911677002907,0.036169667,-0.0018694161,0.27971166,5.2475524,128.48858523368835,3400000,145.08,0.0029688517
55611,0.026164,6.654629991406109,137,34250,0.9279370903968811,0.034363404,-0.001273717,0.2877276,5.2475033,129.3418734073639,3425000,142.92,0.0029832062
54512,0.025660003,5.922539321541553,138,34500,0.9521062783896923,0.034752328,-0.0016170522,0.20501164,5.248909,130.21917080879211,3450000,127.33,0.002718063
54718,0.029528001,7.233213670760706,139,34750,0.9575499445199966,0.038698256,-0.0015454974,0.17392632,5.2474794,131.08213591575623,3475000,147.79,0.0032415423
55310,0.075168,6.265948217783589,140,35000,0.874625563621521,0.03348555,-0.0016460618,0.5467946,5.2478166,131.9484965801239,3500000,128.19,0.0058035287
54399,0.036916,5.74078281261231,141,35250,0.9230739325284958,0.031727474,-7.61863e-05,0.33952457,5.246725,132.80032396316528,3525000,124.78,0.0035732365
53723,0.024744,6.726839007050731,142,35500,0.9407797493040562,0.035052057,-0.00095130334,0.24107365,5.24702,133.65878319740295,3550000,141.76,0.0029462609
54709,0.0119199995,6.634483567072603,143,35750,0.9555183053016663,0.03724759,-0.0009547664,0.20713,5.247,134.52962970733643,3575000,130.81,0.0020633074
53173,0.03296,6.926541347139422,144,36000,0.9570589177310467,0.03694914,-0.0018718634,0.19015822,5.240091,135.4206576347351,3600000,136.83,0.0033198136
51965,0.044320002,7.276617992989486,145,36250,0.9578664675354958,0.03877977,-0.0020175476,0.17787592,5.2352386,136.31422781944275,3625000,143.81,0.004089728
52480,0.031503998,9.563988941603377,146,36500,0.900480292737484,0.043039005,-0.0016432924,0.25492424,5.233502,137.2206072807312,3650000,191.96,0.0033101935
51752,0.05086,8.511246770854305,147,36750,0.9340495467185974,0.041278824,-0.0017316416,0.21946874,5.228551,138.13202548027039,3675000,168.67,0.00431255
55072,0.036216,9.877279900917783,148,37000,0.9202007055282593,0.043952484,-0.0011813358,0.23003654,5.2282195,139.02192878723145,3700000,189.27,0.0037323232
54818,0.024976,10.810747174951247,149,37250,0.927990697324276,0.04633773,-0.0011908512,0.13706489,5.2313643,139.87195444107056,3725000,215.75,0.0028793786
54746,0.037428,11.237190500222642,150,37500,0.9134886190295219,0.047676954,-0.0019238992,0.16631724,5.2313547,140.7260115146637,3750000,217.46,0.0036378473
55902,0.023516001,10.188048822956844,151,37750,0.9021897092461586,0.044641696,-0.0014139045,0.21751197,5.228518,141.63601756095886,3775000,204.45,0.0026884116
55621,0.035564,9.93101987478816,152,38000,0.8936245962977409,0.04469266,-0.001381324,0.2608103,5.2264476,142.4929678440094,3800000,198.78,0.0032931503
