fps,approxkl,policy_entropy,time_elapsed,policy_loss,value_loss,ep_len_mean,true_reward,explained_variance,serial_timesteps,clipfrac,total_timesteps,n_updates,ep_reward_mean
53092,0.0069280704,4.895859,110.22552919387817,-0.0034233038,0.3454767,232.99,0.10012921,0.34144020080566406,34750,0.09523599,3475000,139,23.5931323374364
76232,0.0066223317,4.89167,111.10391211509705,-0.0025320225,0.28954992,231.52,0.0989923,0.4455997347831726,35000,0.086771995,3500000,140,23.013886676612454
75367,0.0062433532,4.885741,111.84115982055664,-0.0029184197,0.46853954,218.77,0.0979741,0.4402562379837036,35250,0.078008,3525000,141,21.566839393878944
73909,0.007969971,4.8817873,112.58011102676392,-0.0031804708,0.17212048,235.06,0.101451576,0.6795234382152557,35500,0.10563201,3550000,142,23.784311137836266
75847,0.0058685495,4.875741,113.31323313713074,-0.002984384,0.35271168,233.04,0.102654226,0.48375898599624634,35750,0.07342,3575000,143,24.12310092870699
77155,0.0066644102,4.8658686,114.0518946647644,-0.0023271607,0.19261749,239.78,0.10404269,0.5842755138874054,36000,0.085756004,3600000,144,25.06089694199298
75683,0.0076326877,4.856675,114.77279376983643,-0.0023539292,0.26122257,235.48,0.104814135,0.48852360248565674,36250,0.099135995,3625000,145,24.855719217826845
70145,0.0066199326,4.848757,115.54096746444702,-0.0030709642,0.3246846,227.68,0.10299997,0.4327072501182556,36500,0.088471994,3650000,146,23.518586345822985
76562,0.005368732,4.8426113,116.29118347167969,-0.0019888992,0.3672952,225.03,0.10438143,0.44394737482070923,36750,0.067756,3675000,147,23.65463106976655
75168,0.0049716835,4.8417077,117.016930103302,-0.0025195838,0.40082437,223.88,0.10422879,0.4431949257850647,37000,0.061076004,3700000,148,23.441528453557112
74120,0.0052175713,4.8414965,117.76382398605347,-0.0029787153,0.27762228,231.86,0.10367789,0.5486173331737518,37250,0.063728005,3725000,149,24.076154518511977
75204,0.0056987246,4.8354354,118.49225425720215,-0.0023542885,0.5009338,217.45,0.10355272,0.34573477506637573,37500,0.0699,3750000,150,22.72955615245832
75827,0.0064083105,4.830155,119.20646333694458,-0.0029608202,0.48235473,218.61,0.10449952,0.3753312826156616,37750,0.08257599,3775000,151,23.010654223757445
73015,0.005990833,4.8271594,119.92524242401123,-0.0032087415,0.22909002,232.34,0.1053331,0.6343100666999817,38000,0.07631599,3800000,152,24.545443613691603
69575,0.0070212297,4.8196254,120.6984441280365,-0.0024404114,0.62324715,207.78,0.104345925,0.41800546646118164,38250,0.09205599,3825000,153,21.916722878389557
73499,0.004523758,4.812288,121.47118663787842,-0.0024422046,0.29915953,227.89,0.10700884,0.489757776260376,38500,0.050927997,3850000,154,24.46157473211948
73079,0.0043297587,4.8033876,122.19611597061157,-0.002776465,0.4512269,218.29,0.105835,0.3390854597091675,38750,0.049984,3875000,155,23.223104991368746
75498,0.00572233,4.8011923,122.94162702560425,-0.002673848,0.28445485,233.03,0.10622811,0.4118908643722534,39000,0.071104005,3900000,156,24.871637224661136
72448,0.0062982775,4.7975907,123.67440009117126,-0.0029925096,0.40550393,227.99,0.10540696,0.3566122055053711,39250,0.081004,3925000,157,24.17673047220278
75131,0.005978239,4.792205,124.45632529258728,-0.0028792631,0.3316411,233.11,0.10532398,0.5110743641853333,39500,0.074568,3950000,158,24.724181606989585
71788,0.0060608224,4.7851048,125.23113632202148,-0.0030013798,0.32216257,232.68,0.10656001,0.44172871112823486,39750,0.075776,3975000,159,24.95022633613291
70293,0.006547137,4.7790246,126.00560331344604,-0.002043038,0.58199775,216.22,0.10612218,0.32941436767578125,40000,0.086032,4000000,160,23.229250185970088
