serial_timesteps,total_timesteps,n_updates,clipfrac,explained_variance,value_loss,policy_entropy,ep_reward_mean,fps,time_elapsed,true_reward,ep_len_mean,approxkl,policy_loss
36500,3650000,146,0.023572,0.9476251415908337,0.5368613,5.053894,0.23834143255198115,53219,134.64998269081116,-0.06527268,95.34,0.002784063,-0.0015487236
36750,3675000,147,0.029424,0.958257157355547,0.4420247,5.0466533,0.01695503701951566,55326,135.48989367485046,-0.0677013,97.31,0.0032159574,-0.0022460402
37000,3700000,148,0.02676,0.9401343315839767,0.63392663,5.0381546,0.5823904283610113,56185,136.30998921394348,-0.055647433,112.3,0.0030071044,-0.002026563
37250,3725000,149,0.023140002,0.950555831193924,0.5164146,5.029372,0.3797441634403424,49933,137.1234486103058,-0.058407813,107.6,0.0028373862,-0.001778754
37500,3750000,150,0.022636,0.9566684477031231,0.45389003,5.018017,0.39716357542434255,56366,138.00252628326416,-0.06017317,106.5,0.002710546,-0.0019972813
37750,3775000,151,0.01828,0.9617288149893284,0.43282968,5.009658,-0.1876684202710743,45512,138.82231760025024,-0.064410314,100.3,0.00242729,-0.0015205605
38000,3800000,152,0.031576,0.9648270457983017,0.375853,5.0031633,0.22999071779251012,55848,139.74981927871704,-0.061899774,95.09,0.003456338,-0.00188942
38250,3825000,153,0.030996,0.9593182131648064,0.4372695,4.9959025,0.004428695383064678,56283,140.57983231544495,-0.06785839,92.0,0.0032204806,-0.002138088
38500,3850000,154,0.040716,0.9664888009428978,0.3715561,4.9921308,-0.1343544931068503,55948,141.38697242736816,-0.06702116,96.43,0.0038410097,-0.0020367876
38750,3875000,155,0.022843998,0.9612368904054165,0.41001886,4.9864883,0.2361242052361979,55147,142.20199012756348,-0.061465275,103.43,0.0028603026,-0.0016527282
39000,3900000,156,0.030672003,0.9534789621829987,0.5230286,4.982398,0.6645279024471245,54881,143.0151596069336,-0.06375941,89.35,0.0033826097,-0.0010110303
39250,3925000,157,0.027267998,0.9649914279580116,0.39616388,4.9803977,0.11174432812838518,55366,143.83563828468323,-0.067599095,94.95,0.003066402,-0.0016617592
39500,3950000,158,0.026352,0.9509030170738697,0.5295128,4.9790154,-0.006810900090536052,53787,144.64730048179626,-0.06393881,94.73,0.002891177,-0.0019355615
39750,3975000,159,0.014304,0.9615235365927219,0.41517416,4.97528,0.11830479130445185,55897,145.4736385345459,-0.06612441,93.34,0.0020934143,-0.0011000481
40000,4000000,160,0.046928,0.9551453664898872,0.4860844,4.9714518,0.1716898931401289,55138,146.2876889705658,-0.065673076,97.26,0.0041896226,-0.0022530183
40250,4025000,161,0.052075993,0.9470993988215923,0.563353,4.9677973,0.10007724481949481,54943,147.10138511657715,-0.06149223,104.14,0.0046312343,-0.0023591921
40500,4050000,162,0.029504001,0.9579921588301659,0.46099076,4.9647,0.21869781834618265,54409,147.92497873306274,-0.06009442,103.06,0.0033787638,-0.0013198977
40750,4075000,163,0.032603998,0.9626641161739826,0.39504182,4.960302,0.038625708926333574,53708,148.74145483970642,-0.05871364,106.73,0.0034654438,-0.0020833223
41000,4100000,164,0.028536001,0.9597949460148811,0.4681689,4.9519286,0.2641420119148074,54998,149.5668649673462,-0.059026275,100.07,0.0032198813,-0.0015587688
41250,4125000,165,0.034412,0.9585467614233494,0.45584708,4.9384613,0.49827600470856054,54070,150.38598775863647,-0.057109073,104.62,0.0035501576,-0.0019159028
41500,4150000,166,0.026859999,0.9478810988366604,0.58850443,4.9281273,0.5349376940673392,55388,151.20986819267273,-0.05791842,99.82,0.003113885,-0.0014230715
41750,4175000,167,0.027236,0.9674012176692486,0.37502092,4.9187026,0.3626581968600368,55582,152.01553893089294,-0.063560165,100.83,0.0030655148,-0.0014631262
42000,4200000,168,0.029127996,0.9606555849313736,0.43723282,4.9127717,0.3605358201350126,55496,152.83455777168274,-0.065767914,98.18,0.0030389812,-0.001686514
42250,4225000,169,0.026348,0.9629888609051704,0.39894527,4.909957,0.06522659580762025,56661,153.64152097702026,-0.06151401,101.58,0.0028714917,-0.002205687
42500,4250000,170,0.030723998,0.9480276852846146,0.5416073,4.9059935,-0.04705422670885298,33627,154.4445185661316,-0.058465023,110.43,0.0033155035,-0.0018234622
42750,4275000,171,0.028912002,0.967322863638401,0.36368668,4.900897,-0.254139393431351,55203,155.54625368118286,-0.06500793,90.7,0.0032708067,-0.0021422661
43000,4300000,172,0.029028002,0.9580611921846867,0.5031193,4.8962345,0.5755960127818298,56078,156.36257600784302,-0.06391148,85.39,0.0030064292,-0.0013019029
43250,4325000,173,0.036792003,0.9571355618536472,0.4940238,4.894117,0.515567055548604,46672,157.16547393798828,-0.05366188,104.94,0.0036204464,-0.0018972711
43500,4350000,174,0.017679999,0.9497647471725941,0.5894151,4.89143,0.5301383584762672,48011,158.0554964542389,-0.05830162,98.37,0.0020844718,-0.00087621494
43750,4375000,175,0.022944,0.9614217653870583,0.39594167,4.8887177,-0.0014024151353851267,56077,158.93719744682312,-0.0574348,106.84,0.002609641,-0.0017172911
44000,4400000,176,0.046352003,0.9673117399215698,0.37408984,4.8824797,0.3357598856554358,53689,159.76194095611572,-0.06340424,95.43,0.0044049947,-0.0025759889
44250,4425000,177,0.03518,0.9550537392497063,0.5084952,4.8766804,0.19068774568958702,55426,160.59158492088318,-0.059101544,92.92,0.0037369158,-0.002063967
44500,4450000,178,0.04156,0.9423623755574226,0.62775815,4.8734574,0.4106883264681572,53760,161.43002676963806,-0.056681924,107.56,0.0039037417,-0.0017842427
44750,4475000,179,0.019344,0.9663979783654213,0.3928327,4.8704805,0.3864866943499797,54698,162.25986337661743,-0.0659619,96.7,0.0025410233,-0.0014184774
45000,4500000,180,0.031083997,0.9565494954586029,0.49650946,4.8662987,0.5414438336502507,54331,163.072425365448,-0.054330792,101.62,0.0032030293,-0.0019895604
45250,4525000,181,0.018351998,0.9652949422597885,0.38699836,4.8606415,0.2260275217542403,54567,163.90793108940125,-0.063747786,95.89,0.0022230875,-0.0019040204
45500,4550000,182,0.019151999,0.9635260812938213,0.40180412,4.8570623,-0.01566956084695448,48929,164.73666667938232,-0.061918467,99.75,0.0024380817,-0.0018412846
45750,4575000,183,0.039183997,0.9474871344864368,0.5862654,4.849761,0.15501041030015586,53444,165.60552191734314,-0.061663378,91.29,0.0038759806,-0.0022132832
46000,4600000,184,0.029415999,0.9599297121167183,0.49002704,4.8425045,0.5855754769459054,49080,166.43733143806458,-0.06277134,85.93,0.0030303982,-0.0015521176
