policy_loss,fps,n_updates,approxkl,time_elapsed,clipfrac,total_timesteps,ep_len_mean,policy_entropy,serial_timesteps,ep_reward_mean,true_reward,explained_variance,value_loss
-0.0022337039,56605,101,0.005424925,92.08009314537048,0.06408,2525000,232.37,0.6658334,25250,10.33470938369981,0.044284876,0.9773747958242893,0.022109622
-0.0022026997,58062,102,0.008955341,92.91349673271179,0.11553999,2550000,235.1,0.66651756,25500,10.170307805388923,0.04335658,0.9664658382534981,0.02997258
-0.0027927957,57472,103,0.00697103,93.74160647392273,0.087795995,2575000,223.29,0.6664923,25750,9.805494775728585,0.04285208,0.9351317062973976,0.058689672
-0.0025113954,56292,104,0.005432413,94.59014630317688,0.064256,2600000,232.39,0.6657723,26000,9.7413940827662,0.04165894,0.9768067169934511,0.01908182
-0.0032768794,56339,105,0.006256926,95.4268581867218,0.079384,2625000,232.57,0.6632999,26250,10.220914163237522,0.04376422,0.9844709075987339,0.014298474
-0.0019256037,57188,106,0.009481956,96.28108286857605,0.120648004,2650000,225.84,0.65671855,26500,9.734654668676049,0.043256566,0.9673020727932453,0.027773583
-0.0019301701,56827,107,0.0075185546,97.13583970069885,0.096592,2675000,232.52,0.6514946,26750,10.053449470348404,0.04297187,0.9607352912425995,0.030654397
-0.0022158115,57719,108,0.007369113,97.97065997123718,0.093692005,2700000,230.17,0.6457917,27000,10.104353436887868,0.043952577,0.9773279950022697,0.017747615
-0.0014931192,55678,109,0.00526041,98.80777525901794,0.062695995,2725000,226.65,0.64191264,27250,9.568178891882646,0.042690292,0.9832616206258535,0.014174478
-0.0017780603,58205,110,0.0063677477,99.67236399650574,0.07458,2750000,229.58,0.64369166,27500,9.824961700193434,0.04310129,0.9738798271864653,0.02555941
-0.002869008,57781,111,0.0062095886,100.50518679618835,0.07778,2775000,227.96,0.6472433,27750,9.940337426024202,0.04317742,0.96089668571949,0.03628686
-0.0016749811,56175,112,0.009425611,101.33900332450867,0.12102799,2800000,215.03,0.64749706,28000,9.820051794835017,0.044985015,0.9621841162443161,0.03530078
-0.002850067,57544,113,0.0054957145,102.19269824028015,0.064724,2825000,233.11,0.64544547,28250,9.883516190622107,0.042739663,0.9847076404839754,0.0110478755
-0.0025578574,53831,114,0.0059285504,103.01309490203857,0.072027996,2850000,223.52,0.638655,28500,9.238434268585497,0.041567814,0.9853022340685129,0.012907681
-0.0018776602,56365,115,0.0066456655,103.87646389007568,0.084864005,2875000,230.69,0.6328973,28750,10.052247937334295,0.043183144,0.9420640803873539,0.043543562
-0.003120964,56082,116,0.008163976,104.73106670379639,0.109972,2900000,221.3,0.6302848,29000,9.70661570757482,0.043542564,0.9591024369001389,0.035713527
-0.0010654508,55890,117,0.008097757,105.581711769104,0.103888,2925000,238.11,0.63049924,29250,9.990899871400543,0.041662525,0.9650389663875103,0.027726915
-0.002522448,54639,118,0.006008378,106.42370581626892,0.07318,2950000,225.48,0.6313658,29500,10.045450602888376,0.04487289,0.9855682896450162,0.012543151
-0.0009246395,50693,119,0.008232532,107.291268825531,0.102207996,2975000,217.77,0.6281455,29750,9.3193353382235,0.043051124,0.9630279280245304,0.03339801
-0.0021791,55341,120,0.0055278665,108.2142722606659,0.061963998,3000000,231.7,0.6244162,30000,9.974348818416765,0.042386815,0.9703302085399628,0.027796859
-0.0029442124,53529,121,0.005071813,109.07937169075012,0.055943996,3025000,234.7,0.6220848,30250,10.135956738429522,0.043537315,0.9825863093137741,0.015937958
-0.0028069757,57287,122,0.005460816,109.99927282333374,0.061644,3050000,229.15,0.6179368,30500,10.039342313994602,0.043835763,0.9810899253934622,0.017020127
-0.0022281609,57063,123,0.005674401,110.83640003204346,0.0681,3075000,225.71,0.6126784,30750,10.141091225598938,0.044514477,0.9743346013128757,0.024377573
-0.002634652,55833,124,0.005952704,111.67641115188599,0.074384004,3100000,221.0,0.608865,31000,9.771699386846821,0.043740585,0.9680714681744576,0.03690246
-0.0029784008,56819,125,0.0066759326,112.51511597633362,0.083368,3125000,217.98,0.6062049,31250,9.777392927912224,0.044239923,0.9514000006020069,0.04919714
-0.0005937667,57333,126,0.008501633,113.35064649581909,0.101016,3150000,232.2,0.60550714,31500,10.170872021354098,0.043802787,0.9730686042457819,0.022584688
-0.002770212,58482,127,0.0061830855,114.18205690383911,0.07392,3175000,223.28,0.60416216,31750,9.675250843387657,0.043232534,0.9823888875544071,0.016026802
-0.002676539,57522,128,0.009227348,115.00353336334229,0.120923996,3200000,212.34,0.6035651,32000,9.286200300578203,0.044037938,0.9573030732572079,0.039106477
-0.0012419845,57748,129,0.007861868,115.83235454559326,0.104668,3225000,235.2,0.6013845,32250,9.990199851387215,0.04250435,0.9842737019062042,0.013057115
-0.0020641484,56763,130,0.0060221767,116.65426659584045,0.074195996,3250000,242.51,0.59867615,32500,10.756287560811616,0.044239562,0.9929369958117604,0.004897224
