ep_len_mean,policy_loss,total_timesteps,approxkl,clipfrac,fps,serial_timesteps,explained_variance,ep_reward_mean,value_loss,policy_entropy,time_elapsed,true_reward,n_updates
3.02,-0.0031997312,22750,0.039253246,0.29039997,2307,22750,0.8116921186447144,-1.5174212186038494,0.020858523,5.624813,15.640666484832764,-0.5094573,91
3.1,-0.033716846,23000,0.06363276,0.4344,2344,23000,0.5067342817783356,-1.5062203560769558,0.03586886,5.6247315,15.776458978652954,-0.48567638,92
3.14,-0.019822862,23250,0.048960697,0.3472,2333,23250,0.20155435800552368,-1.500435926616192,0.061993875,5.624972,15.910260438919067,-0.46970728,93
3.12,0.0074413205,23500,0.03175963,0.3016,2298,23500,0.03517037630081177,-1.5039446645975112,0.02766841,5.623757,16.044084548950195,-0.47788826,94
2.94,-0.01426602,23750,0.039632298,0.298,2286,23750,0.6581434905529022,-1.5297974157333374,0.014383557,5.620316,16.17955994606018,-0.5176733,95
3.02,-0.0088050645,24000,0.02042037,0.2488,2341,24000,0.6258589923381805,-1.5179336366057397,0.010921569,5.618602,16.316516876220703,-0.5016795,96
3.03,-0.025493804,24250,0.08329995,0.44759998,2317,24250,0.6939523816108704,-1.5166175562143325,0.024273362,5.6176734,16.45020294189453,-0.49371052,97
3.25,0.006975056,24500,0.045308553,0.33519998,2343,24500,0.6330249309539795,-1.4856051491200923,0.050468933,5.6154604,16.584927320480347,-0.46201912,98
3.43,-0.021018153,24750,0.022600457,0.22080001,2293,24750,0.2646159529685974,-1.4589613269269466,0.02447345,5.614454,16.718302726745605,-0.4298454,99
3.41,-0.0085319,25000,0.057780497,0.3516,2293,25000,0.5248056054115295,-1.461821716874838,0.018560149,5.612979,16.854021549224854,-0.42995873,100
3.51,-0.011668244,25250,0.034029014,0.30160004,2355,25250,0.5538122951984406,-1.448036788403988,0.015127569,5.611165,16.991751432418823,-0.43013763,101
3.58,-0.0011340119,25500,0.060900845,0.3724,2262,25500,0.5412279665470123,-1.4379763460159303,0.014256614,5.609121,17.12476921081543,-0.38216364,102
3.81,0.005096712,25750,0.062110733,0.38559997,2288,25750,0.5547309219837189,-1.4042560115456582,0.01415626,5.6067085,17.261532068252563,-0.35822734,103
4.12,0.011348575,26000,0.051745534,0.3588,2301,26000,0.7566021382808685,-1.359656280875206,0.0067793755,5.6039667,17.397351503372192,-0.31827587,104
4.28,0.036499206,26250,0.07612765,0.4048,2231,26250,0.8153924643993378,-1.3364998327195645,0.004544549,5.601247,17.532500743865967,-0.30241963,105
4.47,0.0011054038,26500,0.056646038,0.36280003,2297,26500,0.8882575929164886,-1.3088354055583478,0.0029512371,5.5987053,17.67107844352722,-0.29431495,106
4.59,-0.011116987,26750,0.030325765,0.2824,2256,26750,0.9247184917330742,-1.2914319148659705,0.0030895588,5.5986614,17.80595302581787,-0.27036378,107
4.83,-0.010000639,27000,0.056130756,0.41080004,2336,27000,0.9325768277049065,-1.2568125353753568,0.007822424,5.5993853,17.942820072174072,-0.25445622,108
4.9,-0.0032938614,27250,0.03741248,0.34639996,2377,27250,0.8413972407579422,-1.2465016366541386,0.005812679,5.600666,18.07622504234314,-0.2543812,109
4.84,0.034720384,27500,0.085443094,0.45880002,2301,27500,0.9304249361157417,-1.2553031250834465,0.014598079,5.601401,18.206700563430786,-0.27039132,110
4.88,0.001970417,27750,0.026827985,0.2892,2329,27750,0.27487754821777344,-1.2509175138175488,0.024487687,5.60207,18.341027975082397,-0.25493562,111
4.85,0.03014656,28000,0.09823801,0.4592,2355,28000,0.7829030901193619,-1.255425540059805,0.00645852,5.6037226,18.474822998046875,-0.2625008,112
4.93,0.021289751,28250,0.06705906,0.45279998,2329,28250,0.9426036700606346,-1.2426401384174823,0.0023784689,5.604013,18.606667041778564,-0.2544313,113
4.9,-0.00810733,28500,0.04403285,0.3064,2324,28500,0.9741725716739893,-1.2467425753176213,0.0034210824,5.6028404,18.739769220352173,-0.25444317,114
4.79,-0.018365206,28750,0.05695842,0.39319998,2265,28750,0.8355569690465927,-1.2625273153185845,0.008816778,5.6026587,18.873852968215942,-0.27838075,115
4.83,0.006217467,29000,0.04862069,0.40880004,2301,29000,0.9342025741934776,-1.2567231985926628,0.0027159145,5.6013045,19.010660648345947,-0.2544251,116
4.9,-0.004116711,29250,0.06774394,0.36400002,2297,29250,0.6657828688621521,-1.2475983569025992,0.029404998,5.598978,19.145463705062866,-0.2547917,117
4.94,-0.007364678,29500,0.10709635,0.4176,2273,29500,0.44256681203842163,-1.243000476062298,0.039948262,5.5992594,19.28209662437439,-0.25489274,118
4.95,-0.015125652,29750,0.16110693,0.5252,2298,29750,0.5114556550979614,-1.2421395161747932,0.025756687,5.600214,19.41798973083496,-0.24711272,119
5.07,-0.007718306,30000,0.017850375,0.21440001,2263,30000,0.35137075185775757,-1.2068687877058983,0.0384973,5.6002913,19.552491903305054,-0.23174705,120
5.25,-0.0094994,30250,0.043916665,0.34280002,2300,30250,0.2669631242752075,-1.1857066164165735,0.055894155,5.5992556,19.68944478034973,-0.22483686,121
5.3,0.019525442,30500,0.063038245,0.39440003,2298,30500,0.12639683485031128,-1.178583028241992,0.048481677,5.5974665,19.82404899597168,-0.21606626,122
5.46,0.027822355,30750,0.13064125,0.4732,2292,30750,0.3426152467727661,-1.159512157291174,0.035824653,5.5968733,19.958657264709473,-0.2099447,123
5.8,0.012203031,31000,0.29923004,0.49,2312,31000,0.27336645126342773,-1.1166523163020612,0.049402285,5.597878,20.09349250793457,-0.17104492,124
6.42,0.009235481,31250,0.106094435,0.41000003,2246,31250,0.26452773809432983,-1.0420394387841225,0.092299715,5.5985084,20.227078676223755,-0.14142694,125
7.22,0.008215061,31500,0.05852803,0.39440003,2324,31500,-0.22140240669250488,-0.9515110674500465,0.1880959,5.5990143,20.362993955612183,-0.09203056,126
7.64,0.018743038,31750,0.059091747,0.33359998,2265,31750,0.23636943101882935,-0.8883286934345961,0.106182955,5.5994005,20.496257543563843,-0.12181224,127
8.01,-0.0031778198,32000,0.0355964,0.3112,2328,32000,0.17859727144241333,-0.8456039539724588,0.10067692,5.6000977,20.63226342201233,-0.104843624,128
