serial_timesteps,value_loss,total_timesteps,policy_loss,fps,ep_reward_mean,time_elapsed,approxkl,true_reward,explained_variance,policy_entropy,clipfrac,n_updates,ep_len_mean
24500,0.54970074,2450000,0.017935745,63655,3.2850093214213847,83.36508464813232,0.055644054,0.09265554,0.7845795154571533,5.5251756,0.27369997,98,22.66
24750,0.5686714,2475000,0.01852041,63154,3.667071434855461,84.17283225059509,0.07216458,0.09293735,0.7819452285766602,5.5230064,0.29367203,99,25.33
25000,0.5343369,2500000,0.00588633,63683,3.7827782928943634,84.97878003120422,0.018206503,0.09297103,0.7908114045858383,5.520826,0.13946399,100,26.25
25250,0.5160984,2525000,0.0046771523,60881,4.017805945947766,85.79505586624146,0.021119926,0.09338584,0.7983999848365784,5.5165324,0.130636,101,27.93
25500,0.50964105,2550000,0.0042248014,64341,3.636911799684167,86.62612962722778,0.01541937,0.0931331,0.8025266230106354,5.51082,0.123703994,102,25.13
25750,0.52982247,2575000,0.0020645638,63517,3.725351930260658,87.42955136299133,0.016552147,0.09352498,0.801056444644928,5.506524,0.093728,103,25.71
26000,0.5279294,2600000,0.004932383,62757,3.5994683942198753,88.24761581420898,0.051193725,0.09326417,0.7911070585250854,5.501865,0.080828,104,24.98
26250,0.59458363,2625000,0.0070763305,64211,3.3987791860103607,89.06150364875793,0.040593702,0.09354256,0.7794846892356873,5.497535,0.19084,105,23.7
26500,0.49621814,2650000,0.00324528,62699,3.9893782046437263,89.8653290271759,0.020568397,0.09381986,0.7949586659669876,5.4951034,0.127568,106,27.85
26750,0.60593987,2675000,0.0026944662,63662,4.078847724944353,90.66723799705505,0.030167306,0.094238065,0.7843240648508072,5.494564,0.126656,107,28.24
27000,0.6661602,2700000,0.0049643735,64897,3.798565077781677,91.4679765701294,0.022992667,0.09483954,0.7772066444158554,5.49433,0.139116,108,26.36
27250,0.6565979,2725000,-0.00017059907,63264,3.615050329044461,92.321941614151,0.012927297,0.094216615,0.7806436121463776,5.493069,0.06823201,109,24.83
