policy_entropy,ep_reward_mean,time_elapsed,true_reward,n_updates,clipfrac,policy_loss,fps,total_timesteps,explained_variance,serial_timesteps,value_loss,approxkl,ep_len_mean
-0.84518373,7.826438201165292,1221.2807667255402,0.04061216,1407,0.100471996,-0.0014008961,55016,35175000,0.9794616978615522,351750,0.018530384,0.007614826,195.05
-0.84806806,9.443117544525485,1222.1594734191895,0.04196439,1408,0.105156004,-0.00068551087,56884,35200000,0.9853103831410408,352000,0.012445613,0.008087076,225.27
-0.8497003,9.246069848452608,1222.9898047447205,0.040971305,1409,0.124536,-0.00038235486,55435,35225000,0.9831768050789833,352250,0.015092914,0.008965896,224.4
-0.8483534,7.700800785163538,1223.8460240364075,0.0405751,1410,0.09919199,-0.0021956824,52920,35250000,0.9787450507283211,352500,0.018632282,0.0077402517,192.78
-0.84690636,9.57892072149949,1224.7125153541565,0.04451157,1411,0.119268,-0.001591919,55813,35275000,0.9853888703510165,352750,0.010725971,0.008966871,215.12
-0.846352,7.933826913459925,1225.5594909191132,0.04236116,1412,0.101716004,-0.0036254101,53016,35300000,0.9757712204009295,353000,0.019268727,0.007669769,191.06
-0.84601307,8.873892460586504,1226.4065709114075,0.04185863,1413,0.096044004,-0.0022701568,56168,35325000,0.9800161216408014,353250,0.016093623,0.007340634,208.41
-0.8453851,8.980850899861252,1227.2399652004242,0.04190204,1414,0.085531995,-0.0030585607,57360,35350000,0.9810898900032043,353500,0.0133056,0.0066256486,216.82
-0.8458198,8.579383554428023,1228.132584810257,0.042202987,1415,0.10947199,-0.0022389826,52657,35375000,0.981103677302599,353750,0.016125634,0.008201754,202.24
-0.8469125,8.791518128987192,1229.0732324123383,0.042228177,1416,0.070099995,-0.0020630371,51765,35400000,0.9824621975421906,354000,0.014546402,0.0058650784,209.0
-0.84628475,8.713506939172913,1229.9583928585052,0.041958302,1417,0.09546801,-0.0017559135,54710,35425000,0.9798911213874817,354250,0.016588705,0.007359275,209.43
-0.843757,7.909200303769467,1230.8420860767365,0.042314056,1418,0.076116,-0.0031637691,53781,35450000,0.9826539978384972,354500,0.014419034,0.0061528785,189.53
-0.8441054,8.339768802975833,1231.7446193695068,0.041748125,1419,0.106832005,-0.00063295214,54698,35475000,0.9879949232563376,354750,0.009730821,0.007948799,199.22
-0.8472742,8.403441426621521,1232.5879473686218,0.043308623,1420,0.14371999,-0.00017235964,54763,35500000,0.9771903287619352,355000,0.018023828,0.01086544,196.66
-0.8502477,8.831777328149183,1233.494603395462,0.04274493,1421,0.085984,-0.001747946,48793,35525000,0.9869041200727224,355250,0.010241611,0.006672038,208.06
-0.8544205,8.485120247867698,1234.4130544662476,0.04184603,1422,0.091808,-0.0024655676,50798,35550000,0.9787787776440382,355500,0.017993847,0.0070873396,201.16
-0.8554004,8.721566116848116,1235.3455514907837,0.042949166,1423,0.148144,0.00025994182,54050,35575000,0.9780678916722536,355750,0.016911376,0.010601665,204.63
-0.85587454,8.627330342814266,1236.200612783432,0.04159074,1424,0.069088,-0.0033924587,55215,35600000,0.9898217627778649,356000,0.007144599,0.0058773095,210.09
-0.8567917,9.18079316626714,1237.0492279529572,0.04315962,1425,0.087136,-0.0020200606,56447,35625000,0.9752232246100903,356250,0.018293222,0.0069571338,213.77
-0.8564941,8.452301035659621,1237.884842157364,0.04061601,1426,0.076472,-0.0032384999,56318,35650000,0.9739820789545774,356500,0.01944187,0.0061838827,211.47
-0.85698986,8.30808907047679,1238.7214932441711,0.041145302,1427,0.107623994,-0.001055204,56027,35675000,0.9728392269462347,356750,0.02108619,0.008133922,202.11
-0.85896695,8.422433894653986,1239.560348033905,0.041336313,1428,0.072084,-0.0037208386,51540,35700000,0.9836864992976189,357000,0.016782816,0.005976517,199.96
-0.8574048,8.880550110423966,1240.4605586528778,0.04199973,1429,0.074683994,-0.0020227008,55858,35725000,0.9820912014693022,357250,0.013753211,0.0060137487,212.94
-0.8578477,8.950013104564205,1241.3168334960938,0.041297577,1430,0.138172,0.00011643821,55281,35750000,0.9681911543011665,357500,0.02415884,0.010162594,215.8
-0.8576566,7.8380097569084315,1242.1683399677277,0.04176676,1431,0.100484,-0.0015378008,56191,35775000,0.9923324724659324,357750,0.0058888947,0.007924432,195.47
-0.85677737,8.34265397695639,1242.9923679828644,0.04194152,1432,0.11840401,-0.003095835,56285,35800000,0.9793422315269709,358000,0.017157957,0.009099404,200.73
-0.8558871,8.792526667779894,1243.826375246048,0.04222201,1433,0.101952,-0.0015947042,56870,35825000,0.9798865504562855,358250,0.015593493,0.0078112073,210.27
-0.8557849,8.560512847335321,1244.6374015808105,0.04175408,1434,0.21808401,0.0013833729,56148,35850000,0.9793770145624876,358500,0.016711572,0.015669368,206.12
-0.85433495,8.048464853749028,1245.4799678325653,0.04135057,1435,0.094884,-0.0020552382,58606,35875000,0.9904126180335879,358750,0.008046733,0.008107262,199.91
-0.8565401,8.96492291753064,1246.2849142551422,0.04086955,1436,0.097428,-0.00081866106,55406,35900000,0.9867671029642224,359000,0.010205301,0.0075767464,218.41
-0.8589082,8.235505847832323,1247.1512854099274,0.04115769,1437,0.055292,-0.0024041221,57429,35925000,0.9763515796512365,359250,0.020349182,0.004932464,202.2
-0.8570793,8.040286510877758,1247.9958221912384,0.04310716,1438,0.17923999,-0.00012214108,55027,35950000,0.9643189534544945,359500,0.030363625,0.014456458,189.23
-0.85467994,8.303637535712605,1248.8272547721863,0.04026779,1439,0.129388,-6.9317875e-06,56180,35975000,0.9855317547917366,359750,0.013503318,0.0095811905,207.14
-0.85637367,8.03559861032627,1249.6710815429688,0.041632295,1440,0.11970401,-0.0023407433,54255,36000000,0.978460282087326,360000,0.017571742,0.0091434615,198.68
-0.85919297,8.86009970796477,1250.538429260254,0.041530136,1441,0.079756,-0.0022666052,56975,36025000,0.9920375067740679,360250,0.005832118,0.0064206095,214.7
-0.8627421,7.968593968928672,1251.3703782558441,0.041018825,1442,0.076828,-0.003050313,56129,36050000,0.9690541457384825,360500,0.024392555,0.0061636074,197.52
-0.8667499,8.133685375434725,1252.2075543403625,0.041416083,1443,0.097780004,-0.001908084,55785,36075000,0.9776252899318933,360750,0.01798994,0.0076021925,199.84
-0.86979735,8.684677302893542,1253.0108153820038,0.040390458,1444,0.156864,0.0012155382,45570,36100000,0.9577310420572758,361000,0.033022285,0.011787222,215.29
-0.8719341,8.06558771063768,1253.9359638690948,0.04163633,1445,0.105976,-0.0016364313,56558,36125000,0.9778773728758097,361250,0.018592682,0.008087387,198.65
-0.87605697,7.995851238293417,1254.7219326496124,0.0416116,1446,0.09398399,-0.0016767017,57639,36150000,0.9742597695440054,361500,0.021294516,0.0073214695,194.67
-0.8813149,8.485544007888894,1255.4983937740326,0.041975446,1447,0.068172,-0.001999007,57810,36175000,0.9749729447066784,361750,0.020095387,0.00562187,201.05
-0.8841797,8.119187849464605,1256.2985253334045,0.039691444,1448,0.092052005,-0.0024321156,57865,36200000,0.9697872456163168,362000,0.024964482,0.0073078843,205.39
-0.88649666,7.521387986466362,1257.0872576236725,0.041619707,1449,0.192744,0.0032374822,57417,36225000,0.9559720605611801,362250,0.03410966,0.015205523,185.63
-0.8876527,8.80690418451697,1257.8936486244202,0.042201586,1450,0.29358402,0.011639643,57201,36250000,0.9696291349828243,362500,0.021873903,0.028301239,208.99
-0.8868729,7.207599762084155,1258.700091123581,0.041553266,1451,0.148368,0.0013492835,56353,36275000,0.961588092148304,362750,0.03502369,0.01130957,177.95
-0.88572407,8.260491806720456,1259.5023460388184,0.041704442,1452,0.10402,-0.0017132198,57872,36300000,0.9756819996982813,363000,0.017900951,0.007770437,200.04
-0.88528836,8.344499171864372,1260.3003933429718,0.041210797,1453,0.110552,-0.00032040972,56241,36325000,0.9740853868424892,363250,0.020477869,0.008486869,203.02
-0.88647234,8.899450764037999,1261.1119134426117,0.042188197,1454,0.13134399,-0.0002527199,55304,36350000,0.9844143930822611,363500,0.01162039,0.009322939,212.04
-0.8884777,8.940864858569675,1261.9185526371002,0.04255092,1455,0.10597201,-0.0014356092,58913,36375000,0.9808580279350281,363750,0.012858103,0.007812879,211.33
-0.8905155,7.604375441122756,1262.701455116272,0.042038783,1456,0.141844,4.32468e-05,56901,36400000,0.9684206433594227,364000,0.023309883,0.010534985,183.63
-0.893366,7.85542475924638,1263.486219406128,0.04183966,1457,0.1005,-0.0017162662,56756,36425000,0.9735404383391142,364250,0.019472968,0.00764357,191.64
-0.89645654,7.721559209194274,1264.29403758049,0.03998056,1458,0.091756,-0.0025706189,55284,36450000,0.9737194553017616,364500,0.02169313,0.007078562,195.52
-0.89935607,9.12179224973399,1265.1214401721954,0.042405244,1459,0.090959996,-0.0023564505,56649,36475000,0.9875088641420007,364750,0.008304916,0.0072340555,215.62
-0.9015519,8.15058000333223,1265.9399948120117,0.041550294,1460,0.14593601,0.001532797,54121,36500000,0.9767999798059464,365000,0.016432796,0.0107528325,200.06
-0.9046382,8.670819419137056,1266.797968864441,0.041494843,1461,0.122820005,-0.00035865515,54397,36525000,0.989453986287117,365250,0.008432713,0.008717003,210.84
-0.90685606,8.385110668712368,1267.6609981060028,0.041836265,1462,0.10607199,-0.0020671827,55857,36550000,0.9821764510124922,365500,0.0103459945,0.0081361355,206.11
-0.90626466,8.440336485573935,1268.500237941742,0.041825965,1463,0.10501601,-0.001979071,58159,36575000,0.9823535699397326,365750,0.013444968,0.008080883,201.5
-0.9078668,8.485270533116491,1269.2909371852875,0.043008115,1464,0.090104006,-0.0013266297,56703,36600000,0.9761672858148813,366000,0.016806198,0.006868093,200.77
-0.90943843,7.924648385304026,1270.1085841655731,0.041097544,1465,0.08505599,-0.0022940678,54809,36625000,0.9869391713291407,366250,0.010849061,0.006831908,191.36
-0.90907156,8.124957886469492,1270.9477322101593,0.042265892,1466,0.10181199,-0.0015090716,54874,36650000,0.9771184902638197,366500,0.016483357,0.0076181456,194.0
-0.910205,8.494757721289862,1271.7701494693756,0.042036198,1467,0.08656,-0.0018980369,56407,36675000,0.9808052536100149,366750,0.013728952,0.0067008,204.65
-0.91260993,8.16181449394673,1272.5817914009094,0.042167846,1468,0.15740399,-0.00014286353,56562,36700000,0.978271009400487,367000,0.0146336425,0.012337061,197.38
-0.91640615,8.20994591920691,1273.3907272815704,0.042746734,1469,0.08489599,-0.0012162686,56353,36725000,0.9748474974185228,367250,0.016275942,0.006712059,194.18
-0.92132413,8.095273201255958,1274.2015566825867,0.042621415,1470,0.130932,-3.409281e-05,57316,36750000,0.9822260104119778,367500,0.013375898,0.0096968915,192.0
-0.92144334,8.0987351359921,1275.00341796875,0.041769125,1471,0.16375199,0.00097426045,56134,36775000,0.9848698703572154,367750,0.011138306,0.011639688,196.74
-0.9215847,7.403026852346048,1275.8121497631073,0.042222653,1472,0.168028,0.002420843,55005,36800000,0.9769021458923817,368000,0.017538788,0.01418934,179.91
-0.92213506,8.717269807379695,1276.6596541404724,0.04199902,1473,0.29286402,0.010115725,57317,36825000,0.9851154331117868,368250,0.011535095,0.028257173,208.5
-0.92223185,8.704642070708141,1277.4620604515076,0.042696588,1474,0.194844,0.0034137596,56833,36850000,0.9885041238740087,368500,0.007534161,0.014215414,207.68
-0.92246073,8.371006235006112,1278.2945947647095,0.042680204,1475,0.26693997,0.0047103064,57787,36875000,0.9785556271672249,368750,0.016349956,0.021678027,199.15
-0.921906,9.20264174919078,1279.0975167751312,0.043728888,1476,0.17271201,0.0024716961,56068,36900000,0.9832724444568157,369000,0.010739727,0.012592557,210.4
-0.92174643,9.054234315771609,1279.908840894699,0.042962585,1477,0.25552002,0.0070215226,57353,36925000,0.9810615591704845,369250,0.012773996,0.022198897,210.62
-0.9238099,8.485257981138204,1280.725950717926,0.042884663,1478,0.118652,-0.0013659184,57105,36950000,0.9867874169722199,369500,0.008805353,0.008697929,201.08
-0.9271498,8.48197566297613,1281.5501716136932,0.043054316,1479,0.090555996,-0.0015770771,56072,36975000,0.9894667016342282,369750,0.0075310925,0.00709264,199.93
-0.92983216,8.499044383700966,1282.372920513153,0.042359833,1480,0.20290399,0.003902303,54705,37000000,0.9871219657361507,370000,0.0093461955,0.015705481,203.24
-0.9308237,8.599327923862983,1283.205227136612,0.042105805,1481,0.086676,-0.00035218522,56190,37025000,0.9813062138855457,370250,0.011762666,0.0067343405,207.15
-0.9322079,8.952433358497583,1284.0025701522827,0.041693706,1482,0.081852004,-0.0024645142,55286,37050000,0.9818993099033833,370500,0.012932844,0.006534735,211.54
