serial_timesteps,value_loss,explained_variance,n_updates,ep_reward_mean,true_reward,policy_entropy,time_elapsed,ep_len_mean,clipfrac,fps,policy_loss,approxkl,total_timesteps
24750,0.03063693,0.611767053604126,99,0.12008499056584697,-0.971968,4.220836,112.0754930973053,5.86,0.031432,47771,-0.0032883945,0.003475317,2475000
25000,0.029529598,0.6239373683929443,100,0.10486172812645236,-0.96991813,4.206139,113.15185523033142,5.43,0.041696005,55593,-0.004040665,0.0040790886,2500000
25250,0.030428838,0.6188264787197113,101,0.06336787176350754,-0.96496314,4.1918583,114.11331605911255,4.45,0.044484,55631,-0.0034394613,0.00412677,2525000
25500,0.029973367,0.6297896206378937,102,0.11622799549644697,-0.9486428,4.1790094,115.04715156555176,5.34,0.031988002,56779,-0.0033428092,0.003565902,2550000
25750,0.03133718,0.6245416402816772,103,0.10253270317189163,-0.94735485,4.1663566,115.98815870285034,5.27,0.035416,55765,-0.0039294874,0.0037118755,2575000
26000,0.03105281,0.6315613985061646,104,0.09022302322395262,-0.94432515,4.1530557,116.93350172042847,4.81,0.045296,55807,-0.0043651303,0.004326145,2600000
26250,0.031338844,0.6334797143936157,105,0.09695205822412391,-0.93686146,4.139797,117.88698983192444,4.87,0.038696,56296,-0.0033518549,0.0038983566,2625000
26500,0.031080673,0.6311295628547668,106,0.0813675659888122,-0.94464827,4.126052,118.84979844093323,4.6,0.033608,53538,-0.0034558314,0.0034792614,2650000
26750,0.032942183,0.624536782503128,107,0.10924453122279373,-0.9295925,4.1125417,119.94548010826111,5.21,0.035216,54091,-0.003341517,0.0039839367,2675000
27000,0.032419775,0.6286433041095734,108,0.11105694007157581,-0.9379447,4.0997477,120.91020321846008,4.94,0.037068,50799,-0.0034946161,0.0038019635,2700000
27250,0.034584306,0.6206693649291992,109,0.09132687836103287,-0.9208917,4.087468,121.87355518341064,4.73,0.061584003,54138,-0.0026331074,0.005086442,2725000
27500,0.032934327,0.633136510848999,110,0.08471159046632237,-0.92858374,4.07643,122.83116912841797,4.76,0.056412,53100,-0.0021307953,0.0048846225,2750000
