policy_entropy,n_updates,true_reward,approxkl,serial_timesteps,value_loss,ep_len_mean,ep_reward_mean,clipfrac,policy_loss,time_elapsed,explained_variance,total_timesteps,fps
5.092847,69,0.16757657,0.008647836,17250,0.052935183,9.89,1.6629339252412318,0.1272,-0.015326758,12.373887062072754,0.6347928643226624,17250,2278
5.0867825,70,0.16912718,0.014856502,17500,0.034770265,10.14,1.7116633698623627,0.2124,-0.015464649,12.507216215133667,0.7705520838499069,17500,2275
5.081092,71,0.16833459,0.009556562,17750,0.036837332,10.05,1.6948361915163697,0.13159999,-0.013853108,12.641510486602783,0.7506674081087112,17750,2159
5.074123,72,0.16754325,0.008773063,18000,0.0448641,9.9,1.6647021965123714,0.094000004,-0.011447465,12.782184839248657,0.7007113695144653,18000,2244
5.0672455,73,0.16910216,0.01187627,18250,0.032340117,10.0,1.6852680146787316,0.1612,-0.012876369,12.917948484420776,0.7837136834859848,18250,2201
5.0625215,74,0.16912499,0.009489231,18500,0.033362985,10.04,1.692802046695724,0.11960001,-0.008250865,13.056393384933472,0.7790864109992981,18500,2314
5.056718,75,0.16911496,0.0050207367,18750,0.03351468,10.17,1.7171328870486469,0.058,-0.009991089,13.189562797546387,0.7826979458332062,18750,2280
5.053295,76,0.16832817,0.00802266,19000,0.03342753,10.29,1.7395898769702762,0.1148,-0.018027049,13.323167562484741,0.7734720706939697,19000,2289
5.050888,77,0.1691009,0.009095138,19250,0.025208782,10.24,1.7302121744211763,0.1388,-0.013405475,13.456712245941162,0.8328323811292648,19250,2265
5.048181,78,0.16830516,0.009560773,19500,0.025323335,10.17,1.7170395550411195,0.13159999,-0.012237095,13.59129786491394,0.8310873359441757,19500,2195
5.0399823,79,0.16908945,0.0071613314,19750,0.018340409,10.1,1.7038949635904281,0.092800006,-0.009060947,13.728963375091553,0.8808722048997879,19750,2269
5.0296845,80,0.16912831,0.0060216244,20000,0.028238485,10.28,1.7376007923297585,0.0816,-0.014688353,13.86302661895752,0.8049101084470749,20000,2219
