total_timesteps,time_elapsed,fps,value_loss,ep_len_mean,policy_loss,policy_entropy,approxkl,serial_timesteps,explained_variance,true_reward,n_updates,ep_reward_mean,clipfrac
2900000,94.60750794410706,60400,0.98250294,168.39,0.00020085918,3.3207405,0.01132982,29000,0.8536920994520187,0.1539121,116,27.2755708309263,0.14208
2925000,95.41479229927063,61022,1.053107,156.5,-0.0028281575,3.3146095,0.0045063747,29250,0.836817055940628,0.155927,117,25.650522043704985,0.048628
2950000,96.23369312286377,63129,1.0799438,171.4,-0.002391945,3.3094609,0.0066498006,29500,0.8295840471982956,0.15465541,118,27.66229603976011,0.08262
2975000,96.98821139335632,60424,1.1246618,164.06,-0.0018940764,3.304216,0.0062389057,29750,0.8265772759914398,0.15669307,119,26.955290293768048,0.072692
3000000,97.79481506347656,59409,1.0122044,179.82,-0.00095733756,3.2982223,0.0066844686,30000,0.8252808749675751,0.1574741,120,29.506857482641934,0.080356
3025000,98.60551238059998,60410,1.1245867,164.65,-0.0007778555,3.293145,0.007812822,30250,0.8243282586336136,0.15734757,121,27.152082314640282,0.097311996
3050000,99.38812470436096,61513,1.2198727,151.83,-0.0033775442,3.2862518,0.0053153727,30500,0.8213443458080292,0.15649852,122,24.950961041226982,0.060192
3075000,100.16963124275208,61760,1.0626826,170.65,-0.00127512,3.2787807,0.008000604,30750,0.8395526707172394,0.15724184,123,28.257636550664902,0.101867996
3100000,100.94937491416931,61552,1.0756879,185.94,0.0013804631,3.272873,0.008909128,31000,0.8253789246082306,0.159652,124,30.729177536144853,0.110819995
3125000,101.72670125961304,62296,1.0103278,168.72,-0.0027628795,3.265777,0.0059800046,31250,0.8543240129947662,0.1565688,125,27.752675064578654,0.072024
3150000,102.50370907783508,61379,0.91464055,194.81,-0.0008716423,3.2569306,0.0057031666,31500,0.8428132385015488,0.16008532,126,32.29811490893364,0.067343995
3175000,103.29419660568237,61167,0.9771597,193.99,-0.00051323744,3.2496648,0.008719107,31750,0.8407855331897736,0.15909824,127,31.98393382936716,0.104776
3200000,104.07721519470215,62330,0.85653734,195.28,-0.0029480036,3.2429593,0.0057350406,32000,0.8494696468114853,0.16058291,128,32.37001388818025,0.067468
3225000,104.8633770942688,52983,0.72347194,198.29,-0.001939357,3.2367218,0.0060151797,32250,0.8701310455799103,0.16021045,129,32.84406300276518,0.071888
3250000,105.74618434906006,61319,0.7999274,201.18,-0.0025837235,3.2307491,0.005250792,32500,0.8623698651790619,0.15925457,130,33.0416854852438,0.061075997
3275000,106.53339552879333,59333,0.7223245,207.21,-0.00088725926,3.2237124,0.006435763,32750,0.8556265234947205,0.16082063,131,34.204713753312824,0.077368
3300000,107.32055068016052,60824,0.77691704,206.46,0.0009565217,3.2161865,0.009982178,33000,0.8461893051862717,0.16167594,132,34.21144762136042,0.116376
3325000,108.11404633522034,61806,0.8066145,213.39,-0.002883292,3.2070713,0.0038819152,33250,0.8378844559192657,0.16146696,133,35.3748236373812,0.039851997
3350000,108.88732695579529,62264,0.81406516,218.28,-0.001888063,3.197834,0.005213917,33500,0.8154008686542511,0.1625208,134,36.18050398498774,0.061571997
3375000,109.67225885391235,62495,0.75876075,208.56,-0.0040298575,3.1901932,0.005301672,33750,0.8377678245306015,0.16223204,135,34.67813875027001,0.062855996
3400000,110.44733309745789,59298,0.57380456,224.59,-0.0012486338,3.1773553,0.0064054565,34000,0.8402794897556305,0.16444692,136,37.53133035637438,0.07747201
3425000,111.2624740600586,61640,0.6122707,229.53,-0.00048863253,3.167482,0.008217916,34250,0.84941466152668,0.1635941,137,38.15494206100702,0.100176
3450000,112.05562210083008,62305,0.6320298,210.71,-0.0039418535,3.1563544,0.003971057,34500,0.8559269309043884,0.16425443,138,35.43426800750196,0.042004004
3475000,112.83082342147827,62040,0.50226074,234.81,-0.0025566316,3.1425557,0.003487093,34750,0.8279624581336975,0.16533637,139,39.20290547385812,0.033852
3500000,113.61450123786926,62594,0.5853734,222.27,-0.0033639264,3.129865,0.0047710794,35000,0.8231626003980637,0.16590434,140,37.519352391585706,0.052648
3525000,114.3871922492981,60677,0.66906,219.85,-0.002273469,3.1176832,0.0046586976,35250,0.8053233623504639,0.16548207,141,37.08482353657484,0.051848
3550000,115.17233729362488,61118,0.5686762,230.87,0.00017588385,3.107736,0.0122047365,35500,0.7930300831794739,0.1672352,142,39.13790734566748,0.15095599
3575000,115.95328855514526,61309,0.573838,226.85,-0.0032217044,3.0984633,0.005241784,35750,0.8358668386936188,0.16561346,143,38.234673117101195,0.060775995
3600000,116.73904776573181,60822,0.4250025,234.43,-0.0018801428,3.0859725,0.0069211298,36000,0.8453851640224457,0.16841744,144,39.89675209015608,0.083968
3625000,117.51980090141296,60585,0.40449467,236.67,-0.0026319176,3.0749164,0.0053283484,36250,0.8344573974609375,0.16888304,145,40.45603463038802,0.060140006
3650000,118.32770729064941,58780,0.3704181,236.23,-0.0020270695,3.0638855,0.006303422,36500,0.8548513352870941,0.16890055,146,40.43921694770455,0.072192
3675000,119.12880420684814,61067,0.37554505,235.74,-0.0009298151,3.0548577,0.0073506227,36750,0.8481560349464417,0.16899547,147,40.30053726010024,0.081828006
3700000,119.90483856201172,60979,0.42543942,232.12,-0.0028042006,3.0456676,0.0060216347,37000,0.8476821482181549,0.16862586,148,39.602929755821826,0.071608
3725000,120.69251418113708,61297,0.37911755,238.82,-0.0005769767,3.0327315,0.008473825,37250,0.8100980818271637,0.1689705,149,40.680271295160054,0.091196
3750000,121.47258853912354,61700,0.42774552,234.23,0.004472296,3.0206904,0.018503636,37500,0.7902433574199677,0.16957708,150,40.09791648022831,0.19897199
3775000,122.25796556472778,60714,0.32492492,240.52,0.00021819556,3.009311,0.009018923,37750,0.8485860824584961,0.17037213,151,41.24269491910935,0.11612799
3800000,123.05938339233398,61295,0.37275612,236.88,-0.00044303123,2.9978411,0.007922467,38000,0.7867293208837509,0.1697893,152,40.50806136339903,0.102180004
