fps,value_loss,policy_entropy,total_timesteps,time_elapsed,clipfrac,ep_reward_mean,policy_loss,ep_len_mean,true_reward,serial_timesteps,approxkl,explained_variance,n_updates
57223,0.001561392,1.0220838,2825000,96.3421037197113,0.043012,18.827919206568694,-0.0022003665,250.0,0.07531168,28250,0.004383693,0.9927324480377138,113
58413,0.041320615,1.0127183,2850000,97.14202761650085,0.04896,18.609481733217216,-0.0028876602,247.74,0.07456248,28500,0.0045724977,0.8967391103506088,114
53512,0.0016208652,1.0037174,2875000,97.93491125106812,0.039160002,18.629280376620883,-0.0012322661,250.0,0.074517116,28750,0.0039284825,0.9924337631091475,115
58522,0.032999285,0.9949833,2900000,98.76417684555054,0.06841199,18.845165548016304,-0.0014070502,247.62,0.07547924,29000,0.005792866,0.914504811167717,116
58264,0.0021926344,0.98878574,2925000,99.54859709739685,0.074283995,18.911732044539676,0.0002445028,250.0,0.07564693,29250,0.006153777,0.988524915650487,117
57297,0.004075646,0.9831551,2950000,100.32534098625183,0.075956,18.69440016401204,0.0004055438,250.0,0.0747776,29500,0.006409012,0.9823935702443123,118
57815,0.0019340155,0.97808206,2975000,101.12955904006958,0.088244006,18.806097752603673,0.00087105355,250.0,0.07522439,29750,0.0070413044,0.991474942304194,119
58255,0.0015061346,0.9716269,3000000,101.92508602142334,0.033532,19.05991317442519,-0.0013112968,250.0,0.07623965,30000,0.0037522875,0.9923054105602205,120
57698,0.0023197313,0.9638585,3025000,102.70720338821411,0.044288,18.792116150588992,-0.0021910842,250.0,0.07516846,30250,0.0042549414,0.9888246422633529,121
57124,0.0018595073,0.95502627,3050000,103.50689768791199,0.0671,18.73054622845775,-0.00088635535,250.0,0.07492218,30500,0.0058443327,0.9918156750500202,122
57607,0.0010123855,0.9460044,3075000,104.29790997505188,0.061604004,19.189022988094656,-0.0007421385,250.0,0.0767561,30750,0.0052041234,0.9945203959941864,123
57746,0.022840356,0.93814594,3100000,105.09732508659363,0.095432,18.663946898499127,-0.0020542608,248.4,0.0745712,31000,0.0075026946,0.9342603832483292,124
56532,0.0016623235,0.9325968,3125000,105.89656472206116,0.060880005,18.84212440819181,-0.0012823449,250.0,0.075368494,31250,0.0052108197,0.9926304803229868,125
52056,0.002314207,0.92544234,3150000,106.6990258693695,0.07830399,18.705703524228703,-0.0005840148,250.0,0.07482282,31500,0.0063110394,0.9897675765678287,126
51659,0.024575677,0.91880864,3175000,107.52587938308716,0.11188801,18.623799928124217,-0.0012218554,247.74,0.07463743,31750,0.008210585,0.9346819445490837,127
55742,0.0013942703,0.9132163,3200000,108.35815739631653,0.036496,18.839505360035183,-0.0010279365,250.0,0.07535802,32000,0.0039065485,0.9947505728341639,128
58113,0.0014886959,0.90259933,3225000,109.16994595527649,0.046564,19.071604099892646,-0.0021965923,250.0,0.07628641,32250,0.0044001183,0.9930372750386596,129
57172,0.0010914038,0.8896987,3250000,109.96536612510681,0.069528,19.033607201215784,-0.0005950442,250.0,0.07613443,32500,0.005766141,0.9945313609205186,130
53953,0.0034917209,0.8794222,3275000,110.75336623191833,0.046136,18.84323476772519,-0.00077330496,250.0,0.075372934,32750,0.0043371823,0.9842553697526455,131
57868,0.0016456988,0.87029684,3300000,111.59793210029602,0.06064,19.05724396792295,-0.0011685072,250.0,0.076228976,33000,0.0051991097,0.9913366381078959,132
57888,0.0014622894,0.86093235,3325000,112.37227439880371,0.085964,18.93592131791087,-0.0002530373,250.0,0.07574369,33250,0.0065372637,0.9925157674588263,133
50289,0.0022749659,0.85308933,3350000,113.17336797714233,0.04882,19.125240540026354,-0.0024435879,250.0,0.07650096,33500,0.004358402,0.9877544399350882,134
57392,0.0018815646,0.8451818,3375000,114.03288269042969,0.09019199,18.85468504391669,-0.00041149542,250.0,0.07541874,33750,0.007108588,0.9910989077761769,135
58450,0.0013488341,0.8384107,3400000,114.81005597114563,0.058879994,19.029803923379514,-0.0018125493,250.0,0.076119214,34000,0.0051412964,0.9933300553821027,136
57569,0.0011445987,0.8305851,3425000,115.59846615791321,0.043615997,19.232351313866204,-0.0022777691,250.0,0.076929405,34250,0.004168314,0.9938122443854809,137
58808,0.0013136916,0.8202534,3450000,116.38173460960388,0.041428,18.925465262844227,-0.0026799166,250.0,0.07570186,34500,0.0041366247,0.9938966650515795,138
56770,0.03483229,0.8098791,3475000,117.165860414505,0.09056799,19.032876326974364,-0.0015350666,247.77,0.07626485,34750,0.0070518977,0.9032058641314507,139
48310,0.021339398,0.8034342,3500000,117.96177864074707,0.065308,18.7997724455137,-0.0018973645,248.52,0.07508887,35000,0.0056559653,0.936484694480896,140
