fps,value_loss,policy_entropy,total_timesteps,n_updates,true_reward,clipfrac,serial_timesteps,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed,approxkl,explained_variance
57617,0.16213179,5.098647,2950000,118,-0.035308607,0.104140006,29500,1.2154464024138725,0.0019552398,23.57,105.42910742759705,0.0144811645,0.7886252254247665
59951,0.15482177,5.091651,2975000,119,-0.03544731,0.102432,29750,1.1973469602250861,0.0025075427,23.69,106.29698348045349,0.010657991,0.7832783311605453
59609,0.14528534,5.0835085,3000000,120,-0.036007553,0.12676,30000,1.166561254118933,0.002791325,22.39,107.14005041122437,0.013011977,0.785991758108139
57510,0.14215873,5.0748124,3025000,121,-0.03610825,0.13055201,30250,1.1416230273319525,0.0031430859,23.16,107.98733592033386,0.012428999,0.7936675101518631
58023,0.15293613,5.068795,3050000,122,-0.033871435,0.102452,30500,1.3284163633885329,0.002695687,24.93,108.85329627990723,0.011473885,0.7912828475236893
57971,0.14413519,5.0646996,3075000,123,-0.03408867,0.119724,30750,1.1990436552156825,0.003057987,27.68,109.71205472946167,0.011441754,0.7955145984888077
57922,0.1585962,5.0622034,3100000,124,-0.034381986,0.21405599,31000,1.0921208408217717,0.011037888,25.01,110.57221221923828,0.026501287,0.7886839658021927
50680,0.1522486,5.0598764,3125000,125,-0.034749262,0.27142796,31250,1.235848157647706,0.01836627,25.12,111.41284441947937,0.07173146,0.785533145070076
58098,0.1545212,5.05751,3150000,126,-0.035030004,0.129528,31500,1.1769955038760236,0.005013684,24.82,112.44382286071777,0.01873198,0.7888086587190628
54963,0.14869735,5.054303,3175000,127,-0.034638006,0.13279599,31750,1.2064347307018761,0.0039161583,23.99,113.4243381023407,0.012421142,0.7992343306541443
56728,0.15046585,5.0486994,3200000,128,-0.033056486,0.145992,32000,1.396625468106804,0.005594697,26.91,114.3071596622467,0.06989746,0.7990156412124634
57723,0.15044738,5.0427256,3225000,129,-0.034139518,0.263664,32250,1.3529084142292414,0.014715359,27.59,115.1949200630188,0.035368294,0.8001449853181839
57887,0.15345058,5.0383496,3250000,130,-0.034513123,0.25065202,32500,1.17528454389947,0.013911116,24.45,116.07220363616943,0.032496646,0.7933157980442047
57607,0.14971226,5.0349464,3275000,131,-0.032226417,0.22279999,32750,1.3366338339750654,0.014126083,26.27,116.93697738647461,0.02768911,0.795569896697998
59257,0.14919463,5.0295506,3300000,132,-0.03272738,0.290392,33000,1.1917135977348516,0.019226909,22.75,117.78957176208496,0.038928676,0.8000065833330154
57072,0.16427846,5.024662,3325000,133,-0.033374805,0.089247994,33250,1.2023359762554902,0.0005067177,22.96,118.64903163909912,0.009415176,0.7949866950511932
