serial_timesteps,true_reward,value_loss,ep_reward_mean,explained_variance,approxkl,ep_len_mean,policy_entropy,policy_loss,total_timesteps,time_elapsed,n_updates,fps,clipfrac
29000,-0.02339592,0.14522712,1.7911463438634403,0.9605872258543968,0.0027948648,87.94,5.123616,-0.0021930041,2900000,111.40366005897522,116,54626,0.025184
29250,-0.020680428,0.122798696,1.926654653464454,0.963966928422451,0.0024523376,87.34,5.112893,-0.0017875299,2925000,112.27545881271362,117,53838,0.020492
29500,-0.025714671,0.14285645,1.5513869801093825,0.9593536555767059,0.0032283787,84.82,5.1023426,-0.0019878275,2950000,113.15462398529053,118,56078,0.02818
29750,-0.02469744,0.16395645,1.5303698630856706,0.955060388892889,0.0028283717,79.33,5.098059,-0.0016901393,2975000,114.00936102867126,119,54902,0.022664
30000,-0.021991638,0.1503277,2.0869006225360316,0.9609158895909786,0.002686721,90.54,5.0948725,-0.0019159047,3000000,114.8744649887085,120,54371,0.021728
30250,-0.021235127,0.16442159,1.8239025292379847,0.9540947861969471,0.0031095645,84.9,5.0862722,-0.0020582029,3025000,115.74022316932678,121,53817,0.026712
30500,-0.024012327,0.17818475,1.728619718067166,0.9506782256066799,0.002985993,83.39,5.078713,-0.002162561,3050000,116.6119635105133,122,55120,0.02272
30750,-0.019453658,0.13416624,1.923950509226588,0.9623117074370384,0.0033458988,93.2,5.072214,-0.002183458,3075000,117.47300219535828,123,56792,0.032403998
31000,-0.023983875,0.17510088,1.8393443316639786,0.950826209038496,0.0032826294,88.23,5.0681887,-0.0023186961,3100000,118.3205337524414,124,54394,0.029879998
31250,-0.024767002,0.16549137,1.7639229229217381,0.9520426578819752,0.0032850266,86.63,5.0663238,-0.0017962881,3125000,119.1997082233429,125,55393,0.027628
31500,-0.024057725,0.12666059,1.8715367394404894,0.9650908857584,0.0026657027,82.55,5.0705214,-0.0016951875,3150000,120.06983804702759,126,55417,0.018844
31750,-0.02083478,0.12915573,1.7606524456002808,0.9630066305398941,0.0028709988,82.18,5.068574,-0.0019078581,3175000,120.92067551612854,127,55005,0.023564
32000,-0.023686944,0.14027992,1.8746499310317677,0.9595137685537338,0.002548379,84.05,5.05923,-0.0018689462,3200000,121.78055167198181,128,54792,0.020228
32250,-0.022542678,0.15257828,1.7829679823723836,0.9570384286344051,0.0028569333,87.39,5.048579,-0.0017471099,3225000,122.64812803268433,129,55982,0.024316
32500,-0.022574339,0.14799443,1.6778423515040413,0.9582936428487301,0.0026026694,72.21,5.041966,-0.0016858391,3250000,123.49549698829651,130,56720,0.019399999
32750,-0.020810083,0.12573406,1.8983578171806221,0.9631841443479061,0.0027012774,91.37,5.042335,-0.0019225547,3275000,124.36211657524109,131,55207,0.022135999
