policy_loss,explained_variance,time_elapsed,ep_reward_mean,fps,serial_timesteps,total_timesteps,approxkl,ep_len_mean,value_loss,n_updates,clipfrac,true_reward,policy_entropy
-0.0018566499,0.7722190767526627,265.0537142753601,16.303144664381254,64781,83250,8325000,0.0083869,243.39,0.044322178,333,0.110708,0.06692646,2.9613035
-0.0016138222,0.8031176179647446,265.83943271636963,15.998072325866378,65649,83500,8350000,0.00618995,238.68,0.060507853,334,0.080236,0.06670664,2.957334
-0.001946371,0.781659334897995,266.6068603992462,16.14688069566648,64498,83750,8375000,0.00637014,238.77,0.056846727,335,0.083808,0.06743121,2.9518864
-0.0018773542,0.8790235370397568,267.36651396751404,16.46745503897837,66237,84000,8400000,0.0077013313,245.15,0.023127133,336,0.098912,0.067010544,2.9474485
-0.0023939912,0.730785071849823,268.172399520874,15.615937573274678,67756,84250,8425000,0.007645392,235.51,0.07827586,337,0.098096006,0.06611185,2.9423654
-0.0025614698,0.8098754435777664,268.91264963150024,16.423536682231134,69309,84500,8450000,0.0057758475,242.96,0.035381846,338,0.073776,0.06752729,2.9415889
-0.0009131196,0.8444341868162155,269.6466155052185,16.453898168166635,67725,84750,8475000,0.006967069,243.28,0.032505117,339,0.086824,0.06746819,2.9404836
-0.0018123472,0.9190432727336884,270.425496339798,17.023430518479874,67819,85000,8500000,0.0046365457,249.05,0.01086233,340,0.051776,0.068281546,2.9342782
-0.0017994443,0.7912837117910385,271.1687433719635,16.21259611631438,69973,85250,8525000,0.006506087,241.34,0.036563028,341,0.083472,0.06709093,2.9267452
-0.0024654735,0.7686622589826584,271.91785073280334,16.430705462004116,67586,85500,8550000,0.007546529,242.14,0.046999954,342,0.102132,0.0676514,2.9241886
-0.0016884131,0.8587730675935745,272.6876382827759,16.348550221957268,67996,85750,8575000,0.006875881,245.96,0.021978823,343,0.089908004,0.06647643,2.9245944
-0.0015786272,0.8877501636743546,273.45521688461304,16.626383122538684,68157,86000,8600000,0.0055792322,245.75,0.020849343,344,0.07049599,0.067575105,2.9243484
-0.0017339215,0.8405593484640121,274.2200663089752,16.463440097107377,67759,86250,8625000,0.0057235816,247.03,0.02826283,345,0.07344,0.06644528,2.921596
-0.002440339,0.907719112932682,274.95662236213684,16.274777995121113,65732,86500,8650000,0.005259607,245.66,0.021016318,346,0.061592,0.06610575,2.918082
-0.0020007133,0.8148606717586517,275.70627665519714,16.428803722538287,69786,86750,8675000,0.005786531,245.86,0.03547567,347,0.0736,0.06660326,2.9144368
-0.00087152363,0.77530936896801,276.4584927558899,16.592939696116375,63094,87000,8700000,0.0077528395,245.38,0.038221236,348,0.100112,0.06747973,2.9125602
-0.0015424552,0.8063124716281891,277.27665734291077,16.573465495015697,64771,87250,8725000,0.008223341,245.38,0.031509288,349,0.106811985,0.067515545,2.9138124
-0.002317927,0.864259734749794,278.0558121204376,16.401533491736608,66858,87500,8750000,0.0072567174,245.71,0.023272507,350,0.097556,0.06663391,2.9168274
