serial_timesteps,explained_variance,time_elapsed,policy_loss,clipfrac,value_loss,ep_reward_mean,ep_len_mean,true_reward,policy_entropy,approxkl,total_timesteps,n_updates,fps
12750,0.902108944952488,48.1675078868866,-0.0015163776,0.020812001,0.025793824,0.11754794846954382,54.84,-0.0024723671,5.4821544,0.0027735275,1275000,51,59928
13000,0.922050230205059,49.02959084510803,-0.002025675,0.020863999,0.023546576,0.14976158511376525,57.85,-0.0010690914,5.475383,0.0023215876,1300000,52,58869
13250,0.9217726960778236,49.90243101119995,-0.0017928149,0.022648001,0.021936027,0.09340748147000114,50.84,-0.0012570951,5.4693804,0.0027528347,1325000,53,62216
13500,0.9227371066808701,50.7317476272583,-0.0019295858,0.025851998,0.02137248,0.12068719547398586,56.77,-0.0023252808,5.465109,0.002944707,1350000,54,60933
13750,0.9146029353141785,51.55318903923035,-0.0013185787,0.018016,0.025092214,-0.019857244261935136,54.73,-0.0018638556,5.4595127,0.0022445698,1375000,55,61383
14000,0.9241020381450653,52.37083721160889,-0.0016082138,0.017496001,0.022294598,0.06154191712037658,51.01,-0.0009901363,5.4535522,0.0024314856,1400000,56,60982
14250,0.9229961484670639,53.21223711967468,-0.0015724543,0.016948,0.022955084,0.060307418372946134,51.54,-0.00016750654,5.4450755,0.0024069264,1425000,57,61835
14500,0.924760565161705,54.03465223312378,-0.0014862188,0.015920002,0.025306359,0.12728163518700397,57.64,-0.0014303759,5.4367113,0.0020327219,1450000,58,61958
14750,0.9336709678173065,54.86208248138428,-0.0021863922,0.024464,0.020438334,0.06321090743117792,51.52,-0.0011044352,5.431309,0.0027929135,1475000,59,60786
15000,0.9443971402943134,55.68609166145325,-0.0016393742,0.02416,0.019407675,0.20217240982031853,58.6,0.00069216575,5.427603,0.0028020823,1500000,60,60630
15250,0.9247164353728294,56.522048234939575,-0.0020348746,0.025627997,0.02518479,0.026401281860453308,52.58,-0.0011121521,5.4237914,0.0027688767,1525000,61,60715
15500,0.9259815886616707,57.363245725631714,-0.0023684134,0.023839999,0.026334694,0.1449398646062491,60.69,0.0009671532,5.417611,0.0028796575,1550000,62,62574
15750,0.9160923883318901,58.20075845718384,-0.0017834583,0.032308005,0.027923908,0.18548396417617596,54.38,-0.00057627703,5.4076066,0.0033916153,1575000,63,61630
16000,0.9348508417606354,59.02157545089722,-0.0015480118,0.013364,0.02226017,0.12400191451054525,49.74,-0.00020510795,5.401872,0.0021232748,1600000,64,61886
16250,0.9275566637516022,59.86526417732239,-0.0022740434,0.021628,0.025928354,0.3439943003058073,61.48,0.0016089507,5.3959265,0.0024898658,1625000,65,61551
16500,0.9215014651417732,60.68958520889282,-0.0021263273,0.034512002,0.026338715,-0.0033170697913556067,56.31,0.0019440607,5.3880305,0.0033645045,1650000,66,60726
16750,0.9363637343049049,61.52128195762634,-0.002231494,0.025828,0.023000328,0.24699217377373883,59.55,0.0021720037,5.3770537,0.002997575,1675000,67,60066
17000,0.927571527659893,62.37193465232849,-0.0015217419,0.017072,0.024852676,0.017009689031922334,48.65,0.0009964089,5.3676987,0.0022022561,1700000,68,62512
