fps,true_reward,policy_loss,time_elapsed,n_updates,ep_reward_mean,explained_variance,policy_entropy,total_timesteps,approxkl,clipfrac,value_loss,ep_len_mean,serial_timesteps
61651,0.10018746,-0.0009133692,83.09719347953796,96,3.8192208114266397,0.7923116534948349,5.2014527,2400000,0.006088874,0.0744,0.54618233,26.35,24000
61661,0.10123599,-0.0022376808,83.93131971359253,97,4.2826215624809265,0.7979482412338257,5.1973243,2425000,0.0041535785,0.043935996,0.5386182,29.67,24250
61875,0.101410255,-0.002239789,84.76093125343323,98,4.043334032669663,0.8027292340993881,5.1899953,2450000,0.004488511,0.05018,0.5380932,27.5,24500
61973,0.100810215,-0.0016419506,85.57631325721741,99,3.9535498636215927,0.8067525178194046,5.185135,2475000,0.0058481274,0.07232,0.52577865,27.4,24750
61542,0.10086508,-0.0014747714,86.39941692352295,100,4.382085881903768,0.8098215609788895,5.181324,2500000,0.006420082,0.080116004,0.5111855,29.74,25000
53960,0.101291604,-0.00063850824,87.23070073127747,101,3.9630193384736776,0.8078882694244385,5.178912,2525000,0.007968841,0.10565599,0.5359364,27.09,25250
60999,0.10161555,-0.0019523123,88.11206650733948,102,4.30497176297009,0.803810253739357,5.174657,2550000,0.004955777,0.054772,0.50664866,29.74,25500
62543,0.1016575,0.00052786834,88.94672060012817,103,4.632413181662559,0.8058623522520065,5.1688504,2575000,0.008134333,0.109384,0.5188009,31.59,25750
60714,0.101293966,-0.002541448,89.76090049743652,104,4.031054533347487,0.8036671280860901,5.1628985,2600000,0.003952733,0.03914,0.5355593,27.27,26000
63130,0.10261992,-0.001768023,90.61380338668823,105,4.3965859232842925,0.8017097562551498,5.1568623,2625000,0.005342637,0.063264,0.5537919,30.53,26250
63624,0.103151426,-0.0014258545,91.42770099639893,106,4.600527904331684,0.7938054800033569,5.152745,2650000,0.0060122283,0.074984,0.6112331,31.28,26500
63085,0.10183627,-0.0018621286,92.24546408653259,107,3.8682945772260426,0.8005509078502655,5.150103,2675000,0.0054144002,0.065896,0.5600804,26.27,26750
56195,0.10244464,-0.0023993042,93.140469789505,108,4.575975707396865,0.804742842912674,5.1462955,2700000,0.005569839,0.06491601,0.55078286,31.24,27000
55523,0.10182927,-0.00205545,94.02669095993042,109,3.82526999682188,0.8059206902980804,5.143566,2725000,0.0065348474,0.083887994,0.5618789,26.23,27250
61528,0.103277765,-0.0019070659,94.93480825424194,110,4.282474203258753,0.8071746081113815,5.1414523,2750000,0.0064137196,0.072408,0.5659092,29.43,27500
57094,0.1023169,-0.0030739123,95.78298544883728,111,4.162363434657454,0.8066729605197906,5.1375413,2775000,0.0043265624,0.045812,0.54267555,28.39,27750
61582,0.10284581,-0.0028366575,96.64295887947083,112,4.500958522111177,0.7982889711856842,5.1312914,2800000,0.005772326,0.066716,0.54214513,30.87,28000
62278,0.10317542,-0.0021913282,97.47715020179749,113,4.583623527809977,0.8057041317224503,5.1259165,2825000,0.004196027,0.043724,0.5495455,31.46,28250
63510,0.102923855,-0.0019268533,98.30392408370972,114,4.198331720307469,0.8011250346899033,5.120145,2850000,0.0055166115,0.063535996,0.55913556,28.89,28500
62744,0.10428792,-0.0022209533,99.11619472503662,115,4.812972702607513,0.8151002675294876,5.1163645,2875000,0.0039246464,0.038012,0.5609369,32.55,28750
61570,0.104060836,-0.0019343296,99.92963671684265,116,4.743267684355378,0.8141968548297882,5.111495,2900000,0.003501255,0.033184,0.5291227,32.41,29000
61389,0.10324982,-0.0020068963,100.75323414802551,117,3.971695192977786,0.8017076998949051,5.10765,2925000,0.0054108426,0.063691996,0.57145894,27.28,29250
61841,0.10479167,-0.0013473816,101.59295678138733,118,4.633002673238516,0.8071919530630112,5.103921,2950000,0.00410767,0.042416003,0.5506607,31.66,29500
62849,0.10438347,-0.0029054694,102.41830801963806,119,4.46413951382041,0.804950162768364,5.0993676,2975000,0.00492559,0.053784,0.54463613,30.54,29750
61237,0.10505577,-0.00027797458,103.23438501358032,120,4.615948203802109,0.7996425032615662,5.0927873,3000000,0.006226231,0.078916,0.5785717,32.08,30000
59764,0.10579672,-0.0021930516,104.0611252784729,121,4.456834772750735,0.8082279562950134,5.088895,3025000,0.005917671,0.073228,0.5658103,30.21,30250
61170,0.10462448,-0.0016494889,104.89489769935608,122,4.108184021115303,0.8034538477659225,5.086376,3050000,0.0046390677,0.050724,0.5500474,28.13,30500
62023,0.10498908,-0.0020428118,105.73370242118835,123,4.175732704848051,0.805720716714859,5.08197,3075000,0.004831058,0.055044003,0.55636406,28.34,30750
61493,0.105060875,-0.0018994643,106.55218315124512,124,4.758140060678125,0.8130259811878204,5.076162,3100000,0.006551194,0.083092,0.52022535,32.63,31000
60699,0.10605516,-0.002118467,107.3757700920105,125,5.0777185633033515,0.8149782866239548,5.070144,3125000,0.0050859316,0.059344,0.5452731,34.4,31250
62562,0.105483405,-0.002382612,108.20613622665405,126,4.311426975131035,0.8035748302936554,5.06367,3150000,0.0051720976,0.062404,0.5824381,29.32,31500
61878,0.10642343,-0.002814788,109.02298021316528,127,4.824589022472501,0.8056558221578598,5.055949,3175000,0.004508206,0.044703998,0.58541155,33.08,31750
62424,0.106335446,-0.0021578714,109.8470299243927,128,4.4745815283060075,0.8097145110368729,5.046916,3200000,0.0059607294,0.074936,0.5663859,30.56,32000
62188,0.10600527,-0.0026905877,110.64429497718811,129,4.592926358357072,0.808624267578125,5.040414,3225000,0.004432292,0.0458,0.55498683,31.48,32250
58618,0.10633672,-0.0014252396,111.50243043899536,130,4.921459131538868,0.7975960224866867,5.0362716,3250000,0.0072165006,0.095084,0.61126834,33.43,32500
60533,0.107276924,-0.0030242605,112.34748411178589,131,4.352501681372523,0.8056564778089523,5.0330324,3275000,0.0047499994,0.053444006,0.5971843,29.57,32750
61067,0.108123474,-0.0037963458,113.16971278190613,132,4.914460906907916,0.7889013290405273,5.029435,3300000,0.004715564,0.049756,0.65436494,33.29,33000
62697,0.10869743,-0.00284497,113.99660563468933,133,4.917699743434786,0.8032989948987961,5.0222654,3325000,0.0055920347,0.066664,0.618101,33.25,33250
62082,0.108989984,-0.0012204701,114.81138801574707,134,4.782981872707605,0.7749328464269638,5.017184,3350000,0.0058116424,0.0715,0.7235604,32.07,33500
61362,0.10857454,-0.0023053014,115.65467667579651,135,4.667024556547403,0.7845177352428436,5.014348,3375000,0.0051456965,0.059132,0.64479566,31.86,33750
60829,0.10993231,-0.001986676,116.49355220794678,136,4.620162104070187,0.7967176735401154,5.011075,3400000,0.0035125264,0.03348,0.64541686,31.0,34000
61169,0.10883378,-0.0027058995,117.32088732719421,137,4.84669172860682,0.7921909391880035,5.008515,3425000,0.0064006397,0.082132004,0.65517277,32.62,34250
61009,0.10907931,-0.0036127544,118.15080213546753,138,4.876685068905354,0.7869687229394913,5.00372,3450000,0.0047132336,0.051179998,0.6823289,32.38,34500
62982,0.10994736,-0.0024447967,118.98242354393005,139,5.268450717628002,0.793424978852272,4.993795,3475000,0.005199375,0.059836008,0.62210244,35.93,34750
60474,0.11021887,-0.0019270057,119.80070614814758,140,4.977596817761659,0.793946698307991,4.980958,3500000,0.0053133694,0.062316,0.6543091,33.57,35000
63218,0.11154982,-0.0020466575,120.63372945785522,141,4.856184105500579,0.8001238405704498,4.9720902,3525000,0.0050808145,0.06043599,0.6615957,32.14,35250
61073,0.11108708,-0.002011959,121.45589327812195,142,4.7822884941846135,0.794866606593132,4.966577,3550000,0.005487643,0.064428,0.678956,32.4,35500
61292,0.11070693,-0.0012818638,122.2886061668396,143,4.897363368794322,0.7982892543077469,4.962428,3575000,0.0048183673,0.055276,0.66769814,32.97,35750
61862,0.11105625,-0.002157794,123.11838960647583,144,4.894056378081441,0.7959676384925842,4.9572725,3600000,0.0061702235,0.078452006,0.63562846,33.06,36000
