policy_entropy,clipfrac,serial_timesteps,policy_loss,n_updates,time_elapsed,fps,true_reward,total_timesteps,explained_variance,approxkl,value_loss,ep_reward_mean,ep_len_mean
5.159282,0.022104,27500,-0.0021089497,110,102.56546115875244,46476,0.026147148,2750000,0.946848601102829,0.002820345,0.032326423,2.0025471021939807,73.23
5.1527405,0.022343999,27750,-0.0021225691,111,103.55072569847107,42809,0.026752317,2775000,0.9450422748923302,0.0026960964,0.030540895,2.031776406908248,80.69
5.148656,0.030271998,28000,-0.0019526376,112,104.65216088294983,32516,0.028015189,2800000,0.9464350491762161,0.0031453513,0.029668506,2.085021420647754,76.17
5.144602,0.021828,28250,-0.0017312927,113,105.9006998538971,37061,0.02741621,2825000,0.9360306337475777,0.0026349109,0.033794314,2.078022611263987,77.95
5.1406565,0.026767999,28500,-0.0022438422,114,107.20295214653015,35389,0.027756892,2850000,0.9519507698714733,0.0029699437,0.02471025,1.9802984506688608,80.57
5.135252,0.028328001,28750,-0.0023347011,115,108.49159860610962,34437,0.029502442,2875000,0.9489391595125198,0.0030639274,0.02882571,1.9688964143196699,74.02
5.1287656,0.036191996,29000,-0.0021443216,116,109.78370118141174,40390,0.029298758,2900000,0.9464205577969551,0.0036513712,0.03255146,2.143927421248354,81.72
5.1239314,0.026176,29250,-0.0019940718,117,110.88284802436829,48098,0.028879568,2925000,0.952981386333704,0.0030904356,0.02936986,1.9907631931317338,75.46
5.1164193,0.026528,29500,-0.0019647176,118,111.98064804077148,46017,0.026767554,2950000,0.9509648196399212,0.0030671547,0.0315243,1.9479103487096108,77.92
5.1108527,0.020319998,29750,-0.0021247314,119,113.05252981185913,52395,0.028682029,2975000,0.9508078210055828,0.0024733818,0.0301426,1.9232879685392572,74.66
5.1048293,0.028856,30000,-0.0019096211,120,113.99304795265198,52879,0.028215071,3000000,0.9607576690614223,0.003178557,0.02580667,1.8798748718196294,71.79
5.0954123,0.029284,30250,-0.0020374057,121,114.91457486152649,52479,0.02835034,3025000,0.9522990994155407,0.003072003,0.027821284,2.1081174204732678,83.14
5.08818,0.030651998,30500,-0.002209064,122,115.84547638893127,52555,0.028642949,3050000,0.9621452875435352,0.003408976,0.023975056,2.0590174321491985,80.91
5.0839624,0.028128002,30750,-0.0017974472,123,116.7654459476471,55049,0.029637521,3075000,0.951927088201046,0.003132806,0.028902084,1.7568412752113909,71.32
5.083683,0.024267998,31000,-0.0018071098,124,117.71319842338562,54580,0.02961544,3100000,0.956430222839117,0.002956987,0.024832405,2.1364169768645116,76.8
5.078542,0.034408,31250,-0.002527473,125,118.61321830749512,54672,0.026230874,3125000,0.9625569954514503,0.0036454587,0.022276625,1.9579581201670453,77.84
5.070384,0.030436,31500,-0.0017878392,126,119.52509498596191,51176,0.028467251,3150000,0.9680966287851334,0.0033557855,0.020173447,2.2226878436332846,79.24
5.0640845,0.027072001,31750,-0.0015168419,127,120.45389533042908,52346,0.028033145,3175000,0.9663677178323269,0.0032351066,0.020257577,2.215915948791444,83.27
5.051271,0.029524002,32000,-0.002312168,128,121.45437717437744,46803,0.02738663,3200000,0.9503865912556648,0.0031571253,0.030487588,2.2816683728474616,85.52
5.0406995,0.028776,32250,-0.0022189356,129,122.43789100646973,41823,0.02914288,3225000,0.9439909271895885,0.003252156,0.029897386,1.8681501763942652,73.28
5.0319495,0.029695999,32500,-0.0020926422,130,123.47223234176636,38786,0.029702252,3250000,0.9663860760629177,0.0032985043,0.02033198,2.289614019253286,85.27
5.0241504,0.022156,32750,-0.0018138516,131,124.5723648071289,37014,0.02893922,3275000,0.9537395760416985,0.0026638901,0.027126402,2.192098323631599,83.78
5.015991,0.025448,33000,-0.0024972071,132,125.76206183433533,52136,0.029697526,3300000,0.9602894261479378,0.0030157496,0.024492607,2.25021218975573,82.07
