value_loss,ep_reward_mean,true_reward,clipfrac,total_timesteps,time_elapsed,policy_loss,ep_len_mean,serial_timesteps,policy_entropy,approxkl,explained_variance,n_updates,fps
1.3059672,38.773991270661355,0.17166354,0.115556,11800000,428.85505270957947,0.002004161,208.3,118000,4.149058,0.01202735,0.9195248633623123,472,51680
1.4131423,36.84515078815781,0.16900942,0.058051996,11825000,429.70826148986816,-0.0023256529,199.69,118250,4.14509,0.0053235604,0.9194283336400986,473,54394
1.4892738,36.75148743674159,0.17267254,0.054835998,11850000,430.5534436702728,-0.002719971,196.27,118500,4.141041,0.0052921646,0.907509446144104,474,52622
1.5679756,35.34445393640548,0.17005682,0.12654799,11875000,431.41027784347534,0.00140108,189.7,118750,4.136077,0.013638509,0.9104274362325668,475,52653
1.8205082,35.60855674266815,0.1692191,0.041052,11900000,432.26218819618225,-0.0013361583,188.84,119000,4.130946,0.004826952,0.9070814326405525,476,52832
1.2850507,36.246557598263024,0.17109253,0.055436004,11925000,433.1135094165802,-0.0020752703,193.49,119250,4.1272006,0.0064264936,0.9239824861288071,477,53399
1.5003284,36.85775568775833,0.17207472,0.091204,11950000,433.9779634475708,-0.0018440979,197.35,119500,4.122777,0.008682569,0.9107548221945763,478,52769
1.675305,34.116106761768464,0.16709746,0.037299998,11975000,434.8191092014313,-0.002473481,181.73,119750,4.1157737,0.0043177134,0.9157871305942535,479,53224
1.4420035,34.81629321537912,0.16739233,0.111527994,12000000,435.67409324645996,0.0007480729,186.24,120000,4.110856,0.010190481,0.9246161058545113,480,52203
1.6455193,36.34142924979329,0.16991344,0.106392,12025000,436.54374384880066,0.00088201725,194.85,120250,4.107322,0.009835784,0.9081332385540009,481,53666
1.5411357,36.59075782424072,0.1708855,0.174088,12050000,437.39233803749084,0.0029563124,195.48,120500,4.103929,0.017172042,0.9096855521202087,482,52956
1.7480233,35.75813082382083,0.17258172,0.188864,12075000,438.24864625930786,0.0057209022,189.75,120750,4.101165,0.019742373,0.8941454067826271,483,52572
1.7852952,34.663206333965064,0.17094399,0.041084,12100000,439.1074552536011,-0.001664478,184.58,121000,4.099013,0.0042798794,0.8969215899705887,484,53250
1.5249736,36.40048093944788,0.17140245,0.095068,12125000,439.9579064846039,-0.00020785685,192.6,121250,4.096936,0.009471021,0.9187797829508781,485,51579
1.6275558,36.379463822767136,0.17146285,0.168032,12150000,440.8338191509247,0.0030851997,193.53,121500,4.094983,0.029081792,0.9067628383636475,486,52702
1.822107,35.523621033877134,0.17040391,0.046132002,12175000,441.69373893737793,-0.002187537,188.48,121750,4.0928497,0.0061089857,0.8992908522486687,487,45880
1.4984627,37.67454753927886,0.17204307,0.22128001,12200000,442.6198558807373,0.003604291,200.52,122000,4.088857,0.024816584,0.9128324314951897,488,42128
1.4911586,36.85558396846056,0.17156906,0.106368005,12225000,443.58120918273926,0.0007334223,194.5,122250,4.084667,0.010150152,0.9166616350412369,489,52537
1.3547474,38.14064798000501,0.17415561,0.071556,12250000,444.4487953186035,-0.0012644375,202.58,122500,4.080821,0.008125303,0.9104088097810745,490,53264
1.5167842,38.571392788365486,0.17162873,0.061496,12275000,445.31400775909424,-0.0015279755,205.96,122750,4.075164,0.006738213,0.9049597457051277,491,53483
1.637241,36.77272910766303,0.17223513,0.084512,12300000,446.1589798927307,-0.0017493196,196.13,123000,4.0675783,0.00807173,0.9006444439291954,492,54207
1.7685932,35.574448000453415,0.17006923,0.06897201,12325000,446.9971914291382,-0.0028082517,188.47,123250,4.0601416,0.009297585,0.9062869772315025,493,52396
1.3678777,37.820002064257864,0.17165583,0.030888002,12350000,447.8676302433014,-0.0021057967,201.15,123500,4.052494,0.0034829788,0.9245262667536736,494,52364
1.4586685,37.626960799470545,0.17165273,0.06674,12375000,448.73596930503845,-0.0013129483,200.32,123750,4.0464864,0.0061725257,0.9122321978211403,495,53109
1.3893874,35.66767718687654,0.1719217,0.14874001,12400000,449.5911180973053,0.0009767596,190.0,124000,4.040569,0.014051842,0.9196462258696556,496,52276
1.4507928,39.71056940533221,0.17531686,0.18475601,12425000,450.45423412323,0.0023689654,210.79,124250,4.034054,0.015765473,0.9019106924533844,497,48383
1.4921652,36.85714024282992,0.17096509,0.063039996,12450000,451.35399556159973,-0.0017398581,195.55,124500,4.0298104,0.0057483106,0.9194776639342308,498,52054
1.3943176,38.735138873457906,0.17518242,0.050647996,12475000,452.2199206352234,-0.0018678516,205.49,124750,4.024765,0.0048110727,0.9078472927212715,499,53493
1.2757823,38.25045802284032,0.17360921,0.066532,12500000,453.0668914318085,-0.00082070415,202.67,125000,4.0200043,0.0064381724,0.9216551333665848,500,54239
1.3350194,40.01559998050332,0.17544894,0.117136,12525000,453.91072154045105,-0.00027969448,212.01,125250,4.015938,0.010105836,0.9123919829726219,501,54036
1.5549152,37.003218930140136,0.17406133,0.200108,12550000,454.75778317451477,0.0048754476,195.06,125500,4.010787,0.022306073,0.9096670672297478,502,46073
1.3841504,38.95203230150044,0.17468458,0.13480002,12575000,455.6873252391815,0.0006776587,206.0,125750,4.006366,0.011521692,0.9113957434892654,503,52103
1.3645736,38.65034862227738,0.17509955,0.080488004,12600000,456.54544734954834,-0.0018980898,203.61,126000,4.0019417,0.0064772265,0.9190212339162827,504,51696
1.6441033,34.971228749677536,0.16957867,0.13282798,12625000,457.3984706401825,0.0032159165,185.76,126250,3.9960835,0.012037681,0.9157406091690063,505,51941
1.6458791,37.87744452878833,0.17372236,0.127348,12650000,458.26619601249695,0.001960133,200.5,126500,3.9920564,0.012331231,0.903797946870327,506,52841
1.3540566,38.90097530528903,0.17552142,0.10321601,12675000,459.12494254112244,-0.0019875993,205.52,126750,3.9878774,0.008900578,0.9154440090060234,507,53367
1.3655856,39.18509848151356,0.17444232,0.12016799,12700000,459.97657537460327,-0.00063925964,207.15,127000,3.982994,0.010894607,0.9192087724804878,508,53488
1.4034861,38.415447589606046,0.17548656,0.135004,12725000,460.8172438144684,-0.00014422453,202.9,127250,3.9789817,0.01103718,0.9094933271408081,509,52123
1.4824747,38.501691420823335,0.17536502,0.077748,12750000,461.67615246772766,-0.00034580223,203.46,127500,3.9757507,0.0067259083,0.9058741182088852,510,54079
1.3770332,39.830414006114005,0.17764084,0.10724001,12775000,462.5216405391693,-0.0011509365,210.99,127750,3.9701972,0.00916907,0.9011105298995972,511,51891
1.4815093,36.793767844885586,0.17451154,0.040303998,12800000,463.3719689846039,-0.001624039,193.91,128000,3.9627876,0.0042352937,0.9109373390674591,512,51224
1.6296791,37.056140629202126,0.17337899,0.043340005,12825000,464.2365460395813,-0.002024216,195.14,128250,3.958395,0.0042683603,0.9097687155008316,513,51657
1.476443,37.67103383429348,0.17332163,0.086459994,12850000,465.08511662483215,-0.0013221413,200.29,128500,3.9556546,0.0077763544,0.9122642055153847,514,54422
1.823342,34.320823402255776,0.17154376,0.064152,12875000,465.92687463760376,-0.00023454629,181.1,128750,3.9526706,0.006501456,0.9049609750509262,515,53953
1.5711844,36.65069791100919,0.17603907,0.075679995,12900000,466.78015303611755,-0.00041659462,193.3,129000,3.949428,0.0062306924,0.8996347486972809,516,53836
1.471245,38.65161044158042,0.17491801,0.111088,12925000,467.6119909286499,-0.001625111,204.56,129250,3.945943,0.0090626385,0.9086936563253403,517,51707
1.3999133,39.25589471161366,0.17517541,0.26492,12950000,468.46917176246643,0.008697722,207.42,129500,3.9407754,0.02837677,0.9112071022391319,518,52820
1.4502438,38.24117898114026,0.17418993,0.204796,12975000,469.32542085647583,0.002774024,201.88,129750,3.9364674,0.01747133,0.9127691015601158,519,53838
1.4254023,37.07405329439327,0.17428963,0.223036,13000000,470.17415261268616,0.0031046527,196.83,130000,3.932228,0.020328697,0.9108900055289268,520,51708
1.3891734,39.402232189849016,0.17567037,0.249808,13025000,471.0290701389313,0.0058846893,208.05,130250,3.9276912,0.023264503,0.912641629576683,521,51820
1.7778461,37.59958926409483,0.17486778,0.10035999,13050000,471.90097761154175,0.0002618608,199.24,130500,3.9231708,0.007848294,0.8832632973790169,522,52432
1.2073485,40.654690671563145,0.17996131,0.190508,13075000,472.7599356174469,0.0040173894,214.58,130750,3.91974,0.016659142,0.8907206729054451,523,48546
1.3716104,36.35458557598293,0.17416227,0.070264004,13100000,473.6475512981415,-0.0012625796,192.91,131000,3.9158359,0.0061565666,0.912725418806076,524,53767
1.6388642,37.80506390161813,0.17546616,0.193692,13125000,474.49189591407776,0.003936994,200.14,131250,3.9109554,0.016221484,0.8919018879532814,525,38533
1.3494153,38.95217008128762,0.17594858,0.158444,13150000,475.520222902298,0.0019628257,205.92,131500,3.907334,0.014056352,0.9075946435332298,526,53046
1.6782649,38.841827461123465,0.1751542,0.07892801,13175000,476.36975026130676,-0.0017253493,204.64,131750,3.9041047,0.0064914287,0.8933888450264931,527,52693
1.6765978,37.67783540237695,0.17259304,0.059512,13200000,477.2195255756378,-0.0022562663,199.75,132000,3.902074,0.005423769,0.9016073420643806,528,51440
1.4611536,39.13865980485454,0.17639737,0.229732,13225000,478.0909917354584,0.0043772203,206.17,132250,3.8988185,0.024368959,0.9008984789252281,529,52639
1.4756677,37.13159264087677,0.17608404,0.14827201,13250000,478.9434995651245,0.001306175,195.3,132500,3.8936887,0.015292746,0.9021958485245705,530,52435
1.9598469,34.840748542547225,0.17426167,0.076156005,13275000,479.81079840660095,-0.0009505732,183.19,132750,3.8888497,0.0064344527,0.8829137235879898,531,52353
2.1357086,34.27951427500695,0.17390881,0.034388,13300000,480.6799669265747,-0.00030810875,180.06,133000,3.885384,0.0035154659,0.8757495880126953,532,53129
2.3096066,33.034799925386906,0.17200467,0.26114804,13325000,481.5367548465729,0.010453825,173.94,133250,3.883419,0.03211263,0.8681973218917847,533,51611
3.4764576,25.24347365602851,0.17037949,0.15468,13350000,482.40410590171814,0.005939185,132.7,133500,3.8828712,0.0131585095,0.8081700503826141,534,52492
3.4707942,25.122239016592502,0.17122456,0.090784,13375000,483.253440618515,0.0018134922,131.57,133750,3.8824475,0.0077369274,0.805816724896431,535,53093
3.027984,24.75424100726843,0.16727707,0.203192,13400000,484.09520268440247,0.009381158,130.19,134000,3.882136,0.02721786,0.840801551938057,536,51536
3.0862293,28.42960073068738,0.17461511,0.156444,13425000,484.96154856681824,0.0044801407,149.39,134250,3.8817945,0.011893849,0.7790041267871857,537,52814
2.5673108,30.277692387998105,0.17319548,0.23217201,13450000,485.8003489971161,0.011389265,158.95,134500,3.8811932,0.025252085,0.8314440101385117,538,52136
4.1768355,19.366915204524993,0.1674104,0.09106,13475000,486.6599133014679,0.0013559945,101.84,134750,3.8800454,0.0073787556,0.763117104768753,539,53275
3.7400424,20.684689486324785,0.16942117,0.061424,13500000,487.51606011390686,0.0006007018,108.23,135000,3.8789592,0.0052279374,0.7790982723236084,540,52936
3.6678054,20.147697381675243,0.16813421,0.06292,13525000,488.3668828010559,-0.00014472073,105.88,135250,3.877805,0.0053661084,0.7776563614606857,541,52407
3.356294,23.42273361235857,0.17045379,0.07876,13550000,489.2288599014282,0.00092095387,123.11,135500,3.876371,0.0065415055,0.7891026139259338,542,53421
2.6707082,26.958558947890996,0.17183533,0.085068,13575000,490.07672595977783,-3.545992e-05,141.26,135750,3.875198,0.007088096,0.824306532740593,543,44245
3.061848,24.195171975046396,0.17183158,0.056456,13600000,491.0118410587311,-0.0023460877,127.11,136000,3.8740604,0.004924081,0.7864640802145004,544,53003
2.6575077,27.49985626116395,0.173052,0.057704,13625000,491.8818869590759,-0.0015805895,144.23,136250,3.8727124,0.0049070604,0.8121925741434097,545,54070
