time_elapsed,ep_reward_mean,fps,policy_loss,clipfrac,serial_timesteps,total_timesteps,ep_len_mean,true_reward,n_updates,value_loss,policy_entropy,approxkl,explained_variance
44.936612367630005,1.4377554500102996,46630,0.038331438,0.37556,11500,1150000,7.35,0.10267629,46,0.59020925,5.4548974,0.07806018,0.7757433354854584
45.87705659866333,1.6018220907449723,45397,0.05437864,0.44763198,11750,1175000,8.19,0.10908187,47,0.5566031,5.4492345,0.1318674,0.770410567522049
46.86793899536133,1.884748792797327,42609,0.025310913,0.33364803,12000,1200000,9.64,0.12787737,48,0.6654704,5.4454985,0.055931903,0.7533984035253525
47.888099908828735,2.244638665020466,50808,0.08946666,0.569928,12250,1225000,11.48,0.14091422,49,0.717453,5.441105,0.3387504,0.7412821650505066
48.74345588684082,1.8878571923077105,48716,0.036653075,0.42832,12500,1250000,9.65,0.12738043,50,0.65244985,5.4365644,0.088944085,0.7785198539495468
49.64678478240967,2.4131698817014695,46211,0.039017,0.46658397,12750,1275000,12.33,0.14348191,51,0.7455138,5.4311843,0.10518847,0.7471736371517181
50.5769317150116,2.627821731120348,48071,0.016790004,0.347224,13000,1300000,13.44,0.1391996,52,0.6128581,5.4260693,0.040426057,0.7758681625127792
51.48612189292908,3.0975724755227567,45613,0.025565365,0.44523597,13250,1325000,15.84,0.15660061,53,0.712681,5.421,0.06926216,0.7498928010463715
52.5653178691864,2.6782724659144876,46652,0.0120161185,0.290368,13500,1350000,13.69,0.15233308,54,0.6934142,5.416152,0.03327187,0.7560986578464508
53.51330876350403,3.2441419665515423,49028,0.041813113,0.514836,13750,1375000,16.59,0.16051316,55,0.75091887,5.409347,0.118511096,0.7454645037651062
54.43288254737854,3.0324355494976043,51185,0.01592495,0.338844,14000,1400000,15.51,0.15920912,56,0.6583463,5.401966,0.051534425,0.765044555068016
55.299726247787476,2.9284525027871133,47958,0.026692301,0.454112,14250,1425000,14.98,0.157964,57,0.68958867,5.3951,0.07735618,0.7658797800540924
56.21653151512146,2.7593576915562155,47747,0.014537948,0.37567598,14500,1450000,14.11,0.16284266,58,0.6436059,5.389257,0.04260085,0.76137575507164
57.13996338844299,3.0370955668389796,51932,-0.00032869156,0.087468006,14750,1475000,15.53,0.1663171,59,0.62862873,5.3842306,0.0063169003,0.7696527242660522
58.02885150909424,3.395067199021578,50850,0.021468977,0.39006,15000,1500000,17.36,0.16810401,60,0.6066639,5.3789377,0.06936446,0.7748461067676544
58.95836687088013,3.5731207287311553,49741,0.046079673,0.55929196,15250,1525000,18.28,0.17293623,61,0.6006111,5.374379,0.18058269,0.7586952894926071
59.85182309150696,3.297271425276995,50209,0.03901367,0.507712,15500,1550000,16.86,0.179263,62,0.6053583,5.371854,0.14599788,0.7499562799930573
60.80814599990845,3.755262119024992,43520,0.040024452,0.583716,15750,1575000,19.2,0.17391655,63,0.5778587,5.3693438,0.1524664,0.7724506705999374
61.7759485244751,3.6941249680519106,45044,0.041449733,0.58931196,16000,1600000,18.89,0.1814224,64,0.58595645,5.3664165,0.15092933,0.7533140927553177
62.799004793167114,3.1542579220235347,50461,0.023394769,0.456108,16250,1625000,16.13,0.16802149,65,0.5741561,5.3643107,0.07373522,0.7993214279413223
63.677156925201416,3.525720199048519,52439,0.013594774,0.38438,16500,1650000,18.03,0.18257688,66,0.5944468,5.36294,0.03905769,0.7502527385950089
64.53291535377502,3.62934470936656,50462,0.0016420877,0.162824,16750,1675000,18.56,0.18039533,67,0.61715543,5.3605304,0.012183013,0.7641569823026657
65.41148352622986,3.831669071018696,52161,0.02248709,0.48375598,17000,1700000,19.6,0.18056558,68,0.53207016,5.354043,0.07978637,0.7790253907442093
66.24859809875488,3.4690289206802847,41861,0.035230517,0.545624,17250,1725000,17.74,0.17890944,69,0.54028904,5.3480525,0.14187649,0.7789074927568436
67.23892712593079,3.603985707759857,51288,0.030182395,0.513028,17500,1750000,18.43,0.17811725,70,0.53078324,5.346401,0.09559338,0.7921410799026489
68.09184956550598,3.7467868699133398,51428,0.012740468,0.36932796,17750,1775000,19.16,0.18387523,71,0.5686026,5.345658,0.03844497,0.7745939791202545
68.95121788978577,4.022680638730526,52536,0.04133008,0.574472,18000,1800000,20.57,0.18787946,72,0.50814927,5.3445573,0.16325392,0.7739734202623367
69.79980659484863,3.8168762417137625,53317,0.048768394,0.60118806,18250,1825000,19.52,0.18978101,73,0.55341136,5.343261,0.22450086,0.7683839201927185
