true_reward,value_loss,approxkl,policy_loss,ep_reward_mean,total_timesteps,policy_entropy,serial_timesteps,time_elapsed,explained_variance,clipfrac,ep_len_mean,fps,n_updates
0.0023292014,0.047770333,0.0033976207,-0.0020291607,2.318812494538306,2050000,4.864408,20500,72.96385622024536,0.9673953577876091,0.032784,89.94,61350,82
0.00089958427,0.05178979,0.0030895325,-0.0021144308,2.1391731712708593,2075000,4.8514147,20750,73.78266787528992,0.9668709486722946,0.028892001,81.74,59318,83
0.0012192298,0.046721995,0.003087587,-0.0023144856,2.4063522508434563,2100000,4.840892,21000,74.62063241004944,0.9682277292013168,0.031556003,91.57,59208,84
0.0010893872,0.057784986,0.002568957,-0.0018245734,2.1043616128384475,2125000,4.831331,21250,75.46787619590759,0.9643239639699459,0.02054,77.91,58681,85
0.0016770975,0.054688253,0.003240259,-0.0024124072,2.0759534353786795,2150000,4.819988,21500,76.30597162246704,0.9691123962402344,0.031108001,74.42,60811,86
0.00048348395,0.06169913,0.0021096834,-0.0017697371,2.1858877851125045,2175000,4.806184,21750,77.13651275634766,0.9621472470462322,0.013483999,82.79,61105,87
0.001104465,0.05294358,0.0029278775,-0.0022585173,2.0161878611556086,2200000,4.790084,22000,77.94825053215027,0.9691871479153633,0.0264,83.6,60094,88
0.0027887993,0.049806632,0.0030687223,-0.0016550015,2.091470972328493,2225000,4.77432,22250,78.77792716026306,0.9678539037704468,0.025875997,84.45,60744,89
0.00292647,0.05044086,0.002983831,-0.002344029,2.0330527895746218,2250000,4.760593,22500,79.60427284240723,0.9692766256630421,0.029099997,84.86,59566,90
0.0018936578,0.045833103,0.0026864507,-0.0018429316,2.3879550838565637,2275000,4.748839,22750,80.44131875038147,0.9743458274751902,0.02206,83.07,61781,91
0.0037660154,0.042001437,0.003710277,-0.0023468216,2.409879349464777,2300000,4.7383356,23000,81.25094747543335,0.9719365574419498,0.036436,90.97,59391,92
0.0018201695,0.046489537,0.003310124,-0.002293234,2.113251462954504,2325000,4.7249813,23250,82.08605289459229,0.9716992396861315,0.030255998,80.39,59287,93
0.0020355799,0.054039884,0.002577535,-0.002088207,2.17121287442083,2350000,4.711253,23500,82.90870189666748,0.9672234319150448,0.01898,85.18,61031,94
0.0044394215,0.040789027,0.0030616384,-0.002164571,2.3507368391417116,2375000,4.69752,23750,83.72232055664062,0.9740593302994967,0.027848,89.59,61259,95
0.0029951718,0.036555473,0.003586638,-0.002585619,1.8905244021968064,2400000,4.6842504,24000,84.53747534751892,0.9789170548319817,0.036148,74.07,60716,96
0.0053919605,0.03249283,0.0040028887,-0.0027374164,2.0524829643588736,2425000,4.6699834,24250,85.36870002746582,0.9803570359945297,0.042172004,82.05,60816,97
0.007666221,0.039799325,0.002669882,-0.0023456845,2.643838479291426,2450000,4.656539,24500,86.18382358551025,0.9774267319589853,0.020552,85.4,61605,98
0.0044541974,0.0404899,0.0027283637,-0.0023275956,2.3556204019135887,2475000,4.6410513,24750,86.99106645584106,0.9776078872382641,0.024248,80.66,57855,99
0.004527973,0.0352695,0.0039072684,-0.0026322515,2.1607440214714186,2500000,4.6256933,25000,87.83608269691467,0.9772872757166624,0.039548002,84.26,58520,100
0.0065342234,0.041020345,0.003402552,-0.002261532,2.596693631226108,2525000,4.612131,25250,88.68062925338745,0.9763476010411978,0.029868001,85.44,57773,101
0.004904133,0.055326957,0.0036231682,-0.0021806813,2.452449384823176,2550000,4.5991263,25500,89.59929203987122,0.9705798532813787,0.035292,77.98,56035,102
0.005281715,0.039718214,0.0038212903,-0.002562636,2.6443652444104737,2575000,4.589311,25750,90.46565008163452,0.9783013127744198,0.036424,88.82,59060,103
0.006144951,0.04763571,0.0033851056,-0.0021438743,2.5424208728615305,2600000,4.5781584,26000,91.30427360534668,0.9723141323775053,0.033156,88.98,60574,104
0.0068940083,0.045296155,0.0033813878,-0.0022424015,2.6042853343810894,2625000,4.5648475,26250,92.11458849906921,0.9751264248043299,0.029228002,87.77,60590,105
0.0068237092,0.0427358,0.0034386707,-0.0020154763,2.809499945144089,2650000,4.5499396,26500,92.93212103843689,0.9764478765428066,0.031548,89.71,62003,106
0.008822268,0.04354576,0.004069145,-0.0027093445,2.671396337606061,2675000,4.534856,26750,93.7393171787262,0.9765739925205708,0.042592,84.3,60770,107
0.007454913,0.04070085,0.0035316036,-0.002987628,2.5555571695651405,2700000,4.522111,27000,94.5481367111206,0.9778601676225662,0.033607997,79.99,60751,108
0.0078024133,0.035915755,0.0042769127,-0.0025663213,2.743231985708744,2725000,4.508852,27250,95.37851309776306,0.9801471959799528,0.046471994,92.62,61551,109
