serial_timesteps,approxkl,time_elapsed,clipfrac,total_timesteps,policy_entropy,n_updates,ep_len_mean,explained_variance,policy_loss,true_reward,ep_reward_mean,value_loss,fps
37500,257136.16,25.9834406375885,0.89119995,37500,5.622228,150,0.99,-110140.875,0.33012068,-0.027598344,-0.027287017088383436,6.815397,2224
37750,9829.453,26.130664825439453,0.89119995,37750,5.6222506,151,0.99,-174616.21875,0.3806757,-0.027558673,-0.027287017088383436,4.6470766,2200
38000,22693.531,26.27951741218567,0.8872,38000,5.6225886,152,0.99,-118298.5859375,0.27679804,-0.027539607,-0.02717137474566698,10.728186,2132
38250,60230.914,26.431464195251465,0.88879997,38250,5.6244974,153,0.99,-321853.46875,0.07046403,-0.027590305,-0.02717137474566698,7.194641,1975
38500,115881.625,26.62053680419922,0.8911999,38500,5.625651,154,0.99,-10408.0849609375,0.0954609,-0.02752892,-0.02717137474566698,5.6016607,2026
38750,22035.934,26.78336191177368,0.89559996,38750,5.6261168,155,0.99,-314718.15625,0.16736981,-0.027123906,-0.026748336553573608,8.987886,2108
39000,259634.05,26.937748432159424,0.8936,39000,5.626197,156,0.99,-503329.21875,0.053238392,-0.021807496,-0.021504899989813565,0.6952956,2189
39250,26664.188,27.087098360061646,0.89439994,39250,5.6257772,157,0.99,-169307.96875,0.04762251,-0.021798123,-0.021504899952560663,1.6835457,2239
39500,159657.42,27.233802795410156,0.88479996,39500,5.6254168,158,0.99,-3839742.5,0.06671657,-0.021835284,-0.021504899952560663,7.722232,1813
39750,52758.53,27.409126043319702,0.89399993,39750,5.6248617,159,0.99,-349301.84375,0.05138731,-0.021812556,-0.021504899952560663,2.259547,2186
40000,192085.94,27.557668209075928,0.89399993,40000,5.6273165,160,0.99,-965351.5,0.039690077,-0.021767246,-0.021504899952560663,1.5302655,2197
40250,3130.18,27.70802092552185,0.8872,40250,5.628359,161,0.99,-1521272.75,0.04638965,-0.021857232,-0.021504899952560663,8.029863,1960
40500,157602.69,27.87461805343628,0.88879997,40500,5.628783,162,0.99,-4413087.5,0.053415924,-0.021750825,-0.021504899952560663,9.329452,2118
40750,73421.55,28.03102159500122,0.8984,40750,5.6266522,163,0.99,-664102.5,0.04996249,-0.021796161,-0.021504899952560663,18.551855,2059
41000,4156.328,28.191867113113403,0.8959999,41000,5.623642,164,0.99,-66832.921875,0.057567544,-0.02178844,-0.021504899952560663,8.095848,1829
41250,121329.266,28.367884874343872,0.8976,41250,5.631978,165,0.99,-176394.5625,0.03887436,-0.02181688,-0.021504899952560663,3.2984898,2078
41500,20261.39,28.525741577148438,0.89799994,41500,5.6374407,166,0.99,-1546988.75,0.044053394,-0.021800289,-0.021504899952560663,2.443874,2058
41750,71769.32,28.682774305343628,0.8916,41750,5.638346,167,0.99,-16528.0703125,0.010873529,-0.021827465,-0.021504899952560663,0.99454975,2156
42000,41937.812,28.835189819335938,0.8964,42000,5.6350155,168,0.99,-4161.6591796875,0.051243216,-0.021826439,-0.021504899952560663,1.2044744,2095
42250,223.05283,28.990496158599854,0.89239997,42250,5.6335163,169,0.99,-160505.609375,0.009655829,-0.021837333,-0.021504899952560663,8.993174,2177
42500,803.15247,29.14005136489868,0.8891999,42500,5.6332674,170,0.99,-3773.8896484375,0.06851354,-0.02181712,-0.021504899952560663,6.0591173,2206
42750,115173.15,29.29175043106079,0.85879993,42750,5.6327944,171,0.99,-28447.697265625,-0.012954405,-0.021832569,-0.021504899952560663,11.077092,2150
