value_loss,clipfrac,policy_entropy,explained_variance,serial_timesteps,ep_len_mean,n_updates,fps,policy_loss,true_reward,time_elapsed,total_timesteps,approxkl,ep_reward_mean
0.37146416,0.025336001,4.4517226,0.8783981427550316,103500,247.62,414,48122,-0.0014302528,0.038310338,364.35181951522827,10350000,0.0027224608,9.584818166185286
0.36642164,0.044020005,4.446199,0.8155267983675003,103750,243.34,415,53669,-0.0019077004,0.032191884,365.258070230484,10375000,0.0039738016,8.435288084466011
0.287353,0.041103996,4.443739,0.8812616243958473,104000,250.0,416,53678,-0.0017850716,0.03655631,366.12403893470764,10400000,0.0037676147,9.13907786738593
0.44651312,0.03256,4.4375567,0.754215732216835,104250,244.12,417,54193,-0.000985688,0.030304937,366.9809272289276,10425000,0.0032241952,7.887697642805142
0.37586477,0.021424,4.433823,0.8373141586780548,104500,244.06,418,48468,-0.00094902783,0.031497397,367.81482458114624,10450000,0.00270072,8.286235219252703
0.5194911,0.03028,4.4321394,0.8306375294923782,104750,243.77,419,53074,-0.0015128708,0.0355366,368.71845507621765,10475000,0.0031173876,9.07531257564202
0.34435833,0.030935997,4.430226,0.9112275019288063,105000,243.11,420,51388,-0.0014416836,0.036114596,369.56801652908325,10500000,0.0032762387,9.377335685845464
0.6047113,0.034507997,4.429117,0.8453411012887955,105250,231.2,421,54674,-0.0015759643,0.030420866,370.445677280426,10525000,0.0034192551,8.55650404367596
0.44878182,0.03244,4.4287524,0.889819547533989,105500,233.09,422,52492,-0.001345119,0.02927354,371.2906904220581,10550000,0.0032068684,8.219707740629092
0.41817856,0.038312,4.4302855,0.9122159779071808,105750,241.41,423,51938,-0.0022219964,0.035325628,372.143785238266,10575000,0.003860989,9.334110466413257
0.42606053,0.033492,4.4327664,0.9027355685830116,106000,238.4,424,55425,-0.00084462995,0.037578195,373.00654673576355,10600000,0.0033418362,9.948836556224268
0.6096724,0.029240001,4.431531,0.8410024791955948,106250,242.31,425,53760,-0.0011293521,0.035699435,373.83170104026794,10625000,0.0031774994,9.467755805200795
0.37597877,0.032632,4.4253445,0.8618775755167007,106500,243.21,426,55126,-0.0013595466,0.03364688,374.67213892936707,10650000,0.0033752746,8.770248529608361
0.6288084,0.022904001,4.423387,0.707808792591095,106750,238.0,427,53707,-0.0011597716,0.03044577,375.5018811225891,10675000,0.0025151386,8.298480841065757
0.36953592,0.029932002,4.423864,0.8503655791282654,107000,245.68,428,50803,-0.0014378789,0.034515373,376.3433437347412,10700000,0.0032290786,8.879947752193694
0.32323867,0.042983998,4.423051,0.8573974221944809,107250,245.97,429,42452,-0.0016798042,0.032299407,377.2185688018799,10725000,0.0038915123,8.341142094937386
0.5964246,0.039756,4.4226236,0.7495338618755341,107500,242.94,430,55229,-0.0015728116,0.03884001,378.1731946468353,10750000,0.0037065882,10.05109402743241
0.31870952,0.028024,4.424615,0.8033557683229446,107750,250.0,431,49754,-0.0014732567,0.036962513,379.0139830112457,10775000,0.0030553935,9.240628005689942
0.32480508,0.042424,4.4271884,0.8576478064060211,108000,245.3,432,54789,-0.0018857829,0.034633487,379.9001727104187,10800000,0.004118786,8.66770959243644
0.26270813,0.047208,4.4229608,0.8705930113792419,108250,247.57,433,55303,-0.0017876864,0.033491205,380.73564982414246,10825000,0.004333739,8.254219519843172
0.76511467,0.048144,4.4196863,0.6511513888835907,108500,242.2,434,47060,-0.0011170772,0.03726336,381.5770306587219,10850000,0.00424954,9.804142286833375
0.32290012,0.013632001,4.4164033,0.861351877450943,108750,250.0,435,54254,-0.00087567477,0.03851342,382.50270104408264,10875000,0.0022238418,9.628354882765562
0.521979,0.036416,4.412741,0.8454708009958267,109000,239.22,436,54506,-0.0015217733,0.038181785,383.3510949611664,10900000,0.003399569,10.043228376512415
