time_elapsed,explained_variance,ep_reward_mean,value_loss,n_updates,true_reward,policy_entropy,total_timesteps,ep_len_mean,policy_loss,serial_timesteps,clipfrac,fps,approxkl
326.14784026145935,0.9453098699450493,8.340444535009919,0.6829659,368,0.02185863,4.3333693,9200000,193.16,-0.00236402,92000,0.046687998,53320,0.0042834706
327.00861620903015,0.9427542351186275,8.46653036627195,0.60915285,369,0.02458905,4.3302517,9225000,202.92,-0.0018199453,92250,0.026788,56223,0.003026183
327.82344698905945,0.951656024903059,7.13554784175945,0.50979036,370,0.01813431,4.3252406,9250000,193.95,-0.0016619917,92500,0.036084,50107,0.0038011572
328.7138068675995,0.9269362688064575,7.812837698040255,0.670038,371,0.021896817,4.3176284,9275000,196.79,-0.0021953941,92750,0.033720005,55851,0.0035445665
329.51765847206116,0.9398500733077526,9.12430280606933,0.52807724,372,0.029992417,4.3054667,9300000,224.47,-0.0013863831,93000,0.04158,55617,0.0040115644
330.4045662879944,0.9458215981721878,9.60409121153764,0.552679,373,0.029649295,4.294643,9325000,213.96,-0.0012959341,93250,0.035448,53819,0.0037060783
331.24482011795044,0.9388432018458843,8.525395814203785,0.57833385,374,0.02489938,4.288779,9350000,203.85,-0.0012616095,93500,0.024776,58183,0.0030725407
332.05177640914917,0.9359380677342415,8.02176338818741,0.6611746,375,0.020973103,4.2851133,9375000,201.27,-0.001732604,93750,0.0218,47581,0.0026005404
332.92057728767395,0.942224558442831,8.929454743771615,0.5523428,376,0.028155845,4.2858233,9400000,222.91,-0.0018863741,94000,0.029667998,55518,0.00319776
333.7380027770996,0.9346838966012001,10.054196205108065,0.64451534,377,0.032960262,4.2848845,9425000,214.57,-0.0012823824,94250,0.022416,56339,0.0025330114
334.5440230369568,0.9561213441193104,8.376044939394768,0.41900945,378,0.026545288,4.2815537,9450000,215.15,-0.0019964352,94500,0.037264,50585,0.0038527497
335.38264656066895,0.9347029104828835,8.26429439433838,0.67034703,379,0.025211204,4.280276,9475000,204.83,-0.0015094917,94750,0.025508001,55571,0.0028631703
336.17635130882263,0.9362712875008583,8.652696967615686,0.5707924,380,0.026544599,4.272063,9500000,212.32,-0.0013510401,95000,0.029516,56201,0.0032899207
336.9723792076111,0.9132887721061707,8.161863762417534,0.87529707,381,0.020745385,4.258511,9525000,197.85,-0.0011792394,95250,0.0241,49244,0.0026338007
337.82729411125183,0.9346481636166573,8.826307685530304,0.60594726,382,0.027627517,4.250345,9550000,214.93,-0.0016474659,95500,0.029703999,55234,0.0030805196
338.6229467391968,0.9473462998867035,8.4257080967305,0.547314,383,0.025981594,4.2463403,9575000,207.72,-0.0018882642,95750,0.033908002,56142,0.0034759887
339.41694474220276,0.928680308163166,8.560628024790795,0.7058404,384,0.026928846,4.2381277,9600000,208.01,-0.0020633482,96000,0.039752,55067,0.0038013277
340.26541805267334,0.9320618361234665,8.264644988935988,0.6892596,385,0.022092864,4.233077,9625000,205.69,-0.0016850375,96250,0.029772002,55476,0.003267429
341.1611359119415,0.9233650639653206,8.691238633137226,0.7772316,386,0.024808586,4.2309265,9650000,204.84,-0.0017612688,96500,0.025948,53151,0.0029441868
342.06493759155273,0.9372318685054779,8.033477699287795,0.5869514,387,0.022913294,4.2275686,9675000,200.07,-0.0021869186,96750,0.036700003,53214,0.0036124098
342.9828395843506,0.92082928866148,8.81061651111857,0.81284267,388,0.027526869,4.222757,9700000,202.59,-0.0016801443,97000,0.040044,51748,0.0038043498
343.8974606990814,0.9105885848402977,8.619829564721003,0.82609767,389,0.026352841,4.217202,9725000,196.37,-0.0020868434,97250,0.047627997,51383,0.004239826
344.8093602657318,0.9105674400925636,9.09160884480374,0.96058714,390,0.024561299,4.213439,9750000,195.41,-0.00074020156,97500,0.013832,47924,0.002170396
345.7628667354584,0.9030353203415871,8.56297729208345,1.0065838,391,0.022342522,4.212053,9775000,194.03,-0.0013060756,97750,0.033212002,53823,0.003477212
346.64928674697876,0.943509042263031,7.603497300677118,0.6124643,392,0.021636657,4.210512,9800000,192.95,-0.0016323244,98000,0.02034,54205,0.0024934495
347.51678228378296,0.9313623160123825,7.763333778708675,0.59382933,393,0.023960814,4.2089357,9825000,211.48,-0.0021335096,98250,0.027524,54306,0.002918335
348.3896131515503,0.9312589839100838,9.498964233328316,0.7479393,394,0.025872493,4.209734,9850000,205.12,-0.0011806069,98500,0.03712,54531,0.0037413992
349.25567293167114,0.9056566655635834,9.101531078927145,0.67066735,395,0.028319461,4.210456,9875000,214.08,-0.00146961,98750,0.037536,55813,0.0036600612
