total_timesteps,serial_timesteps,value_loss,time_elapsed,true_reward,explained_variance,ep_len_mean,fps,n_updates,approxkl,policy_loss,clipfrac,ep_reward_mean,policy_entropy
1525000,15250,0.122138895,61.074419260025024,0.04287662,0.8623230457305908,28.45,53366,61,0.0023500468,-0.0016423583,0.019136,1.0665358774056222,5.207667
1550000,15500,0.11990956,61.988818645477295,0.043071587,0.8685123771429062,27.38,55744,62,0.0032791675,-0.0018339187,0.029276002,0.8476474023759301,5.2006493
1575000,15750,0.14629075,62.8833863735199,0.044045348,0.8471576869487762,28.99,54957,63,0.003724054,-0.0020146468,0.03692,1.118531347725002,5.1960096
1600000,16000,0.120674774,63.78074812889099,0.04347204,0.8570631742477417,27.04,54487,64,0.002335459,-0.0018425395,0.01888,0.8787026014843469,5.1896935
1625000,16250,0.11608682,64.66740870475769,0.043325286,0.8651013672351837,31.13,56336,65,0.0024012479,-0.0016602129,0.017464,1.1823583032543683,5.184543
1650000,16500,0.12076533,65.55507445335388,0.043974146,0.8679017424583435,32.17,56424,66,0.0027828463,-0.0017431822,0.022996001,1.1824607756466867,5.181266
1675000,16750,0.11913475,66.44930601119995,0.04776865,0.8678615689277649,30.82,54804,67,0.0017273845,-0.0015828388,0.011779999,1.2718290901982983,5.179424
1700000,17000,0.13723162,67.33932590484619,0.042785734,0.8616050630807877,29.0,54498,68,0.0031997971,-0.0020509176,0.029319998,0.9665045520181684,5.176694
1725000,17250,0.13036819,68.26044297218323,0.047442652,0.8612969666719437,31.62,54381,69,0.0023856233,-0.0016044028,0.020644,1.1654894184855584,5.170362
1750000,17500,0.12751558,69.13874793052673,0.043467328,0.8656701445579529,35.53,55068,70,0.0028138247,-0.0020865998,0.022516001,1.3197119644371196,5.163892
1775000,17750,0.124116436,70.01982164382935,0.044068072,0.8809081614017487,29.17,55271,71,0.0033802385,-0.002162341,0.0324,0.8183403058940893,5.1570835
1800000,18000,0.14130569,70.90435004234314,0.042914603,0.8588726073503494,31.36,54783,72,0.0033698387,-0.0020201379,0.03132,1.1122468582782312,5.1501665
1825000,18250,0.10988556,71.79487442970276,0.048428714,0.8848660066723824,31.25,53460,73,0.0028612434,-0.0019130191,0.024868,1.0164235653388642,5.141488
