fps,true_reward,clipfrac,ep_reward_mean,policy_loss,n_updates,value_loss,total_timesteps,ep_len_mean,explained_variance,serial_timesteps,policy_entropy,time_elapsed,approxkl
72906,1.0185062,0.08453599,250.02062969925143,-0.0010828585,65,44.84368,1625000,239.33,0.30441999435424805,16250,2.7412868,52.52737855911255,0.006858786
72273,1.0346426,0.159364,256.3133525025033,-0.0019840132,66,22.85227,1650000,244.91,0.4436802268028259,16500,2.7388759,53.242746114730835,0.011839489
72552,1.0290525,0.19068,252.483151870518,-0.001784672,67,31.183762,1675000,241.42,0.368369460105896,16750,2.7371342,53.99360203742981,0.013642171
73770,1.041531,0.1269,259.1862398860378,-0.0023874403,68,13.071112,1700000,246.84,0.5878041982650757,17000,2.7375379,54.74946212768555,0.009270218
70300,1.0457851,0.108844005,261.49988855860124,-0.0022478467,69,4.207837,1725000,249.37,0.8064889758825302,17250,2.73634,55.49925208091736,0.007854648
67491,1.0388689,0.15842,251.33047305668907,-0.0012476869,70,26.237726,1750000,238.85,0.4286358952522278,17500,2.7356396,56.26990079879761,0.011944113
67141,1.0367011,0.157548,253.5587101159089,-0.0015288052,71,21.159252,1775000,241.68,0.5078346431255341,17750,2.7309127,57.05098509788513,0.0112996
70435,1.0391861,0.12864001,257.0043223819782,-0.0018552918,72,25.597368,1800000,243.75,0.43592727184295654,18000,2.7251887,57.89684510231018,0.009256107
66405,1.0215831,0.190088,244.05093508786237,0.0013171929,73,54.252735,1825000,232.64,0.27092933654785156,18250,2.722718,58.66434168815613,0.016761446
57813,1.0433509,0.14112,255.63854561308185,-0.00065369316,74,30.13527,1850000,241.18,0.38064754009246826,18500,2.72137,59.52465510368347,0.01037542
68707,1.0461383,0.20653197,258.8273393512476,-0.0008205917,75,16.639454,1875000,244.99,0.5535202324390411,18750,2.7208495,60.388091802597046,0.016865237
71418,1.0221164,0.184796,248.95314920161934,-0.0018453036,76,39.78602,1900000,238.5,0.3153263330459595,19000,2.7240243,61.1533420085907,0.014549961
69570,1.0341948,0.166652,257.49844443438747,-0.0017268922,77,16.646976,1925000,246.43,0.538075178861618,19250,2.726419,61.92977976799011,0.012112089
73346,1.0372758,0.19233198,258.21061182892436,-0.0017810523,78,17.440548,1950000,246.6,0.5284030437469482,19500,2.727083,62.71952748298645,0.013853881
75859,1.0402799,0.269248,259.261598734913,0.00040178356,79,13.95801,1975000,247.34,0.5615155398845673,19750,2.7257276,63.47613263130188,0.022820096
73522,1.0364546,0.17544802,255.5807276756931,-0.0012185419,80,17.926495,2000000,244.45,0.5352430939674377,20000,2.7247825,64.25155377388,0.0134156495
71044,1.0402642,0.1618,256.6033683216132,-0.0023072972,81,18.735401,2025000,244.22,0.5029319822788239,20250,2.7236075,64.97570776939392,0.011851903
71080,1.0314143,0.136032,253.5570745179554,-0.002699962,82,21.20196,2050000,243.26,0.5050672590732574,20500,2.722001,65.71549916267395,0.009634399
70923,1.029101,0.21227598,248.52329743256217,-0.0024825174,83,33.029278,2075000,237.97,0.333670973777771,20750,2.7186112,66.46325206756592,0.017714206
70776,1.0387367,0.16188398,254.88279821781066,-0.0019590387,84,13.895533,2100000,243.86,0.5888526141643524,21000,2.7178433,67.18507766723633,0.01159908
71166,1.0361991,0.18339199,256.2266427074717,-0.00084263395,85,9.385389,2125000,246.15,0.6620236039161682,21250,2.715894,67.91490077972412,0.014850472
70310,1.0364956,0.21948802,258.52537612665833,-0.0018555947,86,9.092356,2150000,248.1,0.6730503439903259,21500,2.7144492,68.63621258735657,0.017379057
72343,1.0289766,0.17578398,257.39707492251995,-0.0026195121,87,17.47383,2175000,247.52,0.5354226529598236,21750,2.7119217,69.3856897354126,0.012827742
72224,1.0472465,0.128588,258.2542425174664,-0.001669947,88,9.758697,2200000,245.46,0.6340617537498474,22000,2.7113209,70.11011290550232,0.009533148
67631,1.035503,0.19002399,258.2661533909319,-0.0022944198,89,17.927702,2225000,246.82,0.505385160446167,22250,2.7136352,70.84754538536072,0.014192449
73045,1.0283661,0.15093601,251.28505211181306,-0.0009943013,90,37.323822,2250000,239.8,0.32794588804244995,22500,2.7152464,71.58739471435547,0.010904839
73248,1.0388147,0.112432,255.9769160127791,-0.0018070554,91,18.035406,2275000,244.38,0.4859095811843872,22750,2.7124867,72.30029821395874,0.008022157
72770,1.041749,0.178128,259.17720074479314,-0.0025751456,92,16.805992,2300000,246.35,0.5335884392261505,23000,2.7075827,73.00401735305786,0.014953399
72715,1.0455061,0.13791199,257.41262688267847,-0.0018206943,93,22.138071,2325000,243.59,0.45384031534194946,23250,2.704471,73.72713732719421,0.010397202
74522,1.0454417,0.164088,258.1140910957937,-0.0019218447,94,21.142624,2350000,244.13,0.49045437574386597,23500,2.7034562,74.45063734054565,0.0119172875
72703,1.0367333,0.164724,253.8054794811913,-0.0014055684,95,40.85412,2375000,239.51,0.4088989496231079,23750,2.7016847,75.16992664337158,0.0127089005
74498,1.0449089,0.13823201,256.69438117068205,-0.0020911605,96,22.063375,2400000,242.96,0.4874017834663391,24000,2.700294,75.88581967353821,0.009990524
74721,1.0406353,0.108036,250.48493030503698,-0.001595672,97,36.510994,2425000,236.75,0.3533132076263428,24250,2.700164,76.58300280570984,0.007909181
72921,1.0233546,0.104095995,239.85656268914624,-0.0016812269,98,57.7365,2450000,228.27,0.3033403754234314,24500,2.7010584,77.28943181037903,0.00777126
74777,1.0132462,0.132356,240.80473286511443,-0.0018830306,99,73.94533,2475000,228.55,0.23628056049346924,24750,2.7026224,78.00151896476746,0.009680875
74213,1.0061331,0.140436,238.409881974186,-0.001190194,100,63.135273,2500000,229.33,0.2943321466445923,25000,2.7040565,78.71579813957214,0.011388825
73615,1.0295312,0.157812,251.7309365626244,-0.002378195,101,31.318966,2525000,240.53,0.39871007204055786,25250,2.7044482,79.42181754112244,0.011871584
73299,1.0269142,0.143648,250.21281463951584,-0.001433813,102,35.95532,2550000,239.22,0.354214608669281,25500,2.7034051,80.1411395072937,0.010292666
70768,1.0299177,0.116132,250.58502119963015,-0.0023192968,103,36.337944,2575000,238.83,0.3384106159210205,25750,2.704018,80.85320711135864,0.008479893
69833,1.0215253,0.10558399,243.7334192432672,-0.0016457312,104,50.697277,2600000,232.98,0.2687101364135742,26000,2.703855,81.58677649497986,0.007670955
74835,1.0348632,0.192228,253.8323608601959,-0.001904346,105,19.072004,2625000,242.92,0.4803122878074646,26250,2.7044754,82.30318522453308,0.015370658
73499,1.0221272,0.13978,249.66604862130174,-0.0023336404,106,40.232048,2650000,238.83,0.34209102392196655,26500,2.70377,83.00216555595398,0.010297252
71113,1.0319037,0.12729199,254.79043844286556,-0.0021613338,107,22.422806,2675000,243.88,0.46714121103286743,26750,2.7045753,83.7206220626831,0.009252889
75336,1.034553,0.153008,257.9018602097806,-0.0010119665,108,13.882547,2700000,247.6,0.558451235294342,27000,2.700582,84.45938205718994,0.012392195
74058,1.0217124,0.251764,248.71755134094855,0.0011682388,109,48.71888,2725000,237.05,0.28666675090789795,27250,2.6948,85.17352080345154,0.020839397
73080,1.0254142,0.120404005,252.54721074660105,-0.001377966,110,30.071894,2750000,241.93,0.4164621829986572,27500,2.6932254,85.89705872535706,0.008880877
73653,1.0184952,0.13554,250.60616259304356,0.00156962,111,38.155277,2775000,240.84,0.36935579776763916,27750,2.6942124,86.61043572425842,0.011834736
74301,1.0439681,0.26146403,259.42022985282864,0.0011521671,112,16.714828,2800000,246.01,0.5414467453956604,28000,2.6933758,87.32864594459534,0.028359408
73923,1.0406111,0.18473999,255.0308810193448,-0.00065367034,113,21.524384,2825000,242.56,0.48798853158950806,28250,2.691714,88.03150272369385,0.013385999
71908,1.0362142,0.124828,255.46139766204527,-0.0022549126,114,13.599146,2850000,244.93,0.5710493326187134,28500,2.6904154,88.74744582176208,0.0099121565
74830,1.0334193,0.188976,250.9244883408041,-0.0011095995,115,22.612835,2875000,240.44,0.45203953981399536,28750,2.685639,89.45850396156311,0.014365721
72777,1.0352409,0.179244,256.2439729110748,-0.0019136819,116,22.039211,2900000,244.69,0.4474908113479614,29000,2.6799831,90.184410572052,0.013025585
75794,1.0364372,0.159872,260.1886601207822,-0.0030382315,117,11.405374,2925000,249.15,0.6288538873195648,29250,2.6791956,90.90596318244934,0.011835704
74414,1.0337563,0.149964,247.7044750518132,-0.0015258867,118,35.74163,2950000,235.08,0.348935604095459,29500,2.6838894,91.62338614463806,0.011035993
71934,1.042976,0.17601998,256.5525401996838,-0.0021060393,119,23.01798,2975000,243.03,0.4380146861076355,29750,2.687112,92.32711935043335,0.012807926
74163,1.0498486,0.207708,260.21404307024824,-0.002180668,120,17.87869,3000000,245.74,0.4858837127685547,30000,2.6857438,93.04364347457886,0.01590855
73853,1.0451581,0.226856,259.7456668016307,-0.0006256613,121,25.722406,3025000,244.79,0.43760693073272705,30250,2.683064,93.75495195388794,0.02045174
73389,1.035488,0.24472001,255.67781838249385,-0.0005024172,122,18.844204,3050000,244.63,0.48864686489105225,30500,2.6822872,94.46542119979858,0.018690912
72818,1.0234772,0.12261599,243.6595488293672,-0.0012033653,123,41.618736,3075000,233.85,0.30641645193099976,30750,2.685539,95.16734099388123,0.008810329
72939,1.0298108,0.192236,255.52570673002697,-0.0025363467,124,21.898464,3100000,245.03,0.47822725772857666,31000,2.6855948,95.87383008003235,0.014459019
72466,1.0328114,0.168512,257.9396531126047,-0.001987711,125,30.082617,3125000,244.82,0.4330572485923767,31250,2.6807878,96.59505033493042,0.012887721
73076,0.99534,0.124536,232.72430357164646,-0.0014615983,126,87.21723,3150000,223.67,0.22980403900146484,31500,2.6792655,97.30417037010193,0.008762153
72208,1.0106884,0.070195995,237.8283793485568,-0.0016891863,127,65.66229,3175000,227.47,0.27059614658355713,31750,2.6774008,98.01444125175476,0.00564541
72097,1.0263625,0.09011601,253.4264327786749,-0.0015338169,128,27.015293,3200000,242.67,0.4427056312561035,32000,2.6756256,98.72966194152832,0.007061464
73396,1.0232546,0.090872,252.2895122204158,-0.0015124427,129,36.152763,3225000,241.32,0.3796331286430359,32250,2.672748,99.44614148139954,0.006878724
72175,1.0427498,0.203928,259.8288653534826,-0.0021972514,130,13.023135,3250000,247.4,0.6025329828262329,32500,2.6669981,100.16533946990967,0.015718408
72029,1.0298154,0.125904,247.98668250564734,-0.0016588122,131,36.179817,3275000,236.85,0.3709666132926941,32750,2.6649125,100.87333035469055,0.009231235
71877,1.034715,0.12356001,257.59237772782797,-0.002939216,132,21.698208,3300000,245.85,0.5019650459289551,33000,2.6599882,101.60675954818726,0.009455748
73030,1.0345399,0.154028,249.1212068094298,-0.001023151,133,41.259106,3325000,235.73,0.3186275362968445,33250,2.6504333,102.33269095420837,0.0111184735
71036,1.0321544,0.11954,255.05214430485066,-0.0022911355,134,26.56956,3350000,243.57,0.47930967807769775,33500,2.6462274,103.06303071975708,0.009229222
71796,1.039054,0.22181201,260.804076475423,-0.0016672878,135,16.903387,3375000,248.32,0.5485619604587555,33750,2.644836,103.81171607971191,0.016746828
75092,1.0421546,0.13576001,259.8549583793379,-0.0030030687,136,18.660364,3400000,246.34,0.5667848289012909,34000,2.6438682,104.5402102470398,0.010126307
74237,1.041119,0.200376,256.62947811897027,-0.0011392888,137,27.950842,3425000,242.99,0.3764512538909912,34250,2.6394756,105.25680446624756,0.014756801
74663,1.0400937,0.134764,256.96238408861996,-0.0029512648,138,17.410618,3450000,244.99,0.5402925312519073,34500,2.6377537,105.9733567237854,0.009435337
