ep_len_mean,ep_reward_mean,policy_entropy,explained_variance,fps,n_updates,serial_timesteps,time_elapsed,true_reward,clipfrac,approxkl,total_timesteps,policy_loss,value_loss
250.0,81.10609268058558,-4.8295884,0.9732039123773575,55039,120,30000,103.61596751213074,0.32442436,0.322808,0.0295614,3000000,0.016964035,0.25368357
250.0,81.75356879343279,-4.8264685,0.9677855409681797,55214,121,30250,104.42910194396973,0.32701427,0.323724,0.030586291,3025000,0.016337052,0.28670463
246.27,79.74832145253895,-4.8262,0.8891897201538086,55271,122,30500,105.22803974151611,0.32034594,0.22894402,0.021101609,3050000,0.0042305673,1.320061
249.33,82.12984355458524,-4.8248777,0.9455688558518887,55632,123,30750,106.03400588035583,0.32860327,0.504228,0.11357448,3075000,0.03756547,0.5469531
247.12,81.29246943648555,-4.8214874,0.9368922933936119,54250,124,31000,106.83645486831665,0.3265838,0.378636,0.04153321,3100000,0.014424643,0.6531244
248.59,82.01622640720684,-4.817931,0.9618030786514282,53912,125,31250,107.64977407455444,0.32876146,0.32508802,0.033143215,3125000,0.013819787,0.3942616
250.0,81.84907641034658,-4.814507,0.972703481093049,54884,126,31500,108.4724280834198,0.32739633,0.334932,0.030999592,3150000,0.015317617,0.25738057
250.0,79.58934942000894,-4.8126144,0.9681997932493687,55925,127,31750,109.28420877456665,0.31835738,0.24409202,0.019783074,3175000,0.008055257,0.30378476
246.19,78.22323321707721,-4.8109956,0.8560344725847244,54156,128,32000,110.07765436172485,0.31427372,0.099044,0.007398882,3200000,-0.0026111018,1.6633432
245.89,79.86342195441016,-4.812415,0.8218219578266144,55314,129,32250,110.89575242996216,0.32135856,0.14635202,0.0113001615,3225000,-0.0008088647,1.8522943
248.22,81.20818681412638,-4.817807,0.8845971375703812,56455,130,32500,111.70250606536865,0.32491714,0.142652,0.01040191,3250000,-0.0007852882,1.1279545
247.68,81.77107698186067,-4.8231792,0.935629315674305,55800,131,32750,112.50709819793701,0.32910845,0.245176,0.020839361,3275000,0.0051925117,0.61713475
250.0,80.87349082081374,-4.827683,0.9715747088193893,55670,132,33000,113.30973887443542,0.32349396,0.240724,0.020993507,3300000,0.0070048,0.2763211
246.64,78.59529782410362,-4.833433,0.8858996033668518,55327,133,33250,114.10316753387451,0.31540143,0.33002403,0.036294363,3325000,0.0086444905,1.2805586
249.53,80.19201147638901,-4.835128,0.9233763590455055,54713,134,33500,114.91365623474121,0.3205705,0.28342003,0.026192572,3350000,0.005394057,0.6978456
248.16,79.58296122703032,-4.8370214,0.9026583209633827,56282,135,33750,115.71049761772156,0.31898075,0.301404,0.028933492,3375000,0.007997722,0.9506534
244.22,78.56303472164778,-4.8394156,0.8307899534702301,55221,136,34000,116.50598692893982,0.31741935,0.33466,0.03253167,3400000,0.006671586,1.9688594
250.0,79.42854887305585,-4.8408995,0.9599533267319202,54334,137,34250,117.31977891921997,0.31771418,0.176132,0.012976619,3425000,0.0047955974,0.36833042
250.0,79.59629506866543,-4.8439555,0.9606483057141304,53837,138,34500,118.13591814041138,0.31838518,0.20958002,0.016005825,3450000,0.0066757156,0.36205167
250.0,80.65965891142535,-4.847787,0.9592902585864067,54705,139,34750,118.96457743644714,0.32263863,0.13358,0.009553382,3475000,0.001953166,0.34833995
247.89,80.10911746767117,-4.852588,0.9271221309900284,55429,140,35000,119.76821064949036,0.32254046,0.137796,0.010524894,3500000,0.0006231153,0.6858243
244.85,80.33261312911927,-4.853537,0.8611428439617157,56124,141,35250,120.56918525695801,0.3254692,0.30302802,0.033661555,3525000,0.009050748,1.5214455
247.85,80.6289224694809,-4.8535805,0.895842932164669,56459,142,35500,121.37816333770752,0.3236029,0.138528,0.010112284,3550000,-0.00018410287,1.0419592
248.61,81.69436029585835,-4.8529987,0.9282508939504623,54414,143,35750,122.15289163589478,0.32788515,0.2138,0.016872149,3575000,0.002309214,0.6743456
244.56,77.53718204693548,-4.8510513,0.8634549379348755,54949,144,36000,122.96746134757996,0.3137936,0.386548,0.050071757,3600000,0.015350856,1.5532367
247.73,80.51594949888647,-4.8505983,0.9270151033997536,55205,145,36250,123.76404190063477,0.32288605,0.23014799,0.01819795,3625000,0.00374794,0.76682985
243.7,78.52199357428225,-4.852853,0.8364997357130051,54397,146,36500,124.56140613555908,0.31832656,0.16996801,0.01302212,3650000,0.0004816629,1.821244
245.17,79.54218620272557,-4.8538733,0.8601970970630646,54307,147,36750,125.37025880813599,0.32146582,0.11747601,0.008801281,3675000,-0.0019988897,1.4757922
242.87,76.79497325124103,-4.852669,0.8194364011287689,56437,148,37000,126.17996740341187,0.31277993,0.32282,0.030485028,3700000,0.0072653545,2.128682
243.73,78.13866450938426,-4.8508916,0.8139057755470276,49769,149,37250,126.98129367828369,0.3166672,0.442828,0.061615437,3725000,0.016998004,2.0855298
245.29,79.47399224659864,-4.848815,0.816667765378952,56107,150,37500,127.8691713809967,0.32115635,0.52748,0.10704287,3750000,0.028044919,1.8435509
248.56,80.87767538808286,-4.845563,0.9252010956406593,51409,151,37750,128.69818210601807,0.3245501,0.263884,0.022454914,3775000,0.007083293,0.69449556
244.28,78.54628665701784,-4.845228,0.8367183804512024,53560,152,38000,129.55904817581177,0.3182052,0.225528,0.017223004,3800000,0.0021264856,1.846878
248.53,80.22791732059756,-4.8445787,0.9343980625271797,55949,153,38250,130.37204003334045,0.32227603,0.24214801,0.018891752,3825000,0.0051466553,0.63621414
247.74,80.56774252148898,-4.843067,0.887183740735054,54100,154,38500,131.1757037639618,0.32265672,0.26926,0.023526829,3850000,0.0031296075,1.1156875
245.87,79.19931854417082,-4.842303,0.8063136786222458,54573,155,38750,131.99432158470154,0.31797543,0.372684,0.03690787,3875000,0.0061447667,2.1318786
238.48,77.54697182298507,-4.8417106,0.7327413558959961,55612,156,39000,132.81575298309326,0.3172288,0.35900798,0.034355897,3900000,0.0083242385,3.7225502
227.91,72.38828251231345,-4.84059,0.74024298787117,54403,157,39250,133.62858271598816,0.30879468,0.176236,0.012867781,3925000,0.00095281436,4.0990233
244.73,79.39461178199598,-4.8424263,0.888527475297451,53492,158,39500,134.45444202423096,0.32220215,0.19277601,0.015896946,3950000,0.0022817184,1.1919017
246.93,79.0291849310117,-4.84567,0.9062445536255836,54680,159,39750,135.2640392780304,0.31826577,0.313884,0.02987298,3975000,0.007827551,0.9243202
243.94,78.57257642312346,-4.846876,0.8349330127239227,55142,160,40000,136.08841037750244,0.31868273,0.174028,0.012994337,4000000,0.00061038946,1.7901249
241.7,77.19540358215221,-4.844538,0.8263485729694366,55260,161,40250,136.9186191558838,0.3160367,0.175364,0.012845516,4025000,0.0006429609,2.0026302
248.56,80.17913243010524,-4.842856,0.9298705980181694,53999,162,40500,137.74537920951843,0.32176125,0.192336,0.014494848,4050000,0.0020420603,0.67542374
247.1,80.65268062366697,-4.8457565,0.9171457961201668,55953,163,40750,138.56532859802246,0.3243858,0.24214402,0.019768976,4075000,0.0038569686,0.8429438
243.65,79.6609444646168,-4.8488874,0.8283790946006775,55211,164,41000,139.37396621704102,0.32342514,0.34378797,0.03599315,4100000,0.008035957,1.8608751
246.17,79.3319183484996,-4.8473406,0.9029468670487404,54362,165,41250,140.1795563697815,0.3210831,0.162568,0.011956203,4125000,0.00024343716,1.0050513
241.05,78.45261795467017,-4.845357,0.7979227006435394,56293,166,41500,140.9982967376709,0.32108197,0.13345599,0.0100010075,4150000,-0.00016586613,2.397241
237.53,77.14845385855442,-4.845464,0.8158578872680664,55877,167,41750,141.78016638755798,0.31798968,0.208076,0.016782116,4175000,0.001484194,2.5937681
250.0,81.28982590342581,-4.842917,0.9600455686450005,55531,168,42000,142.5573389530182,0.3251593,0.2297,0.019053241,4200000,0.0064728246,0.337972
248.45,81.12068615949451,-4.8408074,0.9518927223980427,57067,169,42250,143.34895658493042,0.3251491,0.381892,0.044748317,4225000,0.018583003,0.49895495
247.64,80.91841250240134,-4.8379135,0.927214190363884,56622,170,42500,144.1268630027771,0.32634294,0.311436,0.027751017,4250000,0.007968429,0.6757601
246.4,80.46211564665005,-4.8374567,0.9177194759249687,54922,171,42750,144.90150237083435,0.32442397,0.18715999,0.013437648,4275000,0.0006182478,0.81630814
250.0,81.67529143086227,-4.841144,0.9698225855827332,56921,172,43000,145.69594931602478,0.32670116,0.203916,0.01505053,4300000,0.0056368164,0.29850245
250.0,81.417981812632,-4.8438697,0.9747128989547491,56819,173,43250,146.47368550300598,0.32567194,0.18585199,0.013450794,4325000,0.003621585,0.24322109
244.64,80.27851571952924,-4.8442535,0.8947500884532928,53674,174,43500,147.2502465248108,0.3258467,0.27228802,0.023637012,4350000,0.0040451162,1.1276329
246.29,81.29923062605201,-4.842159,0.8481371998786926,55380,175,43750,148.04683637619019,0.32790878,0.38878402,0.05097314,4375000,0.0113301575,1.4131256
248.52,81.29541651833046,-4.8390718,0.9340846911072731,52341,176,44000,148.8264980316162,0.32668424,0.34657997,0.042352635,4400000,0.012968918,0.6101896
