serial_timesteps,n_updates,ep_reward_mean,approxkl,explained_variance,true_reward,total_timesteps,fps,time_elapsed,value_loss,clipfrac,policy_loss,policy_entropy,ep_len_mean
124500,498,3.549979802444577,0.010336329,0.9894343260675669,0.2625417,12450000,71306,392.91243743896484,0.16364849,0.1368,0.0017762154,4.352893,34.66
124750,499,3.5830234238505363,0.0065653757,0.984825674444437,0.26102048,12475000,71112,393.65131759643555,0.20734473,0.08341999,-0.0010071233,4.350732,34.67
125000,500,3.07774582952261,0.011852704,0.9903799621388316,0.26169696,12500000,69708,394.38262462615967,0.14937899,0.138596,0.0026466295,4.3453975,32.78
125250,501,3.595494517926127,0.006662657,0.9819145370274782,0.26424816,12525000,66379,395.1183395385742,0.25281152,0.08384399,-9.504979e-05,4.340583,34.91
125500,502,4.087843634951859,0.008993047,0.981522548943758,0.26202998,12550000,69095,395.88407492637634,0.31033736,0.11258799,0.0014861034,4.337027,36.61
125750,503,3.801566290240735,0.0046612574,0.9794650804251432,0.26414797,12575000,68145,396.63878989219666,0.28744084,0.053332,-0.0015466154,4.3344345,35.14
126000,504,4.344717313274741,0.009418505,0.9827178064733744,0.26106724,12600000,70082,397.38476395606995,0.24652739,0.12850401,-0.0004111741,4.3325396,37.49
126250,505,4.264447945132852,0.0071312264,0.9860982056707144,0.26374632,12625000,71138,398.12702560424805,0.19735286,0.085896,-0.0010400962,4.3303037,37.48
126500,506,3.6981796585582196,0.012320782,0.9928930350579321,0.26408333,12650000,69808,398.8611469268799,0.095283546,0.15726002,0.0030892866,4.324995,35.91
126750,507,3.9493152783066034,0.015812028,0.9908602936193347,0.26539567,12675000,70551,399.60974979400635,0.1290687,0.20404,0.0021642256,4.3206544,36.44
127000,508,4.191585819497704,0.012747849,0.9799828827381134,0.26359856,12700000,69462,400.3528833389282,0.27517363,0.162216,-0.0006070696,4.3170195,36.88
127250,509,2.8866530519723894,0.010479173,0.9942160523496568,0.26261124,12725000,67244,401.11835741996765,0.07900028,0.14451599,0.0017459302,4.3149095,31.69
127500,510,3.1830940343998373,0.008516766,0.9910091236233711,0.26285952,12750000,48652,401.91742181777954,0.12743878,0.114812,-0.000535795,4.313409,32.78
127750,511,3.6888548472896217,0.0102979895,0.982412664219737,0.26240873,12775000,67395,402.87053894996643,0.24007943,0.13607201,0.0012584071,4.313343,35.05
128000,512,3.307282104510814,0.024111945,0.9958787867799401,0.2658578,12800000,69792,403.62638330459595,0.06540675,0.255012,0.009761954,4.3119764,34.07
128250,513,3.9920133063569665,0.008729696,0.988735574297607,0.26400536,12825000,69907,404.4244499206543,0.15775624,0.117212,-0.00027331713,4.310507,36.4
128500,514,4.28884525956586,0.005193323,0.9816699102520943,0.2648919,12850000,70146,405.17141461372375,0.25865853,0.061588,-0.0019134454,4.3083386,37.83
